,pt_no,coordinate
87,pt_no87,"[[0.4950484433951211], [2.521694186955878], [0.9]]"
88,pt_no88,"[[0.4989809542930775], [2.510043212461133], [0.8756414870971357]]"
89,pt_no89,"[[0.4907771373022564], [2.528934841859477], [0.8593712166633223]]"
90,pt_no90,"[[0.5854315484536966], [2.530911367161108], [0.894899931449617]]"
91,pt_no91,"[[0.4986768077398279], [2.51142665253956], [0.1404434068093773]]"
92,pt_no92,"[[0.498713974376474], [2.488732848609865], [0.1283056950573488]]"
93,pt_no93,"[[0.4987463956090913], [2.511126046697815], [0.1186243928925435]]"
94,pt_no94,"[[0.5954733561521219], [2.466796655760643], [0.1075455325599824]]"
95,pt_no95,"[[0.3999999999999999], [0.2475], [0.6999999999999997]]"
96,pt_no96,"[[0.5], [0.3539480198019803], [0.5999999999999999]]"
97,pt_no97,"[[0.2999999999999999], [0.3539480198019803], [0.5999999999999999]]"
98,pt_no98,"[[0.6], [0.2475], [0.3]]"
99,pt_no99,"[[0.4999999999999999], [0.3539480198019802], [0.3999999999999999]]"
100,pt_no100,"[[0.6999999999999998], [0.3539480198019802], [0.4]]"
101,pt_no101,"[[0.4], [2.5], [0.4999999999999999]]"
102,pt_no102,"[[0.2248412128649827], [2.562246413787442], [0.5666666666666668]]"
103,pt_no103,"[[0.4909660507993169], [2.52866675220369], [0.8312461446342148]]"
104,pt_no104,"[[0.471519527708775], [2.545132138517815], [0.8720329277150916]]"
105,pt_no105,"[[0.5365671517080856], [2.659593240001553], [0.8284865889735428]]"
106,pt_no106,"[[0.4999999999999999], [2.100000000000002], [1.0]]"
107,pt_no107,"[[0.4999999999999999], [1.800000000000003], [1.0]]"
108,pt_no108,"[[0.3999999999999999], [1.767289116344466], [0.6999999999999998]]"
109,pt_no109,"[[0.5868273462263283], [1.982195423573236], [0.7240433954470967]]"
110,pt_no110,"[[0.4999999999999999], [0.0], [0.4999999999999999]]"
111,pt_no111,"[[0.0], [1.800000000000003], [0.75]]"
112,pt_no112,"[[0.06130790715194935], [1.919549472529042], [0.9182268617597978]]"
113,pt_no113,"[[0.2499999999999999], [1.800000000000003], [1.0]]"
114,pt_no114,"[[0.4971917366660776], [2.483479104429856], [0.1510939652785241]]"
115,pt_no115,"[[0.6829231448556387], [2.490395799022037], [0.1530446947311628]]"
116,pt_no116,"[[0.5642235253055108], [2.433554164339952], [0.1891627140718684]]"
117,pt_no117,"[[0.5999999999999999], [1.805282164606025], [0.4999999999999999]]"
118,pt_no118,"[[0.6521022419004064], [1.669147791136278], [0.7786100363147433]]"
119,pt_no119,"[[0.0], [0.3000000000000008], [0.5]]"
120,pt_no120,"[[0.3], [0.5], [0.4999999999999999]]"
121,pt_no121,"[[0.0], [0.6000000000000021], [0.4999999999999999]]"
122,pt_no122,"[[1.0], [0.3000000000000008], [0.5]]"
123,pt_no123,"[[0.7], [0.5], [0.4999999999999999]]"
124,pt_no124,"[[1.0], [0.6000000000000021], [0.4999999999999999]]"
125,pt_no125,"[[0.0], [2.100000000000002], [0.25]]"
126,pt_no126,"[[0.0], [2.400000000000001], [0.2499999999999999]]"
127,pt_no127,"[[0.3500486281669111], [2.333921498539962], [0.2999999999999998]]"
128,pt_no128,"[[1.0], [2.100000000000002], [0.4999999999999999]]"
129,pt_no129,"[[0.7162365396915807], [1.924400627988064], [0.2610846539821483]]"
130,pt_no130,"[[1.0], [1.800000000000003], [0.4999999999999999]]"
131,pt_no131,"[[0.752345319116109], [2.153008666009386], [0.5991644410005895]]"
132,pt_no132,"[[0.4499999999999998], [2.45], [0.1192300603586421]]"
133,pt_no133,"[[0.4388739533021841], [2.451253604390909], [0.09999999999999998]]"
134,pt_no134,"[[0.4611260466978155], [2.451253604390909], [0.09999999999999998]]"
135,pt_no135,"[[0.4499999999999998], [2.357893739737338], [0.1003511470443509]]"
136,pt_no136,"[[0.2499999999999999], [1.500000000000004], [1.0]]"
137,pt_no137,"[[0.3], [1.5], [0.7]]"
138,pt_no138,"[[0.606234505437598], [2.25727096733491], [0.7990371981568734]]"
139,pt_no139,"[[0.4852155687764431], [2.105030716837373], [0.4868645589934761]]"
140,pt_no140,"[[0.5646287237946731], [2.377620842704182], [0.6737706213876663]]"
141,pt_no141,"[[0.4811744900929368], [2.539091574123401], [0.09999999999999998]]"
142,pt_no142,"[[0.4999999999999999], [2.699999999999999], [0.0]]"
143,pt_no143,"[[0.4611260466978159], [2.548746395609091], [0.09999999999999998]]"
144,pt_no144,"[[0.5085652233824307], [2.621611939448653], [0.100209550438779]]"
145,pt_no145,"[[0.7], [0.7499999999999999], [0.3]]"
146,pt_no146,"[[0.7], [1.0], [0.3]]"
147,pt_no147,"[[1.0], [0.900000000000003], [0.2499999999999999]]"
148,pt_no148,"[[0.75], [0.900000000000003], [0.0]]"
149,pt_no149,"[[0.7], [0.7499999999999999], [0.7]]"
150,pt_no150,"[[0.7], [1.0], [0.7]]"
151,pt_no151,"[[0.75], [0.900000000000003], [1.0]]"
152,pt_no152,"[[1.0], [0.900000000000003], [0.75]]"
153,pt_no153,"[[0.3], [1.5], [0.3]]"
154,pt_no154,"[[0.2499999999999999], [1.500000000000004], [0.0]]"
155,pt_no155,"[[0.4], [1.767289116344466], [0.2999999999999999]]"
156,pt_no156,"[[0.4995561544762015], [2.506647371926623], [0.8545417226933523]]"
157,pt_no157,"[[0.498931057488354], [2.489716439669482], [0.8768077515423247]]"
158,pt_no158,"[[1.0], [0.900000000000003], [0.4999999999999999]]"
159,pt_no159,"[[0.7], [0.9999999999999999], [0.4999999999999998]]"
160,pt_no160,"[[0.8118033988749895], [1.125], [0.5999999999999999]]"
161,pt_no161,"[[0.4999999999999998], [0.9000000000000028], [0.0]]"
