,no,pt_no,region,temp_I,integ_I
0,cv_no0,"[132, 85, 443, 141]",5,16.8591,79.7604
1,cv_no1,"[79, 80, 149, 171]",5,3.8415,20.084300000000002
2,cv_no2,"[316, 328, 388, 436]",5,64.702,327.22130000000004
3,cv_no3,"[221, 379, 372, 434]",5,45.6566,230.86460000000002
4,cv_no4,"[112, 320, 389, 394]",5,19.116300000000003,96.66640000000001
5,cv_no5,"[316, 436, 382, 437]",5,64.2012,324.6924
6,cv_no6,"[451, 398, 13, 432]",5,1.3907,8.1346
7,cv_no7,"[448, 396, 9, 431]",5,1.4973,8.6096
8,cv_no8,"[114, 387, 391, 418]",5,46.13120000000001,233.29760000000002
9,cv_no9,"[192, 365, 137, 387]",5,6.3718,32.214
10,cv_no10,"[249, 92, 479, 240]",5,16.371199999999998,76.9963
11,cv_no11,"[174, 81, 458, 175]",5,16.3128,76.4248
12,cv_no12,"[447, 150, 141, 81]",5,17.1754,81.2128
13,cv_no13,"[210, 211, 470, 85]",5,16.643700000000003,78.602
14,cv_no14,"[83, 84, 207, 131]",5,3.9891,20.659100000000002
15,cv_no15,"[459, 176, 175, 92]",5,16.671100000000003,78.3554
16,cv_no16,"[97, 240, 231, 475]",5,16.0321,75.4268
17,cv_no17,"[471, 97, 211, 212]",5,16.7445,78.9799
18,cv_no18,"[225, 366, 387, 422]",5,2.8902,14.614
19,cv_no19,"[94, 463, 14, 404]",5,50.779500000000006,258.91470000000004
20,cv_no20,"[15, 462, 94, 403]",5,50.4825,257.3894
21,cv_no21,"[211, 265, 471, 214]",5,23.2523,112.16150000000002
22,cv_no22,"[265, 211, 470, 214]",5,23.134200000000003,111.64340000000001
23,cv_no23,"[241, 479, 268, 240]",5,22.5899,108.3122
24,cv_no24,"[261, 458, 175, 178]",5,23.087000000000003,110.8332
25,cv_no25,"[178, 175, 261, 459]",5,23.1926,111.39720000000001
26,cv_no26,"[240, 268, 241, 475]",5,22.5698,108.22710000000001
27,cv_no27,"[141, 257, 142, 447]",5,23.599000000000004,113.7504
28,cv_no28,"[316, 388, 382, 436]",5,64.5278,326.3426
29,cv_no29,"[200, 199, 254, 385]",5,7.4057,37.438700000000004
30,cv_no30,"[298, 304, 383, 392]",5,76.179,385.22720000000004
31,cv_no31,"[121, 275, 318, 419]",5,54.5467,275.81800000000004
32,cv_no32,"[297, 276, 306, 410]",5,60.625699999999995,306.56759999999997
33,cv_no33,"[397, 426, 396, 428]",5,0.6781,3.9181
34,cv_no34,"[395, 425, 398, 427]",5,0.6588,3.812100000000001
35,cv_no35,"[114, 418, 113, 430]",5,44.5777,225.4468
36,cv_no36,"[301, 280, 318, 400]",5,27.492000000000004,139.0149
37,cv_no37,"[184, 181, 381, 413]",5,41.094300000000004,207.8933
38,cv_no38,"[160, 397, 398, 426]",5,0.8853,5.0200000000000005
39,cv_no39,"[395, 396, 160, 425]",5,0.8994,5.0398
40,cv_no40,"[152, 367, 180, 381]",5,36.0979,181.8953
41,cv_no41,"[295, 276, 297, 410]",5,61.08440000000001,308.8874
42,cv_no42,"[142, 443, 257, 141]",5,23.497200000000003,113.35400000000003
43,cv_no43,"[379, 388, 371, 433]",5,43.3601,219.2701
44,cv_no44,"[381, 378, 413, 417]",5,41.75280000000001,211.5282
45,cv_no45,"[138, 78, 139, 428]",5,0.25070000000000003,2.5834
46,cv_no46,"[237, 87, 238, 427]",5,0.42910000000000004,3.3748000000000005
47,cv_no47,"[135, 136, 390, 391]",5,36.5287,184.68689999999998
48,cv_no48,"[243, 406, 242, 438]",5,37.5099,189.5566
49,cv_no49,"[317, 108, 107, 408]",5,79.8596,403.8354
