,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.14,9.466999999999999
1,cv_no1,"[116, 384, 292]",34,0.0,0.064
2,cv_no2,"[290, 328, 147]",34,0.258,15.287000000000003
3,cv_no3,"[160, 317, 161]",34,0.225,14.056000000000001
4,cv_no4,"[305, 326, 222]",34,0.007,1.8419999999999987
5,cv_no5,"[127, 368, 17]",34,0.295,15.932999999999998
6,cv_no6,"[24, 349, 184]",34,0.149,8.264999999999999
7,cv_no7,"[178, 353, 179]",34,0.139,8.353999999999997
8,cv_no8,"[272, 386, 335]",34,0.016,1.0180000000000005
9,cv_no9,"[297, 390, 224]",34,0.107,6.270000000000001
10,cv_no10,"[16, 320, 120]",34,0.287,15.481
11,cv_no11,"[168, 350, 169]",34,0.003,2.8139999999999983
12,cv_no12,"[129, 319, 130]",34,0.405,21.918000000000006
13,cv_no13,"[188, 351, 189]",34,0.151,8.054
14,cv_no14,"[283, 306, 46]",34,0.033,2.0249999999999995
15,cv_no15,"[194, 354, 195]",34,0.064,3.629000000000001
16,cv_no16,"[293, 325, 236]",34,0.246,13.381
17,cv_no17,"[192, 355, 193]",34,0.084,4.050999999999999
18,cv_no18,"[44, 394, 284]",34,0.007,0.43000000000000027
19,cv_no19,"[218, 404, 252]",34,0.016,3.6979999999999995
20,cv_no20,"[303, 362, 176]",34,0.127,7.851999999999998
21,cv_no21,"[247, 300, 251]",34,0.119,9.772999999999994
22,cv_no22,"[304, 364, 182]",34,0.125,7.138
23,cv_no23,"[181, 365, 304]",34,0.126,7.237
24,cv_no24,"[243, 298, 234]",34,0.241,13.054000000000002
25,cv_no25,"[319, 347, 246]",34,0.36,19.544999999999995
26,cv_no26,"[31, 372, 1]",34,0.061,3.31
27,cv_no27,"[23, 361, 303]",34,0.126,7.933000000000001
28,cv_no28,"[241, 262, 227]",34,0.458,25.161999999999992
29,cv_no29,"[146, 333, 290]",34,0.373,20.82800000000001
30,cv_no30,"[249, 384, 366]",34,0.003,0.2990000000000001
31,cv_no31,"[320, 323, 234]",34,0.25,13.546
32,cv_no32,"[167, 308, 22]",34,1.203,73.72599999999998
33,cv_no33,"[37, 313, 36]",34,0.005,0.6800000000000003
34,cv_no34,"[378, 379, 170]",34,0.135,9.536999999999999
35,cv_no35,"[244, 348, 324]",34,0.271,14.749
36,cv_no36,"[235, 363, 318]",34,0.001,0.37800000000000006
37,cv_no37,"[228, 250, 247]",34,0.034,4.519999999999998
38,cv_no38,"[131, 332, 132]",34,0.495,26.887000000000008
39,cv_no39,"[242, 332, 291]",34,0.412,22.400000000000002
40,cv_no40,"[225, 340, 236]",34,0.253,13.751000000000001
41,cv_no41,"[244, 395, 257]",34,0.312,16.952
42,cv_no42,"[117, 399, 116]",34,0.0,0.008
43,cv_no43,"[149, 329, 150]",34,0.104,8.940000000000001
44,cv_no44,"[126, 348, 127]",34,0.256,13.900999999999998
45,cv_no45,"[163, 321, 296]",34,0.099,5.723000000000001
46,cv_no46,"[252, 357, 329]",34,0.035,5.548000000000002
47,cv_no47,"[123, 325, 124]",34,0.235,12.74
48,cv_no48,"[245, 250, 228]",34,0.034,4.491999999999999
49,cv_no49,"[145, 333, 146]",34,0.382,21.358000000000004
50,cv_no50,"[238, 239, 28]",34,0.107,5.887
51,cv_no51,"[229, 341, 217]",34,0.076,5.006
52,cv_no52,"[164, 337, 165]",34,0.289,16.595000000000002
53,cv_no53,"[150, 357, 151]",34,0.016,6.130000000000001
54,cv_no54,"[292, 384, 249]",34,0.001,0.12700000000000003
55,cv_no55,"[190, 356, 191]",34,0.138,7.286
56,cv_no56,"[291, 332, 131]",34,0.476,25.894
57,cv_no57,"[159, 334, 21]",34,0.103,13.175000000000006
58,cv_no58,"[275, 386, 221]",34,0.042,2.6539999999999995
59,cv_no59,"[234, 373, 225]",34,0.214,11.618000000000002
60,cv_no60,"[20, 370, 152]",34,0.126,10.655999999999997
61,cv_no61,"[250, 309, 247]",34,0.114,9.572999999999999
62,cv_no62,"[162, 321, 163]",34,0.06,3.3270000000000004
63,cv_no63,"[196, 359, 197]",34,0.159,8.658000000000001
64,cv_no64,"[230, 398, 253]",34,0.094,7.672000000000002
65,cv_no65,"[313, 363, 235]",34,0.004,0.9030000000000004
66,cv_no66,"[287, 321, 162]",34,0.028,1.8239999999999998
67,cv_no67,"[389, 396, 217]",34,0.026,3.552999999999999
68,cv_no68,"[348, 368, 127]",34,0.25,13.603000000000003
69,cv_no69,"[130, 319, 291]",34,0.423,22.975999999999996
70,cv_no70,"[198, 360, 199]",34,0.322,17.323
71,cv_no71,"[261, 334, 245]",34,0.051,8.073000000000002
72,cv_no72,"[236, 325, 299]",34,0.246,13.381
73,cv_no73,"[128, 347, 129]",34,0.362,19.587
74,cv_no74,"[125, 324, 126]",34,0.245,13.327000000000002
75,cv_no75,"[16, 323, 320]",34,0.326,17.586999999999996
76,cv_no76,"[42, 118, 41]",34,0.001,0.05800000000000003
77,cv_no77,"[40, 41, 119]",34,0.001,0.05700000000000003
78,cv_no78,"[372, 397, 276]",34,0.144,7.846
79,cv_no79,"[283, 308, 226]",34,0.246,15.791999999999998
80,cv_no80,"[246, 347, 257]",34,0.353,19.172
81,cv_no81,"[313, 316, 36]",34,0.003,0.30000000000000016
82,cv_no82,"[165, 307, 166]",34,0.444,25.692999999999998
83,cv_no83,"[45, 272, 44]",34,0.012,0.7740000000000005
84,cv_no84,"[285, 374, 336]",34,0.123,6.61
85,cv_no85,"[120, 298, 121]",34,0.24,12.974999999999998
86,cv_no86,"[225, 243, 234]",34,0.229,12.448999999999998
87,cv_no87,"[33, 254, 32]",34,0.122,6.856999999999999
88,cv_no88,"[273, 314, 254]",34,0.182,10.481999999999998
89,cv_no89,"[156, 309, 157]",34,0.163,12.554000000000004
90,cv_no90,"[284, 399, 117]",34,0.003,0.2060000000000001
91,cv_no91,"[287, 398, 232]",34,0.018,1.5199999999999991
92,cv_no92,"[221, 297, 275]",34,0.064,3.883
93,cv_no93,"[217, 316, 315]",34,0.017,2.295
94,cv_no94,"[379, 380, 172]",34,0.143,9.915000000000001
95,cv_no95,"[216, 367, 340]",34,0.232,12.650999999999994
96,cv_no96,"[148, 295, 149]",34,0.176,11.811
97,cv_no97,"[261, 294, 253]",34,0.13,11.045999999999998
98,cv_no98,"[217, 341, 316]",34,0.046,4.050000000000001
99,cv_no99,"[139, 383, 273]",34,0.115,7.063
100,cv_no100,"[122, 299, 123]",34,0.233,12.651
101,cv_no101,"[284, 394, 335]",34,0.011,0.7220000000000004
102,cv_no102,"[228, 389, 217]",34,0.03,3.6129999999999995
103,cv_no103,"[288, 289, 25]",34,0.108,5.585000000000003
104,cv_no104,"[244, 293, 236]",34,0.25,13.564000000000002
105,cv_no105,"[246, 395, 219]",34,0.303,16.445
106,cv_no106,"[38, 363, 37]",34,0.001,0.2390000000000001
107,cv_no107,"[227, 262, 242]",34,0.384,20.990999999999996
108,cv_no108,"[224, 322, 237]",34,0.175,10.128000000000004
109,cv_no109,"[29, 259, 238]",34,0.152,8.283999999999997
110,cv_no110,"[132, 302, 133]",34,0.549,29.890999999999995
111,cv_no111,"[154, 300, 155]",34,0.168,12.658999999999995
