,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.342,20.093999999999998
1,cv_no1,"[116, 384, 292]",34,0.003,0.1760000000000001
2,cv_no2,"[290, 328, 147]",34,0.611,23.069
3,cv_no3,"[160, 317, 161]",34,0.444,20.743
4,cv_no4,"[305, 326, 222]",34,0.014,1.7359999999999984
5,cv_no5,"[127, 368, 17]",34,0.57,20.628
6,cv_no6,"[24, 349, 184]",34,0.372,13.493
7,cv_no7,"[178, 353, 179]",34,0.337,15.573
8,cv_no8,"[272, 386, 335]",34,0.045,2.065
9,cv_no9,"[297, 390, 224]",34,0.285,12.35
10,cv_no10,"[16, 320, 120]",34,0.616,20.833999999999996
11,cv_no11,"[168, 350, 169]",34,0.019,8.028999999999998
12,cv_no12,"[129, 319, 130]",34,0.802,28.602999999999998
13,cv_no13,"[188, 351, 189]",34,0.384,12.133000000000003
14,cv_no14,"[283, 306, 46]",34,0.082,3.852000000000001
15,cv_no15,"[194, 354, 195]",34,0.308,9.597
16,cv_no16,"[293, 325, 236]",34,0.483,17.527000000000005
17,cv_no17,"[192, 355, 193]",34,0.128,4.010999999999999
18,cv_no18,"[44, 394, 284]",34,0.016,0.7910000000000004
19,cv_no19,"[218, 404, 252]",34,0.007,8.503
20,cv_no20,"[303, 362, 176]",34,0.304,15.709000000000001
21,cv_no21,"[247, 300, 251]",34,0.213,18.745
22,cv_no22,"[304, 364, 182]",34,0.308,12.423000000000002
23,cv_no23,"[181, 365, 304]",34,0.307,12.744
24,cv_no24,"[243, 298, 234]",34,0.497,17.349999999999998
25,cv_no25,"[319, 347, 246]",34,0.71,25.570000000000004
26,cv_no26,"[31, 372, 1]",34,0.133,4.615999999999999
27,cv_no27,"[23, 361, 303]",34,0.303,16.104999999999997
28,cv_no28,"[241, 262, 227]",34,0.914,34.06
29,cv_no29,"[146, 333, 290]",34,0.87,32.736999999999995
30,cv_no30,"[249, 384, 366]",34,0.012,0.7770000000000005
31,cv_no31,"[320, 323, 234]",34,0.535,18.312999999999995
32,cv_no32,"[167, 308, 22]",34,2.93,131.68900000000002
33,cv_no33,"[37, 313, 36]",34,0.007,0.6670000000000001
34,cv_no34,"[378, 379, 170]",34,0.327,22.088
35,cv_no35,"[244, 348, 324]",34,0.528,19.266000000000002
36,cv_no36,"[235, 363, 318]",34,0.008,0.8090000000000004
37,cv_no37,"[228, 250, 247]",34,0.053,9.422000000000004
38,cv_no38,"[131, 332, 132]",34,0.983,35.388
39,cv_no39,"[242, 332, 291]",34,0.817,29.607000000000006
40,cv_no40,"[225, 340, 236]",34,0.505,18.206
41,cv_no41,"[244, 395, 257]",34,0.614,22.250999999999998
42,cv_no42,"[117, 399, 116]",34,0.001,0.04100000000000003
43,cv_no43,"[149, 329, 150]",34,0.272,12.161
44,cv_no44,"[126, 348, 127]",34,0.491,18.056
45,cv_no45,"[163, 321, 296]",34,0.295,12.464999999999998
46,cv_no46,"[252, 357, 329]",34,0.121,9.022000000000002
47,cv_no47,"[123, 325, 124]",34,0.451,16.505000000000003
48,cv_no48,"[245, 250, 228]",34,0.053,9.370999999999999
49,cv_no49,"[145, 333, 146]",34,0.893,33.588
50,cv_no50,"[238, 239, 28]",34,0.323,10.5
51,cv_no51,"[229, 341, 217]",34,0.18,7.206
52,cv_no52,"[164, 337, 165]",34,0.743,31.620999999999995
53,cv_no53,"[150, 357, 151]",34,0.078,8.956999999999995
54,cv_no54,"[292, 384, 249]",34,0.006,0.3520000000000002
55,cv_no55,"[190, 356, 191]",34,0.322,10.03
56,cv_no56,"[291, 332, 131]",34,0.945,34.204
57,cv_no57,"[159, 334, 21]",34,0.206,13.802999999999997
58,cv_no58,"[275, 386, 221]",34,0.12,5.527
59,cv_no59,"[234, 373, 225]",34,0.454,15.780999999999999
60,cv_no60,"[20, 370, 152]",34,0.223,19.901999999999997
61,cv_no61,"[250, 309, 247]",34,0.209,18.403000000000002
62,cv_no62,"[162, 321, 163]",34,0.203,8.416
63,cv_no63,"[196, 359, 197]",34,0.463,14.540000000000001
64,cv_no64,"[230, 398, 253]",34,0.151,9.087999999999997
65,cv_no65,"[313, 363, 235]",34,0.001,0.9160000000000003
66,cv_no66,"[287, 321, 162]",34,0.131,5.4
67,cv_no67,"[389, 396, 217]",34,0.077,5.790000000000002
68,cv_no68,"[348, 368, 127]",34,0.478,17.634999999999998
69,cv_no69,"[130, 319, 291]",34,0.839,30.23299999999999
70,cv_no70,"[198, 360, 199]",34,0.774,24.642999999999997
71,cv_no71,"[261, 334, 245]",34,0.104,7.1869999999999985
72,cv_no72,"[236, 325, 299]",34,0.483,17.527000000000005
73,cv_no73,"[128, 347, 129]",34,0.712,25.445000000000004
74,cv_no74,"[125, 324, 126]",34,0.47,17.315999999999995
75,cv_no75,"[16, 323, 320]",34,0.724,24.009999999999994
76,cv_no76,"[42, 118, 41]",34,0.002,0.10200000000000006
77,cv_no77,"[40, 41, 119]",34,0.002,0.09800000000000006
78,cv_no78,"[372, 397, 276]",34,0.306,10.779
79,cv_no79,"[283, 308, 226]",34,0.601,26.932000000000002
80,cv_no80,"[246, 347, 257]",34,0.696,25.128999999999994
81,cv_no81,"[313, 316, 36]",34,0.006,0.3730000000000001
82,cv_no82,"[165, 307, 166]",34,1.116,47.781000000000006
83,cv_no83,"[45, 272, 44]",34,0.033,1.535
84,cv_no84,"[285, 374, 336]",34,0.313,10.211
85,cv_no85,"[120, 298, 121]",34,0.479,16.920999999999996
86,cv_no86,"[225, 243, 234]",34,0.468,16.613
87,cv_no87,"[33, 254, 32]",34,0.257,10.601999999999999
88,cv_no88,"[273, 314, 254]",34,0.401,17.669999999999998
89,cv_no89,"[156, 309, 157]",34,0.306,23.651
90,cv_no90,"[284, 399, 117]",34,0.009,0.4420000000000003
91,cv_no91,"[287, 398, 232]",34,0.103,4.497
92,cv_no92,"[221, 297, 275]",34,0.176,7.812000000000002
93,cv_no93,"[217, 316, 315]",34,0.04,2.9079999999999977
94,cv_no94,"[379, 380, 172]",34,0.348,21.796000000000003
95,cv_no95,"[216, 367, 340]",34,0.468,16.948
96,cv_no96,"[148, 295, 149]",34,0.43,16.828
97,cv_no97,"[261, 294, 253]",34,0.243,13.893000000000002
98,cv_no98,"[217, 341, 316]",34,0.117,5.776000000000003
99,cv_no99,"[139, 383, 273]",34,0.277,14.501000000000003
100,cv_no100,"[122, 299, 123]",34,0.451,16.381000000000004
101,cv_no101,"[284, 394, 335]",34,0.031,1.4779999999999998
102,cv_no102,"[228, 389, 217]",34,0.084,5.568999999999999
103,cv_no103,"[288, 289, 25]",34,0.128,4.0329999999999995
104,cv_no104,"[244, 293, 236]",34,0.486,17.713
105,cv_no105,"[246, 395, 219]",34,0.596,21.624
106,cv_no106,"[38, 363, 37]",34,0.0,0.21500000000000008
107,cv_no107,"[227, 262, 242]",34,0.765,28.085
108,cv_no108,"[224, 322, 237]",34,0.456,19.562000000000005
109,cv_no109,"[29, 259, 238]",34,0.398,13.060999999999996
110,cv_no110,"[132, 302, 133]",34,1.089,39.55599999999999
111,cv_no111,"[154, 300, 155]",34,0.312,23.718000000000004
112,cv_no112,"[32, 397, 31]",34,0.189,6.880999999999999
