,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,1.351,1.547
1,cv_no1,"[116, 384, 292]",34,0.006,0.062
2,cv_no2,"[290, 328, 147]",34,1.473,2.433
3,cv_no3,"[160, 317, 161]",34,1.008,1.38
4,cv_no4,"[305, 326, 222]",34,0.009,1.083
5,cv_no5,"[127, 368, 17]",34,0.012,0.017
6,cv_no6,"[24, 349, 184]",34,0.004,0.005
7,cv_no7,"[178, 353, 179]",34,0.057,0.066
8,cv_no8,"[272, 386, 335]",34,0.07,0.187
9,cv_no9,"[297, 390, 224]",34,0.4,0.601
10,cv_no10,"[16, 320, 120]",34,0.023,0.032
11,cv_no11,"[168, 350, 169]",34,1.584,4.075
12,cv_no12,"[129, 319, 130]",34,0.007,0.01
13,cv_no13,"[188, 351, 189]",34,0.001,0.001
14,cv_no14,"[283, 306, 46]",34,0.233,0.272
15,cv_no15,"[194, 354, 195]",34,0.006,0.009000000000000001
16,cv_no16,"[293, 325, 236]",34,0.022,0.03
17,cv_no17,"[192, 355, 193]",34,0.004,0.006
18,cv_no18,"[44, 394, 284]",34,0.033,0.087
19,cv_no19,"[218, 404, 252]",34,2.174,3.596
20,cv_no20,"[303, 362, 176]",34,0.222,0.257
21,cv_no21,"[247, 300, 251]",34,2.322,4.415
22,cv_no22,"[304, 364, 182]",34,0.014,0.017
23,cv_no23,"[181, 365, 304]",34,0.013,0.013999999999999999
24,cv_no24,"[243, 298, 234]",34,0.021,0.029
25,cv_no25,"[319, 347, 246]",34,0.018,0.024999999999999998
26,cv_no26,"[31, 372, 1]",34,0.006,0.008
27,cv_no27,"[23, 361, 303]",34,0.327,0.375
28,cv_no28,"[241, 262, 227]",34,0.073,0.10099999999999999
29,cv_no29,"[146, 333, 290]",34,1.264,2.225
30,cv_no30,"[249, 384, 366]",34,0.03,0.219
31,cv_no31,"[320, 323, 234]",34,0.02,0.028
32,cv_no32,"[167, 308, 22]",34,5.25,7.724
33,cv_no33,"[37, 313, 36]",34,0.062,0.418
34,cv_no34,"[378, 379, 170]",34,3.112,4.226
35,cv_no35,"[244, 348, 324]",34,0.02,0.028
36,cv_no36,"[235, 363, 318]",34,0.04,0.357
37,cv_no37,"[228, 250, 247]",34,1.141,3.821
38,cv_no38,"[131, 332, 132]",34,0.016,0.022
39,cv_no39,"[242, 332, 291]",34,0.028,0.039
40,cv_no40,"[225, 340, 236]",34,0.023,0.032
41,cv_no41,"[244, 395, 257]",34,0.021,0.029
42,cv_no42,"[117, 399, 116]",34,0.001,0.007
43,cv_no43,"[149, 329, 150]",34,2.407,3.17
44,cv_no44,"[126, 348, 127]",34,0.016,0.022
45,cv_no45,"[163, 321, 296]",34,0.342,0.5820000000000001
46,cv_no46,"[252, 357, 329]",34,2.535,3.499
47,cv_no47,"[123, 325, 124]",34,0.021,0.029
48,cv_no48,"[245, 250, 228]",34,1.139,3.8120000000000003
49,cv_no49,"[145, 333, 146]",34,1.341,2.271
50,cv_no50,"[238, 239, 28]",34,0.004,0.006
51,cv_no51,"[229, 341, 217]",34,0.623,1.341
52,cv_no52,"[164, 337, 165]",34,1.015,1.021
53,cv_no53,"[150, 357, 151]",34,3.18,3.8390000000000004
54,cv_no54,"[292, 384, 249]",34,0.013,0.097
55,cv_no55,"[190, 356, 191]",34,0.0,0.0
56,cv_no56,"[291, 332, 131]",34,0.026,0.036
57,cv_no57,"[159, 334, 21]",34,0.43,5.8709999999999996
58,cv_no58,"[275, 386, 221]",34,0.172,0.532
59,cv_no59,"[234, 373, 225]",34,0.018,0.024999999999999998
60,cv_no60,"[20, 370, 152]",34,3.467,4.33
61,cv_no61,"[250, 309, 247]",34,1.89,4.733
62,cv_no62,"[162, 321, 163]",34,0.25,0.319
63,cv_no63,"[196, 359, 197]",34,0.007,0.01
64,cv_no64,"[230, 398, 253]",34,0.535,1.9769999999999999
65,cv_no65,"[313, 363, 235]",34,0.067,0.627
66,cv_no66,"[287, 321, 162]",34,0.052,0.46299999999999997
67,cv_no67,"[389, 396, 217]",34,1.067,2.5540000000000003
68,cv_no68,"[348, 368, 127]",34,0.018,0.024999999999999998
69,cv_no69,"[130, 319, 291]",34,0.024,0.033
70,cv_no70,"[198, 360, 199]",34,0.006,0.009000000000000001
71,cv_no71,"[261, 334, 245]",34,0.092,4.109999999999999
72,cv_no72,"[236, 325, 299]",34,0.022,0.03
73,cv_no73,"[128, 347, 129]",34,0.018,0.024999999999999998
74,cv_no74,"[125, 324, 126]",34,0.018,0.024999999999999998
75,cv_no75,"[16, 323, 320]",34,0.025,0.035
76,cv_no76,"[42, 118, 41]",34,0.005,0.011
77,cv_no77,"[40, 41, 119]",34,0.005,0.011
78,cv_no78,"[372, 397, 276]",34,0.015,0.020999999999999998
79,cv_no79,"[283, 308, 226]",34,0.906,2.04
80,cv_no80,"[246, 347, 257]",34,0.02,0.028
81,cv_no81,"[313, 316, 36]",34,0.043,0.16399999999999998
82,cv_no82,"[165, 307, 166]",34,1.57,1.633
83,cv_no83,"[45, 272, 44]",34,0.053,0.132
84,cv_no84,"[285, 374, 336]",34,0.001,0.001
85,cv_no85,"[120, 298, 121]",34,0.022,0.031
86,cv_no86,"[225, 243, 234]",34,0.021,0.029
87,cv_no87,"[33, 254, 32]",34,0.107,0.147
88,cv_no88,"[273, 314, 254]",34,0.257,0.356
89,cv_no89,"[156, 309, 157]",34,2.15,5.273
90,cv_no90,"[284, 399, 117]",34,0.016,0.069
91,cv_no91,"[287, 398, 232]",34,0.017,0.72
92,cv_no92,"[221, 297, 275]",34,0.25,0.527
93,cv_no93,"[217, 316, 315]",34,0.361,1.472
94,cv_no94,"[379, 380, 172]",34,2.654,3.116
95,cv_no95,"[216, 367, 340]",34,0.025,0.035
96,cv_no96,"[148, 295, 149]",34,1.98,2.795
97,cv_no97,"[261, 294, 253]",34,0.669,3.118
98,cv_no98,"[217, 341, 316]",34,0.775,1.927
99,cv_no99,"[139, 383, 273]",34,0.486,0.675
100,cv_no100,"[122, 299, 123]",34,0.021,0.029
101,cv_no101,"[284, 394, 335]",34,0.052,0.173
102,cv_no102,"[228, 389, 217]",34,0.936,2.374
103,cv_no103,"[288, 289, 25]",34,0.001,0.001
104,cv_no104,"[244, 293, 236]",34,0.021,0.029
105,cv_no105,"[246, 395, 219]",34,0.023,0.032
106,cv_no106,"[38, 363, 37]",34,0.014,0.15200000000000002
107,cv_no107,"[227, 262, 242]",34,0.044,0.061
108,cv_no108,"[224, 322, 237]",34,0.652,0.7190000000000001
109,cv_no109,"[29, 259, 238]",34,0.007,0.01
110,cv_no110,"[132, 302, 133]",34,0.037,0.051
111,cv_no111,"[154, 300, 155]",34,2.656,4.737
112,cv_no112,"[32, 397, 31]",34,0.014,0.019
113,cv_no113,"[283, 403, 306]",34,0.497,0.73
114,cv_no114,"[236, 340, 219]",34,0.025,0.034
115,cv_no115,"[45, 306, 272]",34,0.046,0.064
116,cv_no116,"[224, 311, 297]",34,0.196,0.808
117,cv_no117,"[228, 315, 245]",34,0.453,2.8659999999999997
118,cv_no118,"[264, 357, 252]",34,2.411,3.473
119,cv_no119,"[30, 372, 233]",34,0.009,0.013
120,cv_no120,"[237, 322, 240]",34,1.112,1.282
121,cv_no121,"[219, 367, 242]",34,0.03,0.040999999999999995
122,cv_no122,"[136, 342, 314]",34,0.277,0.384
123,cv_no123,"[297, 311, 222]",34,0.108,0.815
124,cv_no124,"[219, 395, 244]",34,0.024,0.033
125,cv_no125,"[36, 316, 35]",34,0.235,0.7979999999999999
126,cv_no126,"[144, 345, 344]",34,0.871,1.937
127,cv_no127,"[191, 356, 288]",34,0.004,0.006
128,cv_no128,"[316, 341, 35]",34,0.148,0.361
129,cv_no129,"[161, 317, 287]",34,0.647,1.5899999999999999
130,cv_no130,"[185, 336, 186]",34,0.0,0.0
131,cv_no131,"[218, 396, 389]",34,1.612,2.973
132,cv_no132,"[262, 302, 242]",34,0.05,0.069
133,cv_no133,"[134, 301, 135]",34,0.06,0.08299999999999999
134,cv_no134,"[158, 310, 159]",34,1.085,6.003
135,cv_no135,"[236, 299, 243]",34,0.022,0.03
136,cv_no136,"[387, 398, 230]",34,0.069,1.02
137,cv_no137,"[232, 387, 224]",34,0.192,0.7689999999999999
138,cv_no138,"[275, 400, 220]",34,0.083,0.58
139,cv_no139,"[28, 392, 0]",34,0.001,0.001
140,cv_no140,"[318, 366, 220]",34,0.061,0.408
141,cv_no141,"[276, 397, 216]",34,0.018,0.024999999999999998
142,cv_no142,"[35, 258, 34]",34,0.419,0.863
143,cv_no143,"[252, 295, 248]",34,1.81,2.922
144,cv_no144,"[254, 342, 312]",34,0.147,0.20299999999999999
145,cv_no145,"[251, 358, 264]",34,2.86,4.18
146,cv_no146,"[29, 238, 28]",34,0.006,0.008
147,cv_no147,"[231, 393, 223]",34,0.045,1.49
148,cv_no148,"[326, 400, 275]",34,0.102,0.616
149,cv_no149,"[183, 382, 24]",34,0.005,0.006
150,cv_no150,"[184, 377, 185]",34,0.002,0.002
151,cv_no151,"[169, 378, 170]",34,2.595,4.021
152,cv_no152,"[252, 404, 264]",34,2.525,3.679
153,cv_no153,"[189, 371, 190]",34,0.002,0.003
154,cv_no154,"[224, 390, 322]",34,0.468,0.71
155,cv_no155,"[231, 294, 261]",34,0.093,1.838
156,cv_no156,"[174, 376, 175]",34,0.87,0.997
157,cv_no157,"[177, 381, 178]",34,0.097,0.112
158,cv_no158,"[193, 385, 194]",34,0.006,0.009000000000000001
159,cv_no159,"[172, 380, 173]",34,1.975,2.289
160,cv_no160,"[303, 361, 280]",34,0.573,0.6559999999999999
161,cv_no161,"[153, 358, 339]",34,3.043,4.519
162,cv_no162,"[197, 388, 198]",34,0.006,0.008
163,cv_no163,"[373, 401, 233]",34,0.015,0.020999999999999998
164,cv_no164,"[187, 375, 188]",34,0.001,0.001
165,cv_no165,"[270, 365, 353]",34,0.027,0.032
166,cv_no166,"[318, 400, 235]",34,0.065,0.6120000000000001
167,cv_no167,"[245, 334, 310]",34,0.174,3.995
168,cv_no168,"[240, 322, 226]",34,0.87,1.146
169,cv_no169,"[156, 338, 309]",34,2.38,5.271
170,cv_no170,"[31, 397, 372]",34,0.0,0.0
171,cv_no171,"[134, 331, 301]",34,0.065,0.09
172,cv_no172,"[324, 348, 126]",34,0.013,0.018
173,cv_no173,"[309, 346, 157]",34,2.132,5.588
174,cv_no174,"[232, 321, 287]",34,0.075,0.591
175,cv_no175,"[310, 334, 159]",34,0.759,6.659000000000001
176,cv_no176,"[307, 369, 166]",34,1.83,2.221
177,cv_no177,"[186, 374, 187]",34,0.003,0.004
178,cv_no178,"[235, 400, 326]",34,0.062,0.732
179,cv_no179,"[116, 399, 384]",34,0.007,0.042
180,cv_no180,"[288, 356, 286]",34,0.002,0.003
181,cv_no181,"[285, 336, 50]",34,0.0,0.0
182,cv_no182,"[48, 303, 280]",34,0.051,0.05499999999999999
183,cv_no183,"[158, 346, 310]",34,1.536,6.0920000000000005
184,cv_no184,"[357, 370, 151]",34,2.965,3.79
185,cv_no185,"[160, 391, 317]",34,1.417,3.35
186,cv_no186,"[329, 357, 150]",34,2.39,3.274
187,cv_no187,"[50, 336, 277]",34,0.0,0.0
188,cv_no188,"[224, 387, 311]",34,0.303,0.756
189,cv_no189,"[291, 319, 246]",34,0.021,0.029
190,cv_no190,"[333, 344, 263]",34,1.188,2.1879999999999997
191,cv_no191,"[145, 344, 333]",34,1.13,2.131
192,cv_no192,"[167, 369, 308]",34,2.097,2.752
193,cv_no193,"[265, 392, 289]",34,0.001,0.001
194,cv_no194,"[258, 274, 34]",34,0.299,0.514
195,cv_no195,"[286, 351, 285]",34,0.001,0.001
196,cv_no196,"[358, 370, 264]",34,2.805,3.967
197,cv_no197,"[267, 359, 354]",34,0.001,0.001
198,cv_no198,"[273, 383, 314]",34,0.446,0.619
199,cv_no199,"[311, 402, 222]",34,0.042,0.906
200,cv_no200,"[304, 365, 270]",34,0.028,0.033
201,cv_no201,"[234, 401, 373]",34,0.017,0.024
202,cv_no202,"[255, 273, 33]",34,0.145,0.19999999999999998
203,cv_no203,"[281, 350, 282]",34,1.234,3.52
204,cv_no204,"[271, 303, 48]",34,0.086,0.09499999999999999
205,cv_no205,"[233, 401, 259]",34,0.011,0.015
206,cv_no206,"[254, 312, 32]",34,0.02,0.028
207,cv_no207,"[247, 389, 228]",34,1.633,3.663
208,cv_no208,"[278, 304, 49]",34,0.001,0.001
209,cv_no209,"[318, 363, 249]",34,0.041,0.36
210,cv_no210,"[271, 362, 303]",34,0.13,0.151
211,cv_no211,"[257, 368, 348]",34,0.018,0.024999999999999998
212,cv_no212,"[390, 403, 226]",34,0.503,0.549
213,cv_no213,"[278, 364, 304]",34,0.008,0.009000000000000001
214,cv_no214,"[253, 398, 317]",34,0.6,2.158
215,cv_no215,"[128, 368, 347]",34,0.017,0.023
216,cv_no216,"[258, 341, 327]",34,0.554,1.15
217,cv_no217,"[229, 396, 248]",34,1.282,2.322
218,cv_no218,"[33, 273, 254]",34,0.073,0.098
219,cv_no219,"[282, 283, 46]",34,0.376,0.726
