,no,cv_no,region,temp_I,integ_I
531,cv_no531,"[181, 205, 180, 204]",65,1.5205928082946414,29.199266352310538
532,cv_no532,"[180, 204, 179, 203]",66,1.4945165015548139,29.953547040409752
533,cv_no533,"[179, 203, 178, 202]",67,1.4880123187951229,30.515967904485574
534,cv_no534,"[177, 178, 201, 202]",68,1.4849157912295707,31.06182234868151
535,cv_no535,"[176, 177, 200, 201]",69,1.4780324028462677,31.684740692132106
536,cv_no536,"[174, 175, 114, 115]",70,1.3777887953879873,34.90330433355422
537,cv_no537,"[104, 164, 105, 165]",71,0.9775634746485898,34.45937096592417
538,cv_no538,"[166, 106, 165, 105]",72,0.9722624194363141,34.46663171661409
539,cv_no539,"[104, 103, 164, 163]",73,0.9752023105864766,34.57287952061785
540,cv_no540,"[26, 207, 24, 183]",74,1.5770362273951453,27.436700401589672
541,cv_no541,"[161, 162, 101, 102]",75,0.9518657023444338,35.13663606267405
542,cv_no542,"[141, 81, 140, 80]",76,1.4686901338040366,34.732872007261385
543,cv_no543,"[80, 79, 140, 139]",77,1.4840294650472061,33.86783344168154
544,cv_no544,"[138, 139, 78, 79]",78,1.4781335630930255,33.31289310711064
545,cv_no545,"[56, 196, 57, 197]",79,1.2866589829676727,19.490889552857542
546,cv_no546,"[198, 58, 197, 57]",80,1.2833308454122485,19.568600168830535
547,cv_no547,"[56, 55, 196, 195]",81,1.2886123251900425,19.431811665543187
548,cv_no548,"[55, 54, 195, 194]",82,1.2895674662266603,19.3953660784248
549,cv_no549,"[193, 194, 53, 54]",83,1.2907006415077387,19.382180627108447
550,cv_no550,"[26, 24, 208, 184]",84,1.5857995663782198,27.027377872079143
551,cv_no551,"[21, 160, 14, 100]",85,0.7033697012962223,42.357505460410664
552,cv_no552,"[63, 62, 123, 122]",86,1.355344418100179,21.750083035715818
553,cv_no553,"[62, 61, 122, 121]",87,1.3559128957300426,21.691290093127876
554,cv_no554,"[61, 60, 121, 120]",88,1.359650932497039,21.63734344360455
555,cv_no555,"[58, 198, 59, 199]",89,1.2795441356673714,19.692807260187603
556,cv_no556,"[53, 52, 193, 192]",90,1.2883680750340565,19.399800575984983
557,cv_no557,"[13, 20, 92, 152]",91,1.0867603365312255,33.99837195037463
558,cv_no558,"[13, 91, 20, 151]",92,1.0599457488632098,33.84294377169446
559,cv_no559,"[10, 17, 68, 128]",93,1.3257439452143711,21.717810891883918
560,cv_no560,"[10, 67, 17, 127]",94,1.3427515298030113,21.92336266740425
561,cv_no561,"[22, 168, 15, 108]",95,0.9209826775407851,51.74205706268527
562,cv_no562,"[22, 15, 167, 107]",96,0.7823256078390024,39.000502453096374
563,cv_no563,"[64, 63, 124, 123]",97,1.3522762626300913,21.79339222781648
564,cv_no564,"[21, 14, 159, 99]",98,0.7593462520598643,44.951253045442535
565,cv_no565,"[19, 144, 12, 84]",99,1.1676104956491182,30.63929094607281
566,cv_no566,"[19, 12, 143, 83]",100,1.4451536467880723,37.31683363558614
567,cv_no567,"[18, 136, 11, 76]",101,1.5539771032327458,30.432706481909463
568,cv_no568,"[18, 11, 135, 75]",102,1.2709790258071725,23.77247326431441
569,cv_no569,"[16, 120, 9, 60]",103,1.361994460851968,21.547451344201974
570,cv_no570,"[16, 9, 199, 59]",104,1.2734168218256614,19.839722389276968
571,cv_no571,"[25, 8, 191, 215]",105,1.6518705950436363,25.04570403688862
572,cv_no572,"[25, 192, 8, 52]",106,1.2891294865862437,19.4471923669439
573,cv_no573,"[185, 209, 184, 208]",107,1.599076594781736,26.602807759648744
574,cv_no574,"[77, 76, 137, 136]",108,1.5294645004050338,31.40191955837513
575,cv_no575,"[91, 90, 151, 150]",109,1.1621383147234006,31.946783924682276
576,cv_no576,"[90, 89, 150, 149]",110,1.1690260998805238,31.766273442467373
577,cv_no577,"[89, 88, 149, 148]",111,1.1710940036197812,31.613961429616182
578,cv_no578,"[88, 87, 148, 147]",112,1.172156012687208,31.47389320281899
579,cv_no579,"[87, 86, 147, 146]",113,1.1722154186856664,31.301269688974863
580,cv_no580,"[86, 85, 146, 145]",114,1.1730016303625457,31.111189165640255
581,cv_no581,"[85, 84, 145, 144]",115,1.1729334814055925,30.862333665969462
582,cv_no582,"[82, 142, 83, 143]",116,1.4679824020516823,36.155637386459084
583,cv_no583,"[81, 141, 82, 142]",117,1.4689912439753654,35.41733475555226
584,cv_no584,"[78, 77, 138, 137]",118,1.504793277951045,32.332956804816874
585,cv_no585,"[92, 152, 93, 153]",119,1.177081911323156,32.4947361036481
586,cv_no586,"[74, 134, 75, 135]",120,1.2641454117750046,23.5177761670797
587,cv_no587,"[73, 133, 74, 134]",121,1.2812403679598732,23.05870606913632
588,cv_no588,"[72, 132, 73, 133]",122,1.2879618219502684,22.788626682067527
589,cv_no589,"[71, 131, 72, 132]",123,1.3083912219989418,22.39229735815409
590,cv_no590,"[70, 130, 71, 131]",124,1.3148680770315935,22.185311750654357
591,cv_no591,"[69, 129, 70, 130]",125,1.3237114675912744,21.952737459959828
592,cv_no592,"[68, 128, 69, 129]",126,1.3294418532543244,21.794180001657665
593,cv_no593,"[67, 66, 127, 126]",127,1.3492102665877277,21.893353048771928
594,cv_no594,"[66, 65, 126, 125]",128,1.3499193798505082,21.864638105968766
595,cv_no595,"[65, 64, 125, 124]",129,1.3518888056952338,21.84079895640592
