,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.154,8.737999999999998
1,cv_no1,"[116, 384, 292]",34,0.0,0.064
2,cv_no2,"[290, 328, 147]",34,0.287,13.943000000000003
3,cv_no3,"[160, 317, 161]",34,0.248,12.888000000000002
4,cv_no4,"[305, 326, 222]",34,0.008,1.8059999999999992
5,cv_no5,"[127, 368, 17]",34,0.327,14.397999999999998
6,cv_no6,"[24, 349, 184]",34,0.165,7.489
7,cv_no7,"[178, 353, 179]",34,0.154,7.629999999999998
8,cv_no8,"[272, 386, 335]",34,0.018,0.9330000000000004
9,cv_no9,"[297, 390, 224]",34,0.118,5.7139999999999995
10,cv_no10,"[16, 320, 120]",34,0.318,13.985000000000001
11,cv_no11,"[168, 350, 169]",34,0.002,2.8009999999999984
12,cv_no12,"[129, 319, 130]",34,0.449,19.807000000000006
13,cv_no13,"[188, 351, 189]",34,0.167,7.260000000000001
14,cv_no14,"[283, 306, 46]",34,0.037,1.8519999999999996
15,cv_no15,"[194, 354, 195]",34,0.071,3.291000000000001
16,cv_no16,"[293, 325, 236]",34,0.273,12.097
17,cv_no17,"[192, 355, 193]",34,0.094,3.619
18,cv_no18,"[44, 394, 284]",34,0.007,0.39500000000000024
19,cv_no19,"[218, 404, 252]",34,0.016,3.6179999999999994
20,cv_no20,"[303, 362, 176]",34,0.14,7.193999999999998
21,cv_no21,"[247, 300, 251]",34,0.131,9.154999999999994
22,cv_no22,"[304, 364, 182]",34,0.139,6.487
23,cv_no23,"[181, 365, 304]",34,0.139,6.581999999999999
24,cv_no24,"[243, 298, 234]",34,0.268,11.798000000000002
25,cv_no25,"[319, 347, 246]",34,0.4,17.666999999999994
26,cv_no26,"[31, 372, 1]",34,0.068,2.9920000000000004
27,cv_no27,"[23, 361, 303]",34,0.139,7.277
28,cv_no28,"[241, 262, 227]",34,0.508,22.771999999999995
29,cv_no29,"[146, 333, 290]",34,0.414,18.883000000000006
30,cv_no30,"[249, 384, 366]",34,0.003,0.2840000000000001
31,cv_no31,"[320, 323, 234]",34,0.278,12.24
32,cv_no32,"[167, 308, 22]",34,1.332,67.46099999999998
33,cv_no33,"[37, 313, 36]",34,0.005,0.6550000000000002
34,cv_no34,"[378, 379, 170]",34,0.148,8.836999999999998
35,cv_no35,"[244, 348, 324]",34,0.301,13.334000000000001
36,cv_no36,"[235, 363, 318]",34,0.0,0.37600000000000006
37,cv_no37,"[228, 250, 247]",34,0.036,4.345999999999998
38,cv_no38,"[131, 332, 132]",34,0.549,24.305000000000003
39,cv_no39,"[242, 332, 291]",34,0.457,20.254
40,cv_no40,"[225, 340, 236]",34,0.281,12.431999999999999
41,cv_no41,"[244, 395, 257]",34,0.346,15.325999999999999
42,cv_no42,"[117, 399, 116]",34,0.0,0.008
43,cv_no43,"[149, 329, 150]",34,0.117,8.389000000000001
44,cv_no44,"[126, 348, 127]",34,0.284,12.57
45,cv_no45,"[163, 321, 296]",34,0.109,5.208
46,cv_no46,"[252, 357, 329]",34,0.041,5.363000000000002
47,cv_no47,"[123, 325, 124]",34,0.261,11.520999999999999
48,cv_no48,"[245, 250, 228]",34,0.035,4.319999999999999
49,cv_no49,"[145, 333, 146]",34,0.425,19.364
50,cv_no50,"[238, 239, 28]",34,0.119,5.3260000000000005
51,cv_no51,"[229, 341, 217]",34,0.085,4.6080000000000005
52,cv_no52,"[164, 337, 165]",34,0.319,15.091
53,cv_no53,"[150, 357, 151]",34,0.021,6.037000000000002
54,cv_no54,"[292, 384, 249]",34,0.001,0.12200000000000004
55,cv_no55,"[190, 356, 191]",34,0.153,6.563000000000001
56,cv_no56,"[291, 332, 131]",34,0.528,23.415
57,cv_no57,"[159, 334, 21]",34,0.117,12.634000000000004
58,cv_no58,"[275, 386, 221]",34,0.046,2.4359999999999995
59,cv_no59,"[234, 373, 225]",34,0.238,10.499
60,cv_no60,"[20, 370, 152]",34,0.137,10.005999999999997
61,cv_no61,"[250, 309, 247]",34,0.125,8.982999999999999
62,cv_no62,"[162, 321, 163]",34,0.066,3.0160000000000005
63,cv_no63,"[196, 359, 197]",34,0.177,7.822
64,cv_no64,"[230, 398, 253]",34,0.105,7.182000000000002
65,cv_no65,"[313, 363, 235]",34,0.004,0.8830000000000003
66,cv_no66,"[287, 321, 162]",34,0.031,1.68
67,cv_no67,"[389, 396, 217]",34,0.03,3.4169999999999994
68,cv_no68,"[348, 368, 127]",34,0.277,12.302999999999999
69,cv_no69,"[130, 319, 291]",34,0.47,20.77
70,cv_no70,"[198, 360, 199]",34,0.358,15.636
71,cv_no71,"[261, 334, 245]",34,0.059,7.804000000000001
72,cv_no72,"[236, 325, 299]",34,0.273,12.097
73,cv_no73,"[128, 347, 129]",34,0.402,17.703000000000003
74,cv_no74,"[125, 324, 126]",34,0.272,12.050000000000002
75,cv_no75,"[16, 323, 320]",34,0.361,15.886999999999995
76,cv_no76,"[42, 118, 41]",34,0.001,0.053000000000000026
77,cv_no77,"[40, 41, 119]",34,0.001,0.052000000000000025
78,cv_no78,"[372, 397, 276]",34,0.16,7.094
79,cv_no79,"[283, 308, 226]",34,0.273,14.509999999999998
80,cv_no80,"[246, 347, 257]",34,0.392,17.333000000000002
81,cv_no81,"[313, 316, 36]",34,0.003,0.28500000000000014
82,cv_no82,"[165, 307, 166]",34,0.491,23.383000000000003
83,cv_no83,"[45, 272, 44]",34,0.014,0.7090000000000004
84,cv_no84,"[285, 374, 336]",34,0.136,5.969
85,cv_no85,"[120, 298, 121]",34,0.267,11.724
86,cv_no86,"[225, 243, 234]",34,0.255,11.252999999999998
87,cv_no87,"[33, 254, 32]",34,0.135,6.224
88,cv_no88,"[273, 314, 254]",34,0.202,9.534999999999998
89,cv_no89,"[156, 309, 157]",34,0.178,11.709000000000001
90,cv_no90,"[284, 399, 117]",34,0.003,0.1910000000000001
91,cv_no91,"[287, 398, 232]",34,0.019,1.4279999999999993
92,cv_no92,"[221, 297, 275]",34,0.071,3.548
93,cv_no93,"[217, 316, 315]",34,0.02,2.204
94,cv_no94,"[379, 380, 172]",34,0.157,9.173
95,cv_no95,"[216, 367, 340]",34,0.258,11.441999999999997
96,cv_no96,"[148, 295, 149]",34,0.197,10.889999999999999
97,cv_no97,"[261, 294, 253]",34,0.146,10.366
98,cv_no98,"[217, 341, 316]",34,0.052,3.807
99,cv_no99,"[139, 383, 273]",34,0.126,6.467
100,cv_no100,"[122, 299, 123]",34,0.259,11.435
101,cv_no101,"[284, 394, 335]",34,0.012,0.6650000000000004
102,cv_no102,"[228, 389, 217]",34,0.034,3.4519999999999995
103,cv_no103,"[288, 289, 25]",34,0.12,5.022000000000001
104,cv_no104,"[244, 293, 236]",34,0.277,12.263
105,cv_no105,"[246, 395, 219]",34,0.336,14.868
106,cv_no106,"[38, 363, 37]",34,0.001,0.2340000000000001
107,cv_no107,"[227, 262, 242]",34,0.426,18.987999999999996
108,cv_no108,"[224, 322, 237]",34,0.193,9.217000000000002
109,cv_no109,"[29, 259, 238]",34,0.169,7.488999999999998
110,cv_no110,"[132, 302, 133]",34,0.609,27.031999999999996
111,cv_no111,"[154, 300, 155]",34,0.184,11.788999999999998
112,cv_no112,"[32, 397, 31]",34,0.102,4.557
113,cv_no113,"[283, 403, 306]",34,0.144,7.145000000000002
114,cv_no114,"[236, 340, 219]",34,0.287,12.735999999999999
115,cv_no115,"[45, 306, 272]",34,0.012,0.5970000000000003
116,cv_no116,"[224, 311, 297]",34,0.064,3.395000000000001
117,cv_no117,"[228, 315, 245]",34,0.022,3.782
118,cv_no118,"[264, 357, 252]",34,0.036,4.94
119,cv_no119,"[30, 372, 233]",34,0.127,5.602999999999999
120,cv_no120,"[237, 322, 240]",34,0.326,15.734000000000005
121,cv_no121,"[219, 367, 242]",34,0.346,15.344
122,cv_no122,"[136, 342, 314]",34,0.265,12.474999999999998
123,cv_no123,"[297, 311, 222]",34,0.03,1.8929999999999996
124,cv_no124,"[219, 395, 244]",34,0.323,14.313
125,cv_no125,"[36, 316, 35]",34,0.017,1.4279999999999997
126,cv_no126,"[144, 345, 344]",34,0.401,18.469
127,cv_no127,"[191, 356, 288]",34,0.134,5.6899999999999995
128,cv_no128,"[316, 341, 35]",34,0.016,0.9830000000000003
129,cv_no129,"[161, 317, 287]",34,0.136,8.111000000000002
130,cv_no130,"[185, 336, 186]",34,0.147,6.525999999999999
131,cv_no131,"[218, 396, 389]",34,0.055,4.773999999999999
132,cv_no132,"[262, 302, 242]",34,0.525,23.400999999999993
133,cv_no133,"[134, 301, 135]",34,0.835,37.379000000000005
134,cv_no134,"[158, 310, 159]",34,0.107,8.931
135,cv_no135,"[236, 299, 243]",34,0.267,11.774
136,cv_no136,"[387, 398, 230]",34,0.0,1.397999999999999
137,cv_no137,"[232, 387, 224]",34,0.068,3.525
138,cv_no138,"[275, 400, 220]",34,0.015,1.0510000000000002
139,cv_no139,"[28, 392, 0]",34,0.023,1.0820000000000003
140,cv_no140,"[318, 366, 220]",34,0.009,0.6910000000000003
141,cv_no141,"[276, 397, 216]",34,0.149,6.6370000000000005
142,cv_no142,"[35, 258, 34]",34,0.052,2.809000000000001
143,cv_no143,"[252, 295, 248]",34,0.124,7.7330000000000005
144,cv_no144,"[254, 342, 312]",34,0.278,12.708000000000004
145,cv_no145,"[251, 358, 264]",34,0.118,8.711999999999998
146,cv_no146,"[29, 238, 28]",34,0.125,5.578000000000001
147,cv_no147,"[231, 393, 223]",34,0.031,3.276
148,cv_no148,"[326, 400, 275]",34,0.022,1.414
149,cv_no149,"[183, 382, 24]",34,0.164,7.551999999999998
150,cv_no150,"[184, 377, 185]",34,0.157,7.064
151,cv_no151,"[169, 378, 170]",34,0.11,6.959999999999999
152,cv_no152,"[252, 404, 264]",34,0.011,3.7089999999999983
153,cv_no153,"[189, 371, 190]",34,0.167,7.214
154,cv_no154,"[224, 390, 322]",34,0.142,6.855
155,cv_no155,"[231, 294, 261]",34,0.049,4.598
156,cv_no156,"[174, 376, 175]",34,0.155,8.545
157,cv_no157,"[177, 381, 178]",34,0.157,7.9159999999999995
158,cv_no158,"[193, 385, 194]",34,0.004,0.521
159,cv_no159,"[172, 380, 173]",34,0.145,8.339
160,cv_no160,"[303, 361, 280]",34,0.132,7.126999999999997
