,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.134,9.873999999999999
1,cv_no1,"[116, 384, 292]",34,0.0,0.064
2,cv_no2,"[290, 328, 147]",34,0.243,16.030000000000005
3,cv_no3,"[160, 317, 161]",34,0.213,14.707
4,cv_no4,"[305, 326, 222]",34,0.006,1.8599999999999988
5,cv_no5,"[127, 368, 17]",34,0.279,16.785999999999998
6,cv_no6,"[24, 349, 184]",34,0.141,8.694
7,cv_no7,"[178, 353, 179]",34,0.132,8.757999999999997
8,cv_no8,"[272, 386, 335]",34,0.015,1.0650000000000004
9,cv_no9,"[297, 390, 224]",34,0.101,6.578
10,cv_no10,"[16, 320, 120]",34,0.271,16.305000000000003
11,cv_no11,"[168, 350, 169]",34,0.004,2.8249999999999984
12,cv_no12,"[129, 319, 130]",34,0.383,23.085000000000004
13,cv_no13,"[188, 351, 189]",34,0.142,8.481
14,cv_no14,"[283, 306, 46]",34,0.032,2.1219999999999994
15,cv_no15,"[194, 354, 195]",34,0.06,3.8080000000000007
16,cv_no16,"[293, 325, 236]",34,0.233,14.091
17,cv_no17,"[192, 355, 193]",34,0.079,4.301
18,cv_no18,"[44, 394, 284]",34,0.006,0.4490000000000003
19,cv_no19,"[218, 404, 252]",34,0.016,3.7459999999999996
20,cv_no20,"[303, 362, 176]",34,0.12,8.217999999999996
21,cv_no21,"[247, 300, 251]",34,0.114,10.120999999999995
22,cv_no22,"[304, 364, 182]",34,0.119,7.502000000000001
23,cv_no23,"[181, 365, 304]",34,0.119,7.599
24,cv_no24,"[243, 298, 234]",34,0.228,13.751000000000001
25,cv_no25,"[319, 347, 246]",34,0.341,20.58599999999999
26,cv_no26,"[31, 372, 1]",34,0.058,3.486
27,cv_no27,"[23, 361, 303]",34,0.12,8.299
28,cv_no28,"[241, 262, 227]",34,0.434,26.48399999999999
29,cv_no29,"[146, 333, 290]",34,0.352,21.901000000000007
30,cv_no30,"[249, 384, 366]",34,0.003,0.3080000000000001
31,cv_no31,"[320, 323, 234]",34,0.237,14.268
32,cv_no32,"[167, 308, 22]",34,1.139,77.19699999999999
33,cv_no33,"[37, 313, 36]",34,0.004,0.6920000000000003
34,cv_no34,"[378, 379, 170]",34,0.128,9.927999999999999
35,cv_no35,"[244, 348, 324]",34,0.257,15.531
36,cv_no36,"[235, 363, 318]",34,0.001,0.38100000000000006
37,cv_no37,"[228, 250, 247]",34,0.033,4.619999999999998
38,cv_no38,"[131, 332, 132]",34,0.469,28.315000000000005
39,cv_no39,"[242, 332, 291]",34,0.39,23.589000000000002
40,cv_no40,"[225, 340, 236]",34,0.239,14.481
41,cv_no41,"[244, 395, 257]",34,0.295,17.854000000000003
42,cv_no42,"[117, 399, 116]",34,0.0,0.008
43,cv_no43,"[149, 329, 150]",34,0.098,9.236
44,cv_no44,"[126, 348, 127]",34,0.242,14.640999999999998
45,cv_no45,"[163, 321, 296]",34,0.094,6.009000000000001
46,cv_no46,"[252, 357, 329]",34,0.032,5.647000000000002
47,cv_no47,"[123, 325, 124]",34,0.222,13.421000000000001
48,cv_no48,"[245, 250, 228]",34,0.033,4.591
49,cv_no49,"[145, 333, 146]",34,0.361,22.459
50,cv_no50,"[238, 239, 28]",34,0.101,6.192
51,cv_no51,"[229, 341, 217]",34,0.071,5.222
52,cv_no52,"[164, 337, 165]",34,0.274,17.427
53,cv_no53,"[150, 357, 151]",34,0.014,6.1720000000000015
54,cv_no54,"[292, 384, 249]",34,0.001,0.13000000000000003
55,cv_no55,"[190, 356, 191]",34,0.13,7.678
56,cv_no56,"[291, 332, 131]",34,0.451,27.270999999999997
57,cv_no57,"[159, 334, 21]",34,0.096,13.470000000000008
58,cv_no58,"[275, 386, 221]",34,0.04,2.7759999999999994
59,cv_no59,"[234, 373, 225]",34,0.203,12.235000000000001
60,cv_no60,"[20, 370, 152]",34,0.12,11.022999999999996
61,cv_no61,"[250, 309, 247]",34,0.109,9.906999999999998
62,cv_no62,"[162, 321, 163]",34,0.056,3.4970000000000003
63,cv_no63,"[196, 359, 197]",34,0.151,9.113000000000001
64,cv_no64,"[230, 398, 253]",34,0.088,7.942000000000002
65,cv_no65,"[313, 363, 235]",34,0.003,0.9120000000000004
66,cv_no66,"[287, 321, 162]",34,0.027,1.9049999999999996
67,cv_no67,"[389, 396, 217]",34,0.024,3.625999999999999
68,cv_no68,"[348, 368, 127]",34,0.236,14.326
69,cv_no69,"[130, 319, 291]",34,0.4,24.196999999999996
70,cv_no70,"[198, 360, 199]",34,0.305,18.244999999999997
71,cv_no71,"[261, 334, 245]",34,0.047,8.218000000000004
72,cv_no72,"[236, 325, 299]",34,0.233,14.091
73,cv_no73,"[128, 347, 129]",34,0.342,20.634
74,cv_no74,"[125, 324, 126]",34,0.232,14.035000000000002
75,cv_no75,"[16, 323, 320]",34,0.308,18.523999999999994
76,cv_no76,"[42, 118, 41]",34,0.001,0.06100000000000003
77,cv_no77,"[40, 41, 119]",34,0.001,0.06000000000000003
78,cv_no78,"[372, 397, 276]",34,0.136,8.261
79,cv_no79,"[283, 308, 226]",34,0.233,16.502999999999997
80,cv_no80,"[246, 347, 257]",34,0.334,20.193
81,cv_no81,"[313, 316, 36]",34,0.003,0.30900000000000016
82,cv_no82,"[165, 307, 166]",34,0.421,26.975
83,cv_no83,"[45, 272, 44]",34,0.012,0.8090000000000005
84,cv_no84,"[285, 374, 336]",34,0.116,6.962000000000001
85,cv_no85,"[120, 298, 121]",34,0.227,13.669
86,cv_no86,"[225, 243, 234]",34,0.217,13.110999999999999
87,cv_no87,"[33, 254, 32]",34,0.115,7.207999999999999
88,cv_no88,"[273, 314, 254]",34,0.173,11.009999999999998
89,cv_no89,"[156, 309, 157]",34,0.155,13.027000000000003
90,cv_no90,"[284, 399, 117]",34,0.003,0.2150000000000001
91,cv_no91,"[287, 398, 232]",34,0.017,1.5709999999999988
92,cv_no92,"[221, 297, 275]",34,0.061,4.067
93,cv_no93,"[217, 316, 315]",34,0.016,2.344
94,cv_no94,"[379, 380, 172]",34,0.136,10.331999999999999
95,cv_no95,"[216, 367, 340]",34,0.22,13.323999999999996
96,cv_no96,"[148, 295, 149]",34,0.166,12.318
97,cv_no97,"[261, 294, 253]",34,0.123,11.421999999999997
98,cv_no98,"[217, 341, 316]",34,0.043,4.181
99,cv_no99,"[139, 383, 273]",34,0.109,7.395
100,cv_no100,"[122, 299, 123]",34,0.221,13.325
101,cv_no101,"[284, 394, 335]",34,0.011,0.7550000000000004
102,cv_no102,"[228, 389, 217]",34,0.028,3.696999999999999
103,cv_no103,"[288, 289, 25]",34,0.102,5.898000000000002
104,cv_no104,"[244, 293, 236]",34,0.236,14.286000000000001
105,cv_no105,"[246, 395, 219]",34,0.286,17.318
106,cv_no106,"[38, 363, 37]",34,0.001,0.2420000000000001
107,cv_no107,"[227, 262, 242]",34,0.364,22.099999999999998
108,cv_no108,"[224, 322, 237]",34,0.166,10.633000000000006
109,cv_no109,"[29, 259, 238]",34,0.144,8.720999999999997
110,cv_no110,"[132, 302, 133]",34,0.52,31.478999999999996
111,cv_no111,"[154, 300, 155]",34,0.16,13.146999999999995
