,pt_no,coordinate
0,pt_no0,"[[139.222], [19.0]]"
1,pt_no1,"[[136.60293526455], [14.10040077356035]]"
2,pt_no2,"[[133.9256666666666], [19.0]]"
3,pt_no3,"[[270.0], [63.33333333333333]]"
4,pt_no4,"[[247.5128349664777], [60.57596219426789]]"
5,pt_no5,"[[253.1752200256975], [76.66666666666666]]"
6,pt_no6,"[[135.2046332818015], [64.4982201369901]]"
7,pt_no7,"[[135.5906748081757], [60.01480488490543]]"
8,pt_no8,"[[132.2326666666667], [59.88888888888889]]"
9,pt_no9,"[[171.0], [43.0]]"
10,pt_no10,"[[173.7867091937067], [41.5]]"
11,pt_no11,"[[171.0], [40.0]]"
12,pt_no12,"[[190.6695710348959], [54.24026081372588]]"
13,pt_no13,"[[199.3323291664319], [48.84632851709377]]"
14,pt_no14,"[[191.044706563696], [44.35157447150888]]"
15,pt_no15,"[[56.05244444444443], [46.0]]"
16,pt_no16,"[[57.77720303427833], [48.82089471479946]]"
17,pt_no17,"[[59.434], [46.0]]"
18,pt_no18,"[[76.667], [19.0]]"
19,pt_no19,"[[74.21428306878308], [13.66734586517961]]"
20,pt_no20,"[[71.37066666666666], [19.0]]"
21,pt_no21,"[[107.7776666666667], [19.0]]"
22,pt_no22,"[[105.0900439837311], [13.13347599005128]]"
23,pt_no23,"[[102.5925555555556], [19.0]]"
24,pt_no24,"[[220.1780440516037], [15.52472724421017]]"
25,pt_no25,"[[210.4848481123199], [28.29252050409731]]"
26,pt_no26,"[[229.7616810141376], [35.01681330385871]]"
27,pt_no27,"[[193.0703945737596], [35.24426926042023]]"
28,pt_no28,"[[188.5049525730784], [26.72090192615382]]"
29,pt_no29,"[[184.288828961015], [32.5]]"
30,pt_no30,"[[29.0], [46.0]]"
31,pt_no31,"[[30.25314325271158], [49.32476369262113]]"
32,pt_no32,"[[32.38155555555554], [46.0]]"
33,pt_no33,"[[165.7036666666667], [19.0]]"
34,pt_no34,"[[163.3915450302342], [14.30186954662739]]"
35,pt_no35,"[[160.4073333333333], [19.0]]"
36,pt_no36,"[[62.76733333333333], [51.55555555555556]]"
37,pt_no37,"[[61.07599185849099], [54.45924932934986]]"
38,pt_no38,"[[64.434], [54.33333333333334]]"
39,pt_no39,"[[50.1853333333333], [19.0]]"
40,pt_no40,"[[47.74709135082604], [13.79380185981508]]"
41,pt_no41,"[[44.88899999999998], [19.0]]"
42,pt_no42,"[[177.9947263782444], [11.71841321052506]]"
43,pt_no43,"[[195.9587357661103], [9.551134477176866]]"
44,pt_no44,"[[180.0], [0.0]]"
45,pt_no45,"[[29.0], [28.0]]"
46,pt_no46,"[[25.4257183886421], [29.5]]"
47,pt_no47,"[[29.0], [31.0]]"
48,pt_no48,"[[47.59855555555548], [50.01706829459609]]"
49,pt_no49,"[[44.21699999999998], [49.19090655568424]]"
50,pt_no50,"[[44.21700000000004], [54.47193450269708]]"
51,pt_no51,"[[29.0], [22.0]]"
52,pt_no52,"[[26.18448445603234], [23.2906875289776]]"
53,pt_no53,"[[29.0], [25.0]]"
54,pt_no54,"[[240.0], [0.0]]"
55,pt_no55,"[[235.6082986773722], [19.37366859311368]]"
56,pt_no56,"[[251.4973438155381], [23.33333333333329]]"
57,pt_no57,"[[147.6186863975392], [58.35371025258349]]"
58,pt_no58,"[[145.5500078070835], [54.662724602824]]"
59,pt_no59,"[[142.0249936849457], [55.97432035591054]]"
60,pt_no60,"[[120.7882435631664], [10.22595269455289]]"
61,pt_no61,"[[115.0790567146171], [14.09840756063431]]"
62,pt_no62,"[[118.1478888888889], [19.0]]"
63,pt_no63,"[[155.5876251450869], [54.30778093875258]]"
64,pt_no64,"[[152.4014444444444], [50.01706829459594]]"
65,pt_no65,"[[148.6347854794288], [52.46793485586591]]"
66,pt_no66,"[[89.62977777777782], [9.673270521442483]]"
67,pt_no67,"[[83.95436507936509], [14.02852860223516]]"
68,pt_no68,"[[87.03722222222225], [19.0]]"
69,pt_no69,"[[92.22233333333337], [19.0]]"
70,pt_no70,"[[97.10575769269667], [14.1605461545423]]"
71,pt_no71,"[[37.39988607706346], [53.29122091926435]]"
72,pt_no72,"[[34.07233333333338], [50.01706829459595]]"
73,pt_no73,"[[30.69077777777767], [54.47193450269722]]"
74,pt_no74,"[[59.60125385083369], [51.56631435616649]]"
75,pt_no75,"[[58.03325417036078], [56.02825202295995]]"
76,pt_no76,"[[30.0], [100.0]]"
77,pt_no77,"[[17.03335078037915], [85.60765064968214]]"
78,pt_no78,"[[0.0], [100.0]]"
79,pt_no79,"[[123.333], [19.0]]"
80,pt_no80,"[[126.7525586042618], [13.95799356574003]]"
81,pt_no81,"[[66.18787143635716], [73.96481755027234]]"
82,pt_no82,"[[64.37238254650626], [67.57131277760273]]"
83,pt_no83,"[[58.18808616252704], [71.26979505676934]]"
84,pt_no84,"[[130.566], [62.66666666666666]]"
85,pt_no85,"[[132.1000805379423], [65.95713042606678]]"
86,pt_no86,"[[234.2841086016183], [71.1107024363304]]"
87,pt_no87,"[[231.5567436568234], [52.57050987062695]]"
88,pt_no88,"[[25.44541294333519], [50.23235924678724]]"
89,pt_no89,"[[171.0], [22.0]]"
90,pt_no90,"[[175.5477005550336], [20.34475476571793]]"
91,pt_no91,"[[171.0], [19.0]]"
92,pt_no92,"[[210.0], [100.0]]"
93,pt_no93,"[[195.5561677739329], [81.90205727915512]]"
94,pt_no94,"[[180.0], [100.0]]"
95,pt_no95,"[[157.7591666666667], [14.21203237987705]]"
96,pt_no96,"[[150.058887670066], [12.49039600394002]]"
97,pt_no97,"[[155.111], [19.0]]"
98,pt_no98,"[[51.34527831088624], [52.48468521953376]]"
99,pt_no99,"[[54.36166666666659], [48.76943238692321]]"
100,pt_no100,"[[50.98011111111123], [49.07600274037868]]"
101,pt_no101,"[[203.0497992553338], [62.76902164232072]]"
102,pt_no102,"[[216.8563809438298], [79.28810275722223]]"
103,pt_no103,"[[218.2482100320937], [59.94683518552716]]"
104,pt_no104,"[[162.5461111111111], [59.84713048150427]]"
105,pt_no105,"[[162.5009475733154], [52.9872299529228]]"
106,pt_no106,"[[66.10066666666667], [57.11111111111111]]"
107,pt_no107,"[[64.25516127253061], [60.10730323648163]]"
108,pt_no108,"[[67.76733333333334], [59.88888888888889]]"
109,pt_no109,"[[60.08790452353207], [62.6076572858808]]"
110,pt_no110,"[[61.97653461220359], [57.69670145490009]]"
111,pt_no111,"[[37.12987201793653], [61.693317180622]]"
112,pt_no112,"[[46.69698979635118], [62.61589773836076]]"
113,pt_no113,"[[54.44999219291643], [54.66272460282414]]"
114,pt_no114,"[[56.11318657705864], [51.81184376792928]]"
115,pt_no115,"[[270.0], [36.66666666666657]]"
116,pt_no116,"[[259.581351397354], [50.01197051010021]]"
117,pt_no117,"[[135.566], [54.33333333333333]]"
118,pt_no118,"[[138.924008141509], [54.45924932934986]]"
119,pt_no119,"[[137.2326666666667], [51.55555555555556]]"
120,pt_no120,"[[52.67088888888886], [46.0]]"
121,pt_no121,"[[171.0], [34.0]]"
122,pt_no122,"[[173.6948495127663], [35.49109543421285]]"
123,pt_no123,"[[174.5028971871127], [32.5]]"
124,pt_no124,"[[140.3987461491663], [51.56631435616644]]"
125,pt_no125,"[[42.52622222222217], [46.0]]"
126,pt_no126,"[[45.90777777777772], [46.0]]"
127,pt_no127,"[[169.233615850361], [54.65832896770948]]"
128,pt_no128,"[[128.8993333333333], [65.44444444444444]]"
129,pt_no129,"[[13.09429348826004], [38.48595317602374]]"
130,pt_no130,"[[15.20567120167425], [26.86160094963372]]"
131,pt_no131,"[[0.0], [24.99999999999997]]"
132,pt_no132,"[[141.0563233596771], [71.07446956352639]]"
133,pt_no133,"[[146.6429158329718], [82.63389604196217]]"
134,pt_no134,"[[155.783], [72.80778538666658]]"
135,pt_no135,"[[171.0], [31.0]]"
136,pt_no136,"[[173.7111023528443], [29.5]]"
137,pt_no137,"[[171.0], [28.0]]"
138,pt_no138,"[[138.8993333333333], [48.77777777777778]]"
139,pt_no139,"[[39.59266666666665], [19.0]]"
140,pt_no140,"[[37.57782101207827], [13.64535638999077]]"
141,pt_no141,"[[34.29633333333332], [19.0]]"
142,pt_no142,"[[167.6184444444444], [46.0]]"
143,pt_no143,"[[169.7406942937019], [49.37415927590423]]"
144,pt_no144,"[[171.0], [46.0]]"
145,pt_no145,"[[203.0252985815858], [39.0718964612923]]"
146,pt_no146,"[[197.2516710147283], [26.25965964755547]]"
147,pt_no147,"[[28.72053167748359], [63.03239244586184]]"
148,pt_no148,"[[140.566], [46.0]]"
149,pt_no149,"[[142.2235571174205], [48.81949229355509]]"
150,pt_no150,"[[143.9475555555555], [46.0]]"
151,pt_no151,"[[159.1645555555555], [50.01706829459596]]"
152,pt_no152,"[[171.0], [37.0]]"
153,pt_no153,"[[29.0], [34.0]]"
154,pt_no154,"[[26.09428993883068], [34.43448221302139]]"
155,pt_no155,"[[29.0], [37.0]]"
156,pt_no156,"[[181.3214878154305], [42.00768200008596]]"
157,pt_no157,"[[177.7476655817337], [39.86180525065618]]"
158,pt_no158,"[[177.185889132084], [44.8007594896788]]"
159,pt_no159,"[[174.4111824521016], [38.45547717106427]]"
160,pt_no160,"[[153.408877732228], [62.27985930802449]]"
161,pt_no161,"[[147.7156287081434], [65.27670786495285]]"
162,pt_no162,"[[29.0], [40.0]]"
163,pt_no163,"[[26.25378657717646], [41.75]]"
164,pt_no164,"[[29.0], [43.0]]"
165,pt_no165,"[[174.9237445070377], [50.19539911721571]]"
166,pt_no166,"[[40.83544444444418], [50.0170682945957]]"
167,pt_no167,"[[61.10066666666667], [48.77777777777778]]"
168,pt_no168,"[[49.2893333333333], [46.0]]"
169,pt_no169,"[[300.0], [25.00000000000011]]"
170,pt_no170,"[[280.0], [36.66666666666667]]"
171,pt_no171,"[[300.0], [50.00000000000012]]"
172,pt_no172,"[[300.0], [75.00000000000003]]"
173,pt_no173,"[[280.0], [63.33333333333343]]"
174,pt_no174,"[[40.30878405926812], [85.47541489514725]]"
175,pt_no175,"[[29.38685551948697], [72.65843224320182]]"
176,pt_no176,"[[182.1576604833344], [21.23476419224795]]"
177,pt_no177,"[[169.1326608413971], [81.361871481796]]"
178,pt_no178,"[[174.4857480574075], [26.50000000000001]]"
179,pt_no179,"[[171.0], [25.0]]"
180,pt_no180,"[[210.0], [0.0]]"
181,pt_no181,"[[53.68665476190473], [9.821761302451911]]"
182,pt_no182,"[[57.01635918367344], [14.84032339143398]]"
183,pt_no183,"[[62.30197448979592], [11.976064426201]]"
184,pt_no184,"[[35.76311111111109], [46.0]]"
185,pt_no185,"[[90.0], [100.0]]"
186,pt_no186,"[[76.38153318653193], [88.16926350005505]]"
187,pt_no187,"[[60.0], [100.0]]"
188,pt_no188,"[[92.35669521712362], [83.57351644291481]]"
189,pt_no189,"[[82.8582725962824], [79.34627632801907]]"
190,pt_no190,"[[157.4737777777777], [46.0]]"
191,pt_no191,"[[160.8553333333333], [46.0]]"
192,pt_no192,"[[177.560167924617], [35.5]]"
193,pt_no193,"[[170.9916805932241], [65.50233089430236]]"
194,pt_no194,"[[142.1860953593792], [14.50894833394041]]"
195,pt_no195,"[[144.5183333333333], [19.0]]"
196,pt_no196,"[[45.26572936876138], [72.47763727528579]]"
197,pt_no197,"[[52.52400469072649], [65.46493952177603]]"
198,pt_no198,"[[133.8993333333333], [57.11111111111111]]"
199,pt_no199,"[[137.7860443365394], [57.29342230476226]]"
200,pt_no200,"[[183.5708509965422], [48.11020821923758]]"
201,pt_no201,"[[97.15933333333332], [71.0]]"
202,pt_no202,"[[89.29675181769448], [76.04654224278988]]"
203,pt_no203,"[[39.14466666666664], [46.0]]"
204,pt_no204,"[[31.64816666666664], [9.613061403508773]]"
205,pt_no205,"[[23.74664702588377], [12.45095793940332]]"
206,pt_no206,"[[29.0], [19.0]]"
207,pt_no207,"[[52.38131360246082], [58.35371025258345]]"
208,pt_no208,"[[240.0], [100.0]]"
209,pt_no209,"[[182.2078684893111], [26.99639041308157]]"
210,pt_no210,"[[177.6318003574336], [29.49466786961994]]"
211,pt_no211,"[[0.0], [49.99999999999988]]"
212,pt_no212,"[[16.83126026971917], [50.56689113781875]]"
213,pt_no213,"[[65.34336722691744], [63.23215744162728]]"
214,pt_no214,"[[69.434], [62.66666666666667]]"
215,pt_no215,"[[150.7106666666666], [46.0]]"
216,pt_no216,"[[154.0922222222222], [46.0]]"
217,pt_no217,"[[190.1758721850858], [18.60392327173716]]"
218,pt_no218,"[[186.5343487033888], [38.8776488861671]]"
219,pt_no219,"[[143.8913743331343], [51.80342924046295]]"
220,pt_no220,"[[0.0], [74.99999999999989]]"
221,pt_no221,"[[16.8749221733608], [63.75001183749008]]"
222,pt_no222,"[[177.4227141157787], [24.61535119153458]]"
223,pt_no223,"[[80.11533333333333], [71.0]]"
224,pt_no224,"[[73.35729653991433], [77.59818776351004]]"
225,pt_no225,"[[150.0], [100.0]]"
226,pt_no226,"[[127.2326666666667], [68.22222222222221]]"
227,pt_no227,"[[129.9158618173513], [73.06714288425528]]"
228,pt_no228,"[[130.4852134305199], [68.28486139164526]]"
229,pt_no229,"[[66.07433333333331], [19.0]]"
230,pt_no230,"[[60.77799999999998], [19.0]]"
231,pt_no231,"[[71.10066666666667], [65.44444444444444]]"
232,pt_no232,"[[69.43543655871943], [68.62808888807089]]"
233,pt_no233,"[[72.76733333333334], [68.22222222222223]]"
234,pt_no234,"[[164.2368888888889], [46.0]]"
235,pt_no235,"[[165.9276666666667], [50.01706829459597]]"
236,pt_no236,"[[182.2205569724626], [36.90691284310802]]"
237,pt_no237,"[[208.8407529390122], [52.60538777355984]]"
238,pt_no238,"[[216.7336582457539], [44.3308918904903]]"
239,pt_no239,"[[12.45059064983573], [18.18365252177857]]"
240,pt_no240,"[[0.0], [0.0]]"
241,pt_no241,"[[133.2626671576458], [88.11756734592922]]"
242,pt_no242,"[[120.0], [100.0]]"
243,pt_no243,"[[140.7112560512726], [61.86771481396329]]"
244,pt_no244,"[[60.16676868698113], [82.10876920271383]]"
245,pt_no245,"[[145.6383333333333], [48.76943238692335]]"
246,pt_no246,"[[182.1210903517465], [55.95735615270016]]"
247,pt_no247,"[[175.0588606217574], [58.01888107182313]]"
248,pt_no248,"[[184.9153275147283], [66.06683959904521]]"
249,pt_no249,"[[81.85211111111113], [19.0]]"
250,pt_no250,"[[79.54006296296298], [15.06765767267203]]"
251,pt_no251,"[[68.72250000000004], [14.2190854389686]]"
252,pt_no252,"[[42.59152498958764], [14.79490271201284]]"
253,pt_no253,"[[131.4375987737624], [14.95465058074464]]"
254,pt_no254,"[[128.6293333333333], [19.0]]"
255,pt_no255,"[[112.9627777777778], [19.0]]"
256,pt_no256,"[[110.6166286052781], [14.96397857956661]]"
257,pt_no257,"[[26.26861350610342], [26.5]]"
258,pt_no258,"[[131.2775], [8.714858564422833]]"
259,pt_no259,"[[147.3291111111111], [46.0]]"
260,pt_no260,"[[149.0198888888889], [49.07600274037849]]"
261,pt_no261,"[[26.47025026298377], [38.41678389928789]]"
262,pt_no262,"[[23.71258096833527], [56.41071783413103]]"
263,pt_no263,"[[55.48166666666664], [19.0]]"
264,pt_no264,"[[52.82982691664751], [14.72718265789865]]"
265,pt_no265,"[[101.1904761904762], [7.328270730496712]]"
266,pt_no266,"[[155.7439250290174], [49.26838350558889]]"
267,pt_no267,"[[67.7503653694531], [65.5657363338836]]"
268,pt_no268,"[[162.5370784035519], [49.00427330842295]]"
269,pt_no269,"[[173.891232545644], [23.69202119145051]]"
270,pt_no270,"[[43.15104591836733], [8.535355310258339]]"
271,pt_no271,"[[60.0], [0.0]]"
272,pt_no272,"[[120.0], [0.0]]"
273,pt_no273,"[[173.5792685665657], [45.0992317213789]]"
274,pt_no274,"[[68.72250000000004], [7.682388959064319]]"
