,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.566,10.091999999999999
1,cv_no1,"[116, 384, 292]",34,0.004,0.10100000000000003
2,cv_no2,"[290, 328, 147]",34,0.659,6.854999999999999
3,cv_no3,"[160, 317, 161]",34,0.621,8.206
4,cv_no4,"[305, 326, 222]",34,0.024,1.3129999999999995
5,cv_no5,"[127, 368, 17]",34,0.742,4.866
6,cv_no6,"[24, 349, 184]",34,0.458,3.354
7,cv_no7,"[178, 353, 179]",34,0.495,6.126
8,cv_no8,"[272, 386, 335]",34,0.061,0.8109999999999999
9,cv_no9,"[297, 390, 224]",34,0.379,4.417
10,cv_no10,"[16, 320, 120]",34,0.669,4.024000000000001
11,cv_no11,"[168, 350, 169]",34,0.128,6.9639999999999995
12,cv_no12,"[129, 319, 130]",34,1.005,6.494
13,cv_no13,"[188, 351, 189]",34,0.409,1.461
14,cv_no14,"[283, 306, 46]",34,0.115,1.5430000000000001
15,cv_no15,"[194, 354, 195]",34,0.312,0.9630000000000001
16,cv_no16,"[293, 325, 236]",34,0.599,4.265000000000001
17,cv_no17,"[192, 355, 193]",34,0.135,0.30100000000000005
18,cv_no18,"[44, 394, 284]",34,0.023,0.341
19,cv_no19,"[218, 404, 252]",34,0.146,7.800000000000001
20,cv_no20,"[303, 362, 176]",34,0.475,7.02
21,cv_no21,"[247, 300, 251]",34,0.452,11.886
22,cv_no22,"[304, 364, 182]",34,0.414,3.9660000000000006
23,cv_no23,"[181, 365, 304]",34,0.421,4.271000000000001
24,cv_no24,"[243, 298, 234]",34,0.571,3.7800000000000002
25,cv_no25,"[319, 347, 246]",34,0.895,5.984
26,cv_no26,"[31, 372, 1]",34,0.152,0.9680000000000001
27,cv_no27,"[23, 361, 303]",34,0.48,7.3919999999999995
28,cv_no28,"[241, 262, 227]",34,1.135,8.933
29,cv_no29,"[146, 333, 290]",34,0.996,9.323
30,cv_no30,"[249, 384, 366]",34,0.018,0.42200000000000015
31,cv_no31,"[320, 323, 234]",34,0.595,3.6870000000000003
32,cv_no32,"[167, 308, 22]",34,3.981,49.621
33,cv_no33,"[37, 313, 36]",34,0.002,0.516
34,cv_no34,"[378, 379, 170]",34,0.57,12.312000000000001
35,cv_no35,"[244, 348, 324]",34,0.672,4.721
36,cv_no36,"[235, 363, 318]",34,0.015,0.5540000000000002
37,cv_no37,"[228, 250, 247]",34,0.178,7.354000000000001
38,cv_no38,"[131, 332, 132]",34,1.213,8.357
39,cv_no39,"[242, 332, 291]",34,1.014,7.131000000000001
40,cv_no40,"[225, 340, 236]",34,0.618,4.348
41,cv_no41,"[244, 395, 257]",34,0.773,5.337
42,cv_no42,"[117, 399, 116]",34,0.001,0.017000000000000008
43,cv_no43,"[149, 329, 150]",34,0.194,5.492
44,cv_no44,"[126, 348, 127]",34,0.642,4.477
45,cv_no45,"[163, 321, 296]",34,0.384,4.304
46,cv_no46,"[252, 357, 329]",34,0.008,6.554
47,cv_no47,"[123, 325, 124]",34,0.568,4.122
48,cv_no48,"[245, 250, 228]",34,0.177,7.327000000000001
49,cv_no49,"[145, 333, 146]",34,1.022,9.564
50,cv_no50,"[238, 239, 28]",34,0.341,1.5839999999999999
51,cv_no51,"[229, 341, 217]",34,0.173,2.5260000000000002
52,cv_no52,"[164, 337, 165]",34,0.987,10.946
53,cv_no53,"[150, 357, 151]",34,0.075,7.577
54,cv_no54,"[292, 384, 249]",34,0.008,0.18800000000000006
55,cv_no55,"[190, 356, 191]",34,0.326,1.089
56,cv_no56,"[291, 332, 131]",34,1.168,8.225999999999999
57,cv_no57,"[159, 334, 21]",34,0.242,8.232
58,cv_no58,"[275, 386, 221]",34,0.162,2.166
