,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.307,3.913
1,cv_no1,"[116, 384, 292]",34,0.001,0.062000000000000006
2,cv_no2,"[290, 328, 147]",34,0.698,4.1770000000000005
3,cv_no3,"[160, 317, 161]",34,0.627,4.593
4,cv_no4,"[305, 326, 222]",34,0.048,1.392
5,cv_no5,"[127, 368, 17]",34,0.772,3.3630000000000004
6,cv_no6,"[24, 349, 184]",34,0.395,1.953
7,cv_no7,"[178, 353, 179]",34,0.334,2.6330000000000005
8,cv_no8,"[272, 386, 335]",34,0.039,0.35799999999999993
9,cv_no9,"[297, 390, 224]",34,0.271,1.858
10,cv_no10,"[16, 320, 120]",34,0.874,3.0660000000000003
11,cv_no11,"[168, 350, 169]",34,0.03,2.586
12,cv_no12,"[129, 319, 130]",34,1.133,4.547000000000001
13,cv_no13,"[188, 351, 189]",34,0.434,1.518
14,cv_no14,"[283, 306, 46]",34,0.09,0.62
15,cv_no15,"[194, 354, 195]",34,0.247,0.878
16,cv_no16,"[293, 325, 236]",34,0.682,2.821
17,cv_no17,"[192, 355, 193]",34,0.249,0.292
18,cv_no18,"[44, 394, 284]",34,0.017,0.15600000000000003
19,cv_no19,"[218, 404, 252]",34,0.016,3.337
20,cv_no20,"[303, 362, 176]",34,0.322,2.649
21,cv_no21,"[247, 300, 251]",34,0.308,5.010999999999999
22,cv_no22,"[304, 364, 182]",34,0.326,1.8820000000000001
23,cv_no23,"[181, 365, 304]",34,0.316,1.9989999999999999
24,cv_no24,"[243, 298, 234]",34,0.702,2.6550000000000002
25,cv_no25,"[319, 347, 246]",34,0.988,4.119
26,cv_no26,"[31, 372, 1]",34,0.179,0.688
27,cv_no27,"[23, 361, 303]",34,0.316,2.769
28,cv_no28,"[241, 262, 227]",34,1.232,5.664000000000001
29,cv_no29,"[146, 333, 290]",34,0.997,4.892
30,cv_no30,"[249, 384, 366]",34,0.003,0.21100000000000002
31,cv_no31,"[320, 323, 234]",34,0.751,2.7239999999999998
32,cv_no32,"[167, 308, 22]",34,3.266,22.944000000000003
33,cv_no33,"[37, 313, 36]",34,0.02,0.43800000000000006
34,cv_no34,"[378, 379, 170]",34,0.354,4.036
35,cv_no35,"[244, 348, 324]",34,0.742,3.141
36,cv_no36,"[235, 363, 318]",34,0.007,0.34500000000000003
37,cv_no37,"[228, 250, 247]",34,0.051,3.43
38,cv_no38,"[131, 332, 132]",34,1.386,5.657
39,cv_no39,"[242, 332, 291]",34,1.135,4.7829999999999995
40,cv_no40,"[225, 340, 236]",34,0.705,2.91
41,cv_no41,"[244, 395, 257]",34,0.854,3.601
42,cv_no42,"[117, 399, 116]",34,0.0,0.008
43,cv_no43,"[149, 329, 150]",34,0.32,4.159
44,cv_no44,"[126, 348, 127]",34,0.688,2.984
45,cv_no45,"[163, 321, 296]",34,0.244,1.651
46,cv_no46,"[252, 357, 329]",34,0.139,3.6740000000000004
47,cv_no47,"[123, 325, 124]",34,0.646,2.684
48,cv_no48,"[245, 250, 228]",34,0.05,3.419
49,cv_no49,"[145, 333, 146]",34,1.021,5.013
50,cv_no50,"[238, 239, 28]",34,0.347,1.2530000000000001
51,cv_no51,"[229, 341, 217]",34,0.212,1.6779999999999997
52,cv_no52,"[164, 337, 165]",34,0.747,4.584
53,cv_no53,"[150, 357, 151]",34,0.134,4.861000000000001
54,cv_no54,"[292, 384, 249]",34,0.001,0.09200000000000001
55,cv_no55,"[190, 356, 191]",34,0.412,1.279
56,cv_no56,"[291, 332, 131]",34,1.318,5.521000000000001
57,cv_no57,"[159, 334, 21]",34,0.393,8.136000000000001
58,cv_no58,"[275, 386, 221]",34,0.099,0.961
59,cv_no59,"[234, 373, 225]",34,0.629,2.385
60,cv_no60,"[20, 370, 152]",34,0.259,5.898
61,cv_no61,"[250, 309, 247]",34,0.281,5.077999999999999
62,cv_no62,"[162, 321, 163]",34,0.146,0.8640000000000001
63,cv_no63,"[196, 359, 197]",34,0.573,1.6949999999999998
64,cv_no64,"[230, 398, 253]",34,0.3,3.491
65,cv_no65,"[313, 363, 235]",34,0.023,0.6690000000000002
66,cv_no66,"[287, 321, 162]",34,0.051,0.7470000000000001
67,cv_no67,"[389, 396, 217]",34,0.091,2.2390000000000003
68,cv_no68,"[348, 368, 127]",34,0.66,2.952
69,cv_no69,"[130, 319, 291]",34,1.173,4.849
70,cv_no70,"[198, 360, 199]",34,1.081,3.2470000000000003
71,cv_no71,"[261, 334, 245]",34,0.218,5.409
72,cv_no72,"[236, 325, 299]",34,0.682,2.821
73,cv_no73,"[128, 347, 129]",34,0.977,4.1080000000000005
74,cv_no74,"[125, 324, 126]",34,0.67,2.8419999999999996
75,cv_no75,"[16, 323, 320]",34,1.024,3.443
76,cv_no76,"[42, 118, 41]",34,0.002,0.020999999999999998
77,cv_no77,"[40, 41, 119]",34,0.002,0.020999999999999998
78,cv_no78,"[372, 397, 276]",34,0.416,1.6509999999999998
79,cv_no79,"[283, 308, 226]",34,0.674,5.351
80,cv_no80,"[246, 347, 257]",34,0.969,4.056
81,cv_no81,"[313, 316, 36]",34,0.01,0.16600000000000004
82,cv_no82,"[165, 307, 166]",34,1.156,7.207999999999999
83,cv_no83,"[45, 272, 44]",34,0.03,0.265
84,cv_no84,"[285, 374, 336]",34,0.373,1.304
85,cv_no85,"[120, 298, 121]",34,0.686,2.634
86,cv_no86,"[225, 243, 234]",34,0.654,2.594
87,cv_no87,"[33, 254, 32]",34,0.317,1.7399999999999998
88,cv_no88,"[273, 314, 254]",34,0.463,2.876
89,cv_no89,"[156, 309, 157]",34,0.418,6.0
90,cv_no90,"[284, 399, 117]",34,0.006,0.09200000000000001
91,cv_no91,"[287, 398, 232]",34,0.016,0.917
92,cv_no92,"[221, 297, 275]",34,0.159,1.2469999999999999
93,cv_no93,"[217, 316, 315]",34,0.066,1.4130000000000003
94,cv_no94,"[379, 380, 172]",34,0.335,4.195
95,cv_no95,"[216, 367, 340]",34,0.645,2.714
96,cv_no96,"[148, 295, 149]",34,0.493,4.082
97,cv_no97,"[261, 294, 253]",34,0.416,5.208
98,cv_no98,"[217, 341, 316]",34,0.141,1.92
99,cv_no99,"[139, 383, 273]",34,0.274,2.389
