,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.254,5.286
1,cv_no1,"[116, 384, 292]",34,0.0,0.064
2,cv_no2,"[290, 328, 147]",34,0.538,7.186
3,cv_no3,"[160, 317, 161]",34,0.451,7.1499999999999995
4,cv_no4,"[305, 326, 222]",34,0.026,1.5589999999999997
5,cv_no5,"[127, 368, 17]",34,0.605,6.7490000000000006
6,cv_no6,"[24, 349, 184]",34,0.303,3.651
7,cv_no7,"[178, 353, 179]",34,0.269,4.106000000000001
8,cv_no8,"[272, 386, 335]",34,0.031,0.527
9,cv_no9,"[297, 390, 224]",34,0.208,3.0130000000000003
10,cv_no10,"[16, 320, 120]",34,0.6,6.513999999999999
11,cv_no11,"[168, 350, 169]",34,0.019,2.7099999999999995
12,cv_no12,"[129, 319, 130]",34,0.838,9.286
13,cv_no13,"[188, 351, 189]",34,0.316,3.3339999999999996
14,cv_no14,"[283, 306, 46]",34,0.067,0.9939999999999998
15,cv_no15,"[194, 354, 195]",34,0.131,1.6549999999999998
16,cv_no16,"[293, 325, 236]",34,0.509,5.694
17,cv_no17,"[192, 355, 193]",34,0.186,1.3579999999999999
18,cv_no18,"[44, 394, 284]",34,0.013,0.2270000000000001
19,cv_no19,"[218, 404, 252]",34,0.007,3.3689999999999998
20,cv_no20,"[303, 362, 176]",34,0.244,4.002
21,cv_no21,"[247, 300, 251]",34,0.218,6.2379999999999995
22,cv_no22,"[304, 364, 182]",34,0.25,3.2730000000000006
23,cv_no23,"[181, 365, 304]",34,0.248,3.3740000000000006
24,cv_no24,"[243, 298, 234]",34,0.502,5.516
25,cv_no25,"[319, 347, 246]",34,0.743,8.308
26,cv_no26,"[31, 372, 1]",34,0.126,1.4089999999999998
27,cv_no27,"[23, 361, 303]",34,0.241,4.104
28,cv_no28,"[241, 262, 227]",34,0.936,10.914
29,cv_no29,"[146, 333, 290]",34,0.768,9.181000000000001
30,cv_no30,"[249, 384, 366]",34,0.003,0.22600000000000003
31,cv_no31,"[320, 323, 234]",34,0.523,5.7189999999999985
32,cv_no32,"[167, 308, 22]",34,2.422,36.556
33,cv_no33,"[37, 313, 36]",34,0.013,0.5150000000000001
34,cv_no34,"[378, 379, 170]",34,0.256,5.473
35,cv_no35,"[244, 348, 324]",34,0.559,6.29
36,cv_no36,"[235, 363, 318]",34,0.003,0.36600000000000005
37,cv_no37,"[228, 250, 247]",34,0.042,3.6449999999999996
