,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,1.074,4.387
1,cv_no1,"[116, 384, 292]",34,0.004,0.069
2,cv_no2,"[290, 328, 147]",34,0.039,2.831
3,cv_no3,"[160, 317, 161]",34,0.748,2.952
4,cv_no4,"[305, 326, 222]",34,0.016,1.0999999999999999
5,cv_no5,"[127, 368, 17]",34,0.083,0.134
6,cv_no6,"[24, 349, 184]",34,0.053,0.074
7,cv_no7,"[178, 353, 179]",34,0.823,1.206
8,cv_no8,"[272, 386, 335]",34,0.062,0.309
9,cv_no9,"[297, 390, 224]",34,0.373,1.327
10,cv_no10,"[16, 320, 120]",34,0.138,0.229
11,cv_no11,"[168, 350, 169]",34,0.47,5.129
12,cv_no12,"[129, 319, 130]",34,0.097,0.14500000000000002
13,cv_no13,"[188, 351, 189]",34,0.007,0.011
14,cv_no14,"[283, 306, 46]",34,0.139,0.556
15,cv_no15,"[194, 354, 195]",34,0.003,0.014000000000000002
16,cv_no16,"[293, 325, 236]",34,0.143,0.23299999999999998
17,cv_no17,"[192, 355, 193]",34,0.001,0.008
18,cv_no18,"[44, 394, 284]",34,0.028,0.144
19,cv_no19,"[218, 404, 252]",34,0.73,5.3420000000000005
20,cv_no20,"[303, 362, 176]",34,1.042,2.258
21,cv_no21,"[247, 300, 251]",34,1.076,6.8629999999999995
22,cv_no22,"[304, 364, 182]",34,0.163,0.234
23,cv_no23,"[181, 365, 304]",34,0.237,0.33099999999999996
24,cv_no24,"[243, 298, 234]",34,0.134,0.22000000000000003
25,cv_no25,"[319, 347, 246]",34,0.123,0.197
26,cv_no26,"[31, 372, 1]",34,0.035,0.058
27,cv_no27,"[23, 361, 303]",34,0.941,2.56
28,cv_no28,"[241, 262, 227]",34,0.489,0.792
29,cv_no29,"[146, 333, 290]",34,0.328,2.666
30,cv_no30,"[249, 384, 366]",34,0.021,0.26
31,cv_no31,"[320, 323, 234]",34,0.125,0.20600000000000002
32,cv_no32,"[167, 308, 22]",34,4.351,16.509
33,cv_no33,"[37, 313, 36]",34,0.021,0.468
34,cv_no34,"[378, 379, 170]",34,1.078,6.541
35,cv_no35,"[244, 348, 324]",34,0.133,0.21600000000000003
36,cv_no36,"[235, 363, 318]",34,0.023,0.404
37,cv_no37,"[228, 250, 247]",34,0.546,5.077000000000001
38,cv_no38,"[131, 332, 132]",34,0.166,0.25
39,cv_no39,"[242, 332, 291]",34,0.201,0.318
40,cv_no40,"[225, 340, 236]",34,0.15,0.245
41,cv_no41,"[244, 395, 257]",34,0.143,0.22999999999999998
42,cv_no42,"[117, 399, 116]",34,0.001,0.009000000000000001
43,cv_no43,"[149, 329, 150]",34,0.45,4.457
44,cv_no44,"[126, 348, 127]",34,0.108,0.174
45,cv_no45,"[163, 321, 296]",34,0.345,1.234
46,cv_no46,"[252, 357, 329]",34,0.643,5.098
47,cv_no47,"[123, 325, 124]",34,0.138,0.22500000000000003
48,cv_no48,"[245, 250, 228]",34,0.544,5.063000000000001
49,cv_no49,"[145, 333, 146]",34,0.335,2.7329999999999997
50,cv_no50,"[238, 239, 28]",34,0.03,0.049
51,cv_no51,"[229, 341, 217]",34,0.091,1.672
52,cv_no52,"[164, 337, 165]",34,0.973,2.921
53,cv_no53,"[150, 357, 151]",34,0.721,5.516
54,cv_no54,"[292, 384, 249]",34,0.009,0.114
55,cv_no55,"[190, 356, 191]",34,0.008,0.011
56,cv_no56,"[291, 332, 131]",34,0.211,0.32499999999999996
57,cv_no57,"[159, 334, 21]",34,0.24,6.396
58,cv_no58,"[275, 386, 221]",34,0.159,0.8390000000000001
59,cv_no59,"[234, 373, 225]",34,0.115,0.189
60,cv_no60,"[20, 370, 152]",34,1.211,6.971
61,cv_no61,"[250, 309, 247]",34,0.993,6.975
62,cv_no62,"[162, 321, 163]",34,0.227,0.747
63,cv_no63,"[196, 359, 197]",34,0.005,0.017
64,cv_no64,"[230, 398, 253]",34,0.344,2.7419999999999995
65,cv_no65,"[313, 363, 235]",34,0.03,0.6910000000000001
66,cv_no66,"[287, 321, 162]",34,0.101,0.62
67,cv_no67,"[389, 396, 217]",34,0.342,3.4160000000000004
68,cv_no68,"[348, 368, 127]",34,0.094,0.157
69,cv_no69,"[130, 319, 291]",34,0.162,0.258
70,cv_no70,"[198, 360, 199]",34,0.013,0.028
71,cv_no71,"[261, 334, 245]",34,0.028,4.188999999999999
72,cv_no72,"[236, 325, 299]",34,0.143,0.23299999999999998
73,cv_no73,"[128, 347, 129]",34,0.075,0.131
