,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.296,4.209
1,cv_no1,"[116, 384, 292]",34,0.001,0.063
2,cv_no2,"[290, 328, 147]",34,0.669,4.846
3,cv_no3,"[160, 317, 161]",34,0.581,5.1739999999999995
4,cv_no4,"[305, 326, 222]",34,0.042,1.434
5,cv_no5,"[127, 368, 17]",34,0.752,4.114
6,cv_no6,"[24, 349, 184]",34,0.38,2.331
7,cv_no7,"[178, 353, 179]",34,0.322,2.9540000000000006
8,cv_no8,"[272, 386, 335]",34,0.037,0.3949999999999999
9,cv_no9,"[297, 390, 224]",34,0.256,2.115
10,cv_no10,"[16, 320, 120]",34,0.796,3.8630000000000004
11,cv_no11,"[168, 350, 169]",34,0.03,2.6159999999999997
12,cv_no12,"[129, 319, 130]",34,1.069,5.6160000000000005
13,cv_no13,"[188, 351, 189]",34,0.413,1.94
14,cv_no14,"[283, 306, 46]",34,0.084,0.704
15,cv_no15,"[194, 354, 195]",34,0.184,1.071
16,cv_no16,"[293, 325, 236]",34,0.647,3.468
17,cv_no17,"[192, 355, 193]",34,0.249,0.53
18,cv_no18,"[44, 394, 284]",34,0.016,0.17200000000000004
19,cv_no19,"[218, 404, 252]",34,0.008,3.345
20,cv_no20,"[303, 362, 176]",34,0.301,2.95
21,cv_no21,"[247, 300, 251]",34,0.279,5.289999999999999
22,cv_no22,"[304, 364, 182]",34,0.309,2.1900000000000004
23,cv_no23,"[181, 365, 304]",34,0.303,2.302
24,cv_no24,"[243, 298, 234]",34,0.653,3.307
25,cv_no25,"[319, 347, 246]",34,0.941,5.059
26,cv_no26,"[31, 372, 1]",34,0.165,0.853
27,cv_no27,"[23, 361, 303]",34,0.296,3.065
28,cv_no28,"[241, 262, 227]",34,1.173,6.837000000000001
29,cv_no29,"[146, 333, 290]",34,0.953,5.845000000000001
30,cv_no30,"[249, 384, 366]",34,0.003,0.21400000000000002
31,cv_no31,"[320, 323, 234]",34,0.688,3.4129999999999994
32,cv_no32,"[167, 308, 22]",34,3.058,26.006
33,cv_no33,"[37, 313, 36]",34,0.018,0.45600000000000007
34,cv_no34,"[378, 379, 170]",34,0.325,4.361
35,cv_no35,"[244, 348, 324]",34,0.707,3.847
36,cv_no36,"[235, 363, 318]",34,0.006,0.35100000000000003
37,cv_no37,"[228, 250, 247]",34,0.046,3.476
38,cv_no38,"[131, 332, 132]",34,1.306,6.963
39,cv_no39,"[242, 332, 291]",34,1.076,5.859
40,cv_no40,"[225, 340, 236]",34,0.666,3.575
41,cv_no41,"[244, 395, 257]",34,0.813,4.414
42,cv_no42,"[117, 399, 116]",34,0.0,0.008
43,cv_no43,"[149, 329, 150]",34,0.306,4.466
44,cv_no44,"[126, 348, 127]",34,0.66,3.6420000000000003
45,cv_no45,"[163, 321, 296]",34,0.232,1.883
46,cv_no46,"[252, 357, 329]",34,0.135,3.809
47,cv_no47,"[123, 325, 124]",34,0.615,3.2960000000000003
48,cv_no48,"[245, 250, 228]",34,0.045,3.464
49,cv_no49,"[145, 333, 146]",34,0.977,5.99
50,cv_no50,"[238, 239, 28]",34,0.302,1.56
51,cv_no51,"[229, 341, 217]",34,0.204,1.8819999999999997
52,cv_no52,"[164, 337, 165]",34,0.705,5.291
53,cv_no53,"[150, 357, 151]",34,0.122,4.9830000000000005
54,cv_no54,"[292, 384, 249]",34,0.001,0.09300000000000001
55,cv_no55,"[190, 356, 191]",34,0.384,1.6709999999999998
56,cv_no56,"[291, 332, 131]",34,1.246,6.767000000000001
57,cv_no57,"[159, 334, 21]",34,0.359,8.495000000000001
58,cv_no58,"[275, 386, 221]",34,0.094,1.055
59,cv_no59,"[234, 373, 225]",34,0.581,2.9659999999999997
60,cv_no60,"[20, 370, 152]",34,0.245,6.143
61,cv_no61,"[250, 309, 247]",34,0.257,5.333999999999999
62,cv_no62,"[162, 321, 163]",34,0.14,1.004
63,cv_no63,"[196, 359, 197]",34,0.47,2.1710000000000003
64,cv_no64,"[230, 398, 253]",34,0.275,3.766
65,cv_no65,"[313, 363, 235]",34,0.021,0.6900000000000002
66,cv_no66,"[287, 321, 162]",34,0.051,0.7980000000000002
67,cv_no67,"[389, 396, 217]",34,0.09,2.329
68,cv_no68,"[348, 368, 127]",34,0.639,3.5890000000000004
69,cv_no69,"[130, 319, 291]",34,1.11,5.9590000000000005
70,cv_no70,"[198, 360, 199]",34,0.937,4.189
71,cv_no71,"[261, 334, 245]",34,0.2,5.609
72,cv_no72,"[236, 325, 299]",34,0.647,3.468
73,cv_no73,"[128, 347, 129]",34,0.939,5.046
74,cv_no74,"[125, 324, 126]",34,0.638,3.4789999999999996
75,cv_no75,"[16, 323, 320]",34,0.919,4.366
76,cv_no76,"[42, 118, 41]",34,0.002,0.023
77,cv_no77,"[40, 41, 119]",34,0.002,0.023
78,cv_no78,"[372, 397, 276]",34,0.386,2.038
79,cv_no79,"[283, 308, 226]",34,0.631,5.9830000000000005
80,cv_no80,"[246, 347, 257]",34,0.922,4.976999999999999
81,cv_no81,"[313, 316, 36]",34,0.009,0.17500000000000004
82,cv_no82,"[165, 307, 166]",34,1.088,8.298
83,cv_no83,"[45, 272, 44]",34,0.029,0.29500000000000004
84,cv_no84,"[285, 374, 336]",34,0.338,1.6440000000000001
85,cv_no85,"[120, 298, 121]",34,0.645,3.278
86,cv_no86,"[225, 243, 234]",34,0.612,3.206
87,cv_no87,"[33, 254, 32]",34,0.302,2.042
88,cv_no88,"[273, 314, 254]",34,0.442,3.318
89,cv_no89,"[156, 309, 157]",34,0.383,6.383
90,cv_no90,"[284, 399, 117]",34,0.006,0.09800000000000002
91,cv_no91,"[287, 398, 232]",34,0.02,0.937
92,cv_no92,"[221, 297, 275]",34,0.151,1.399
93,cv_no93,"[217, 316, 315]",34,0.063,1.4760000000000002
94,cv_no94,"[379, 380, 172]",34,0.317,4.511
95,cv_no95,"[216, 367, 340]",34,0.609,3.322
96,cv_no96,"[148, 295, 149]",34,0.473,4.555
97,cv_no97,"[261, 294, 253]",34,0.383,5.591
98,cv_no98,"[217, 341, 316]",34,0.136,2.056
99,cv_no99,"[139, 383, 273]",34,0.262,2.651
100,cv_no100,"[122, 299, 123]",34,0.615,3.253
101,cv_no101,"[284, 394, 335]",34,0.025,0.30500000000000005
102,cv_no102,"[228, 389, 217]",34,0.1,2.2190000000000003
103,cv_no103,"[288, 289, 25]",34,0.315,1.138
104,cv_no104,"[244, 293, 236]",34,0.654,3.5249999999999995
105,cv_no105,"[246, 395, 219]",34,0.789,4.289
106,cv_no106,"[38, 363, 37]",34,0.006,0.17700000000000005
107,cv_no107,"[227, 262, 242]",34,0.993,5.595000000000001
108,cv_no108,"[224, 322, 237]",34,0.427,3.276
109,cv_no109,"[29, 259, 238]",34,0.429,2.1229999999999998
110,cv_no110,"[132, 302, 133]",34,1.427,7.859999999999999
111,cv_no111,"[154, 300, 155]",34,0.411,6.220000000000001
112,cv_no112,"[32, 397, 31]",34,0.241,1.339
113,cv_no113,"[283, 403, 306]",34,0.324,2.7009999999999996
114,cv_no114,"[236, 340, 219]",34,0.68,3.677
115,cv_no115,"[45, 306, 272]",34,0.027,0.225
