,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.388,16.846
1,cv_no1,"[116, 384, 292]",34,0.003,0.14900000000000008
2,cv_no2,"[290, 328, 147]",34,0.674,17.317999999999998
3,cv_no3,"[160, 317, 161]",34,0.501,16.527
4,cv_no4,"[305, 326, 222]",34,0.016,1.5989999999999989
5,cv_no5,"[127, 368, 17]",34,0.639,15.227999999999998
6,cv_no6,"[24, 349, 184]",34,0.416,9.971
7,cv_no7,"[178, 353, 179]",34,0.376,12.39
8,cv_no8,"[272, 386, 335]",34,0.05,1.64
9,cv_no9,"[297, 390, 224]",34,0.32,9.652999999999999
10,cv_no10,"[16, 320, 120]",34,0.695,14.983
11,cv_no11,"[168, 350, 169]",34,0.029,7.826999999999999
12,cv_no12,"[129, 319, 130]",34,0.9,21.003
13,cv_no13,"[188, 351, 189]",34,0.438,8.468000000000002
14,cv_no14,"[283, 306, 46]",34,0.092,3.076000000000001
15,cv_no15,"[194, 354, 195]",34,0.353,6.651000000000001
16,cv_no16,"[293, 325, 236]",34,0.541,12.951000000000002
17,cv_no17,"[192, 355, 193]",34,0.148,2.783
18,cv_no18,"[44, 394, 284]",34,0.018,0.6410000000000002
19,cv_no19,"[218, 404, 252]",34,0.004,8.468
20,cv_no20,"[303, 362, 176]",34,0.341,12.833
21,cv_no21,"[247, 300, 251]",34,0.253,16.681
22,cv_no22,"[304, 364, 182]",34,0.343,9.514000000000001
23,cv_no23,"[181, 365, 304]",34,0.342,9.842
24,cv_no24,"[243, 298, 234]",34,0.558,12.638999999999998
25,cv_no25,"[319, 347, 246]",34,0.797,18.838
26,cv_no26,"[31, 372, 1]",34,0.15,3.353999999999999
27,cv_no27,"[23, 361, 303]",34,0.341,13.231999999999996
28,cv_no28,"[241, 262, 227]",34,1.024,25.403000000000002
29,cv_no29,"[146, 333, 290]",34,0.965,24.528
30,cv_no30,"[249, 384, 366]",34,0.014,0.6590000000000004
31,cv_no31,"[320, 323, 234]",34,0.603,13.231999999999998
32,cv_no32,"[167, 308, 22]",34,3.295,103.912
33,cv_no33,"[37, 313, 36]",34,0.007,0.6040000000000001
34,cv_no34,"[378, 379, 170]",34,0.375,18.967000000000002
35,cv_no35,"[244, 348, 324]",34,0.592,14.267000000000003
36,cv_no36,"[235, 363, 318]",34,0.01,0.7280000000000003
37,cv_no37,"[228, 250, 247]",34,0.069,8.890000000000004
38,cv_no38,"[131, 332, 132]",34,1.103,26.072
39,cv_no39,"[242, 332, 291]",34,0.916,21.866
40,cv_no40,"[225, 340, 236]",34,0.566,13.423
41,cv_no41,"[244, 395, 257]",34,0.689,16.432999999999996
42,cv_no42,"[117, 399, 116]",34,0.001,0.03200000000000002
43,cv_no43,"[149, 329, 150]",34,0.292,9.629
44,cv_no44,"[126, 348, 127]",34,0.55,13.402999999999999
45,cv_no45,"[163, 321, 296]",34,0.33,9.674
46,cv_no46,"[252, 357, 329]",34,0.123,7.915000000000002
47,cv_no47,"[123, 325, 124]",34,0.505,12.234000000000002
48,cv_no48,"[245, 250, 228]",34,0.068,8.847
49,cv_no49,"[145, 333, 146]",34,0.99,25.162999999999997
50,cv_no50,"[238, 239, 28]",34,0.367,7.42
51,cv_no51,"[229, 341, 217]",34,0.198,5.514
52,cv_no52,"[164, 337, 165]",34,0.833,24.586
53,cv_no53,"[150, 357, 151]",34,0.073,8.261
54,cv_no54,"[292, 384, 249]",34,0.007,0.29800000000000015
55,cv_no55,"[190, 356, 191]",34,0.367,6.9590000000000005
