,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.274,4.768
1,cv_no1,"[116, 384, 292]",34,0.0,0.064
2,cv_no2,"[290, 328, 147]",34,0.6,6.08
3,cv_no3,"[160, 317, 161]",34,0.507,6.2219999999999995
4,cv_no4,"[305, 326, 222]",34,0.033,1.5039999999999998
5,cv_no5,"[127, 368, 17]",34,0.676,5.506
6,cv_no6,"[24, 349, 184]",34,0.338,3.028
7,cv_no7,"[178, 353, 179]",34,0.294,3.5570000000000004
8,cv_no8,"[272, 386, 335]",34,0.034,0.46399999999999997
9,cv_no9,"[297, 390, 224]",34,0.23,2.586
10,cv_no10,"[16, 320, 120]",34,0.681,5.276
11,cv_no11,"[168, 350, 169]",34,0.025,2.6689999999999996
12,cv_no12,"[129, 319, 130]",34,0.941,7.5600000000000005
13,cv_no13,"[188, 351, 189]",34,0.358,2.674
14,cv_no14,"[283, 306, 46]",34,0.074,0.8569999999999999
15,cv_no15,"[194, 354, 195]",34,0.15,1.378
16,cv_no16,"[293, 325, 236]",34,0.571,4.646999999999999
17,cv_no17,"[192, 355, 193]",34,0.213,0.982
18,cv_no18,"[44, 394, 284]",34,0.014,0.20100000000000007
19,cv_no19,"[218, 404, 252]",34,0.005,3.356
20,cv_no20,"[303, 362, 176]",34,0.269,3.503
21,cv_no21,"[247, 300, 251]",34,0.242,5.7909999999999995
22,cv_no22,"[304, 364, 182]",34,0.277,2.7610000000000006
23,cv_no23,"[181, 365, 304]",34,0.274,2.864
24,cv_no24,"[243, 298, 234]",34,0.567,4.482
25,cv_no25,"[319, 347, 246]",34,0.833,6.779
26,cv_no26,"[31, 372, 1]",34,0.143,1.149
27,cv_no27,"[23, 361, 303]",34,0.265,3.61
28,cv_no28,"[241, 262, 227]",34,1.045,8.988
29,cv_no29,"[146, 333, 290]",34,0.855,7.6030000000000015
30,cv_no30,"[249, 384, 366]",34,0.003,0.22000000000000003
31,cv_no31,"[320, 323, 234]",34,0.592,4.64
32,cv_no32,"[167, 308, 22]",34,2.703,31.574
33,cv_no33,"[37, 313, 36]",34,0.015,0.4880000000000001
34,cv_no34,"[378, 379, 170]",34,0.284,4.9479999999999995
35,cv_no35,"[244, 348, 324]",34,0.626,5.139
36,cv_no36,"[235, 363, 318]",34,0.004,0.36000000000000004
37,cv_no37,"[228, 250, 247]",34,0.042,3.561
38,cv_no38,"[131, 332, 132]",34,1.15,9.337
39,cv_no39,"[242, 332, 291]",34,0.951,7.819999999999999
40,cv_no40,"[225, 340, 236]",34,0.587,4.788
41,cv_no41,"[244, 395, 257]",34,0.721,5.901
42,cv_no42,"[117, 399, 116]",34,0.0,0.008
43,cv_no43,"[149, 329, 150]",34,0.271,5.0249999999999995
44,cv_no44,"[126, 348, 127]",34,0.588,4.856
45,cv_no45,"[163, 321, 296]",34,0.21,2.314
46,cv_no46,"[252, 357, 329]",34,0.118,4.054
47,cv_no47,"[123, 325, 124]",34,0.544,4.422000000000001
48,cv_no48,"[245, 250, 228]",34,0.041,3.5469999999999997
49,cv_no49,"[145, 333, 146]",34,0.876,7.792000000000001
50,cv_no50,"[238, 239, 28]",34,0.254,2.085
51,cv_no51,"[229, 341, 217]",34,0.182,2.256
52,cv_no52,"[164, 337, 165]",34,0.629,6.581999999999999
53,cv_no53,"[150, 357, 151]",34,0.097,5.1880000000000015
54,cv_no54,"[292, 384, 249]",34,0.001,0.09500000000000001
55,cv_no55,"[190, 356, 191]",34,0.331,2.351
56,cv_no56,"[291, 332, 131]",34,1.101,9.039000000000001
57,cv_no57,"[159, 334, 21]",34,0.303,9.127000000000002
58,cv_no58,"[275, 386, 221]",34,0.086,1.231
59,cv_no59,"[234, 373, 225]",34,0.503,4.008
60,cv_no60,"[20, 370, 152]",34,0.225,6.601999999999999
61,cv_no61,"[250, 309, 247]",34,0.225,5.798999999999999
62,cv_no62,"[162, 321, 163]",34,0.127,1.264
63,cv_no63,"[196, 359, 197]",34,0.386,2.972
64,cv_no64,"[230, 398, 253]",34,0.235,4.255
65,cv_no65,"[313, 363, 235]",34,0.017,0.7260000000000002
66,cv_no66,"[287, 321, 162]",34,0.051,0.9000000000000002
67,cv_no67,"[389, 396, 217]",34,0.08,2.494
68,cv_no68,"[348, 368, 127]",34,0.573,4.77
69,cv_no69,"[130, 319, 291]",34,0.98,7.982000000000001
70,cv_no70,"[198, 360, 199]",34,0.779,5.8100000000000005
71,cv_no71,"[261, 334, 245]",34,0.167,5.958
72,cv_no72,"[236, 325, 299]",34,0.571,4.646999999999999
73,cv_no73,"[128, 347, 129]",34,0.836,6.770000000000001
74,cv_no74,"[125, 324, 126]",34,0.566,4.646999999999999
75,cv_no75,"[16, 323, 320]",34,0.779,5.982
76,cv_no76,"[42, 118, 41]",34,0.002,0.027000000000000003
77,cv_no77,"[40, 41, 119]",34,0.002,0.027000000000000003
78,cv_no78,"[372, 397, 276]",34,0.336,2.7319999999999998
79,cv_no79,"[283, 308, 226]",34,0.558,7.132
80,cv_no80,"[246, 347, 257]",34,0.816,6.662
81,cv_no81,"[313, 316, 36]",34,0.008,0.19200000000000006
82,cv_no82,"[165, 307, 166]",34,0.97,10.292
83,cv_no83,"[45, 272, 44]",34,0.026,0.3470000000000001
84,cv_no84,"[285, 374, 336]",34,0.29,2.244
85,cv_no85,"[120, 298, 121]",34,0.563,4.444
86,cv_no86,"[225, 243, 234]",34,0.535,4.312
87,cv_no87,"[33, 254, 32]",34,0.271,2.5989999999999998
88,cv_no88,"[273, 314, 254]",34,0.399,4.1370000000000005
89,cv_no89,"[156, 309, 157]",34,0.336,7.0760000000000005
90,cv_no90,"[284, 399, 117]",34,0.006,0.11000000000000003
91,cv_no91,"[287, 398, 232]",34,0.023,0.9820000000000001
92,cv_no92,"[221, 297, 275]",34,0.136,1.677
93,cv_no93,"[217, 316, 315]",34,0.054,1.5890000000000002
94,cv_no94,"[379, 380, 172]",34,0.287,5.1000000000000005
95,cv_no95,"[216, 367, 340]",34,0.537,4.431
96,cv_no96,"[148, 295, 149]",34,0.423,5.426
97,cv_no97,"[261, 294, 253]",34,0.329,6.274
98,cv_no98,"[217, 341, 316]",34,0.122,2.307
99,cv_no99,"[139, 383, 273]",34,0.239,3.1399999999999997
100,cv_no100,"[122, 299, 123]",34,0.542,4.372
101,cv_no101,"[284, 394, 335]",34,0.022,0.3500000000000001
102,cv_no102,"[228, 389, 217]",34,0.089,2.4030000000000005
103,cv_no103,"[288, 289, 25]",34,0.265,1.6920000000000002
104,cv_no104,"[244, 293, 236]",34,0.578,4.718
105,cv_no105,"[246, 395, 219]",34,0.699,5.731
106,cv_no106,"[38, 363, 37]",34,0.005,0.18700000000000006
107,cv_no107,"[227, 262, 242]",34,0.881,7.412000000000001
108,cv_no108,"[224, 322, 237]",34,0.381,4.059
109,cv_no109,"[29, 259, 238]",34,0.362,2.873
110,cv_no110,"[132, 302, 133]",34,1.265,10.47
111,cv_no111,"[154, 300, 155]",34,0.356,6.957000000000001
112,cv_no112,"[32, 397, 31]",34,0.213,1.778
113,cv_no113,"[283, 403, 306]",34,0.288,3.2939999999999996
114,cv_no114,"[236, 340, 219]",34,0.599,4.914000000000001
115,cv_no115,"[45, 306, 272]",34,0.024,0.274
116,cv_no116,"[224, 311, 297]",34,0.116,1.7349999999999999
117,cv_no117,"[228, 315, 245]",34,0.073,3.0300000000000002
118,cv_no118,"[264, 357, 252]",34,0.104,3.787
119,cv_no119,"[30, 372, 233]",34,0.268,2.144
120,cv_no120,"[237, 322, 240]",34,0.648,7.013999999999999
121,cv_no121,"[219, 367, 242]",34,0.718,5.945
122,cv_no122,"[136, 342, 314]",34,0.523,5.3919999999999995
123,cv_no123,"[297, 311, 222]",34,0.049,1.1400000000000001
124,cv_no124,"[219, 395, 244]",34,0.672,5.523
125,cv_no125,"[36, 316, 35]",34,0.041,0.9310000000000002
126,cv_no126,"[144, 345, 344]",34,0.827,7.556
127,cv_no127,"[191, 356, 288]",34,0.292,2.0029999999999997
128,cv_no128,"[316, 341, 35]",34,0.036,0.5249999999999999
129,cv_no129,"[161, 317, 287]",34,0.291,4.396000000000001
130,cv_no130,"[185, 336, 186]",34,0.31,2.513
131,cv_no131,"[218, 396, 389]",34,0.134,3.153
132,cv_no132,"[262, 302, 242]",34,1.083,9.16
133,cv_no133,"[134, 301, 135]",34,1.709,14.756
134,cv_no134,"[158, 310, 159]",34,0.159,6.374
135,cv_no135,"[236, 299, 243]",34,0.558,4.51
136,cv_no136,"[387, 398, 230]",34,0.017,1.3169999999999997
137,cv_no137,"[232, 387, 224]",34,0.124,1.7599999999999998
138,cv_no138,"[275, 400, 220]",34,0.022,0.6970000000000002
139,cv_no139,"[28, 392, 0]",34,0.049,0.448
140,cv_no140,"[318, 366, 220]",34,0.013,0.4710000000000001
141,cv_no141,"[276, 397, 216]",34,0.31,2.583
142,cv_no142,"[35, 258, 34]",34,0.112,1.366
143,cv_no143,"[252, 295, 248]",34,0.275,4.242
144,cv_no144,"[254, 342, 312]",34,0.563,5.212
145,cv_no145,"[251, 358, 264]",34,0.21,5.712999999999999
146,cv_no146,"[29, 238, 28]",34,0.267,2.169
147,cv_no147,"[231, 393, 223]",34,0.082,2.3339999999999996
148,cv_no148,"[326, 400, 275]",34,0.036,0.8580000000000002
149,cv_no149,"[183, 382, 24]",34,0.335,3.1129999999999995
150,cv_no150,"[184, 377, 185]",34,0.326,2.794
151,cv_no151,"[169, 378, 170]",34,0.206,4.112
152,cv_no152,"[252, 404, 264]",34,0.009,3.568999999999999
153,cv_no153,"[189, 371, 190]",34,0.359,2.63
154,cv_no154,"[224, 390, 322]",34,0.276,3.093
155,cv_no155,"[231, 294, 261]",34,0.123,3.1549999999999994
156,cv_no156,"[174, 376, 175]",34,0.28,4.529000000000001
157,cv_no157,"[177, 381, 178]",34,0.302,3.7580000000000005
158,cv_no158,"[193, 385, 194]",34,0.003,0.445
159,cv_no159,"[172, 380, 173]",34,0.26,4.607
160,cv_no160,"[303, 361, 280]",34,0.246,3.6679999999999997
161,cv_no161,"[153, 358, 339]",34,0.396,7.358
162,cv_no162,"[197, 388, 198]",34,0.532,3.9930000000000003
163,cv_no163,"[373, 401, 233]",34,0.46,3.64
164,cv_no164,"[187, 375, 188]",34,0.347,2.6310000000000002
165,cv_no165,"[270, 365, 353]",34,0.188,2.1950000000000003
166,cv_no166,"[318, 400, 235]",34,0.002,0.5780000000000001
167,cv_no167,"[245, 334, 310]",34,0.145,5.486000000000001
168,cv_no168,"[240, 322, 226]",34,0.506,5.635000000000001
169,cv_no169,"[156, 338, 309]",34,0.381,7.433
170,cv_no170,"[31, 397, 372]",34,0.0,0.001
171,cv_no171,"[134, 331, 301]",34,1.492,12.849
172,cv_no172,"[324, 348, 126]",34,0.551,4.532
173,cv_no173,"[309, 346, 157]",34,0.364,7.54
174,cv_no174,"[232, 321, 287]",34,0.014,0.8990000000000001
175,cv_no175,"[310, 334, 159]",34,0.108,6.686
176,cv_no176,"[307, 369, 166]",34,1.061,11.665000000000001
177,cv_no177,"[186, 374, 187]",34,0.352,2.721
178,cv_no178,"[235, 400, 326]",34,0.01,0.7920000000000001
179,cv_no179,"[116, 399, 384]",34,0.002,0.05200000000000002
180,cv_no180,"[288, 356, 286]",34,0.3,2.1369999999999996
181,cv_no181,"[285, 336, 50]",34,0.015,0.128
182,cv_no182,"[48, 303, 280]",34,0.005,0.08300000000000002
183,cv_no183,"[158, 346, 310]",34,0.279,7.333999999999999
184,cv_no184,"[357, 370, 151]",34,0.05,4.276999999999999
185,cv_no185,"[160, 391, 317]",34,0.608,8.941
186,cv_no186,"[329, 357, 150]",34,0.217,4.577999999999999
187,cv_no187,"[50, 336, 277]",34,0.047,0.38199999999999995
188,cv_no188,"[224, 387, 311]",34,0.181,2.2720000000000002
189,cv_no189,"[291, 319, 246]",34,0.949,7.715
190,cv_no190,"[333, 344, 263]",34,0.76,6.922
191,cv_no191,"[145, 344, 333]",34,0.957,8.326
192,cv_no192,"[167, 369, 308]",34,1.191,13.360000000000001
193,cv_no193,"[265, 392, 289]",34,0.009,0.20800000000000002
194,cv_no194,"[258, 274, 34]",34,0.01,0.43800000000000006
195,cv_no195,"[286, 351, 285]",34,0.294,2.1839999999999997
196,cv_no196,"[358, 370, 264]",34,0.104,4.78
197,cv_no197,"[267, 359, 354]",34,0.226,1.899
198,cv_no198,"[273, 383, 314]",34,0.285,3.5980000000000003
199,cv_no199,"[311, 402, 222]",34,0.023,1.0799999999999998
200,cv_no200,"[304, 365, 270]",34,0.254,2.8699999999999997
201,cv_no201,"[234, 401, 373]",34,0.476,3.798
202,cv_no202,"[255, 273, 33]",34,0.092,1.129
203,cv_no203,"[281, 350, 282]",34,0.081,3.049
204,cv_no204,"[271, 303, 48]",34,0.017,0.248
205,cv_no205,"[233, 401, 259]",34,0.401,3.168
206,cv_no206,"[254, 312, 32]",34,0.191,1.6590000000000003
207,cv_no207,"[247, 389, 228]",34,0.053,3.581
208,cv_no208,"[278, 304, 49]",34,0.007,0.09000000000000002
209,cv_no209,"[318, 363, 249]",34,0.003,0.35700000000000004
210,cv_no210,"[271, 362, 303]",34,0.247,3.1399999999999997
211,cv_no211,"[257, 368, 348]",34,0.699,5.717
212,cv_no212,"[390, 403, 226]",34,0.289,3.0960000000000005
213,cv_no213,"[278, 364, 304]",34,0.27,2.595
214,cv_no214,"[253, 398, 317]",34,0.267,4.720000000000001
215,cv_no215,"[128, 368, 347]",34,0.806,6.544
216,cv_no216,"[258, 341, 327]",34,0.187,2.08
217,cv_no217,"[229, 396, 248]",34,0.353,4.226
218,cv_no218,"[33, 273, 254]",34,0.046,0.5740000000000001
219,cv_no219,"[282, 283, 46]",34,0.188,2.3890000000000002
220,cv_no220,"[248, 328, 290]",34,0.583,6.000000000000001
221,cv_no221,"[317, 391, 253]",34,0.573,8.443
222,cv_no222,"[37, 363, 313]",34,0.003,0.10200000000000002
223,cv_no223,"[239, 392, 28]",34,0.06,0.6459999999999999
224,cv_no224,"[260, 268, 238]",34,0.485,3.7569999999999997
225,cv_no225,"[296, 337, 164]",34,0.496,5.221
226,cv_no226,"[133, 331, 134]",34,1.448,12.209000000000001
227,cv_no227,"[17, 368, 128]",34,0.72,5.773999999999999
228,cv_no228,"[339, 358, 251]",34,0.195,5.373000000000001
229,cv_no229,"[366, 384, 256]",34,0.007,0.19200000000000006
230,cv_no230,"[51, 288, 286]",34,0.042,0.285
231,cv_no231,"[155, 338, 156]",34,0.361,7.112
232,cv_no232,"[258, 327, 274]",34,0.281,2.9840000000000004
233,cv_no233,"[242, 367, 227]",34,0.835,7.047000000000001
234,cv_no234,"[124, 325, 293]",34,0.542,4.418
235,cv_no235,"[276, 373, 233]",34,0.401,3.2330000000000005
236,cv_no236,"[295, 329, 149]",34,0.356,5.019
237,cv_no237,"[238, 267, 239]",34,0.218,1.823
238,cv_no238,"[245, 310, 250]",34,0.013,4.141999999999999
239,cv_no239,"[220, 400, 318]",34,0.015,0.4920000000000001
240,cv_no240,"[251, 404, 218]",34,0.012,3.291
241,cv_no241,"[151, 370, 20]",34,0.238,7.428000000000001
242,cv_no242,"[299, 325, 123]",34,0.538,4.356
243,cv_no243,"[152, 370, 358]",34,0.356,7.498000000000001
244,cv_no244,"[238, 268, 267]",34,0.299,2.412
245,cv_no245,"[294, 402, 230]",34,0.109,2.755
246,cv_no246,"[175, 361, 23]",34,0.277,4.0920000000000005
247,cv_no247,"[176, 362, 177]",34,0.284,3.611999999999999
248,cv_no248,"[293, 324, 125]",34,0.546,4.482
249,cv_no249,"[182, 364, 183]",34,0.305,2.925
250,cv_no250,"[180, 365, 181]",34,0.307,3.4960000000000004
251,cv_no251,"[302, 332, 242]",34,1.113,9.225
252,cv_no252,"[322, 390, 226]",34,0.505,5.624
253,cv_no253,"[249, 366, 318]",34,0.005,0.24200000000000005
254,cv_no254,"[315, 393, 245]",34,0.073,2.777
255,cv_no255,"[152, 358, 153]",34,0.321,6.872999999999999
256,cv_no256,"[289, 392, 266]",34,0.09,0.44999999999999996
257,cv_no257,"[121, 330, 122]",34,0.544,4.343
258,cv_no258,"[153, 339, 154]",34,0.348,6.871
259,cv_no259,"[241, 301, 262]",34,1.023,8.879
260,cv_no260,"[147, 328, 148]",34,0.572,6.079
261,cv_no261,"[296, 321, 232]",34,0.283,3.07
262,cv_no262,"[223, 393, 315]",34,0.095,2.9540000000000006
263,cv_no263,"[298, 320, 234]",34,0.581,4.557
264,cv_no264,"[302, 331, 133]",34,1.355,11.479000000000001
265,cv_no265,"[154, 339, 300]",34,0.391,7.268999999999999
266,cv_no266,"[166, 369, 167]",34,1.652,17.908
267,cv_no267,"[230, 402, 311]",34,0.001,1.1079999999999994
268,cv_no268,"[300, 338, 155]",34,0.391,7.351999999999999
269,cv_no269,"[235, 326, 305]",34,0.005,0.788
270,cv_no270,"[247, 338, 300]",34,0.199,5.323999999999999
271,cv_no271,"[144, 344, 145]",34,1.178,10.161999999999999
272,cv_no272,"[295, 328, 248]",34,0.351,4.822
273,cv_no273,"[137, 383, 138]",34,0.321,3.958
274,cv_no274,"[264, 404, 251]",34,0.0,3.4149999999999996
275,cv_no275,"[51, 289, 288]",34,0.003,0.028999999999999998
276,cv_no276,"[1, 372, 30]",34,0.109,0.871
277,cv_no277,"[129, 347, 319]",34,0.899,7.278
278,cv_no278,"[309, 338, 247]",34,0.205,5.388
279,cv_no279,"[314, 383, 137]",34,0.394,4.481
280,cv_no280,"[218, 389, 247]",34,0.001,2.8819999999999992
281,cv_no281,"[157, 346, 158]",34,0.295,7.078000000000001
282,cv_no282,"[257, 395, 246]",34,0.755,6.171
283,cv_no283,"[315, 316, 223]",34,0.057,1.7510000000000001
284,cv_no284,"[132, 332, 302]",34,1.174,9.787
285,cv_no285,"[216, 397, 312]",34,0.436,3.647
286,cv_no286,"[220, 366, 335]",34,0.018,0.3710000000000001
287,cv_no287,"[122, 330, 299]",34,0.538,4.3229999999999995
288,cv_no288,"[148, 328, 295]",34,0.517,5.72
289,cv_no289,"[257, 348, 244]",34,0.637,5.228
290,cv_no290,"[311, 387, 230]",34,0.015,1.0449999999999997
291,cv_no291,"[120, 320, 298]",34,0.578,4.527
292,cv_no292,"[248, 396, 218]",34,0.132,3.1520000000000006
293,cv_no293,"[5, 43, 4]",34,0.258,3.4850000000000008
294,cv_no294,"[6, 7, 39]",34,0.255,3.418
295,cv_no295,"[21, 391, 160]",34,1.425,19.494000000000003
296,cv_no296,"[165, 337, 307]",34,0.676,7.1899999999999995
297,cv_no297,"[298, 330, 121]",34,0.548,4.3420000000000005
298,cv_no298,"[250, 346, 309]",34,0.166,5.393999999999999
299,cv_no299,"[300, 339, 251]",34,0.217,5.584999999999999
300,cv_no300,"[262, 331, 302]",34,1.124,9.471
301,cv_no301,"[267, 269, 239]",34,0.193,1.673
302,cv_no302,"[239, 269, 266]",34,0.004,0.343
303,cv_no303,"[47, 379, 281]",34,0.053,0.7080000000000002
304,cv_no304,"[260, 360, 268]",34,0.465,3.601
305,cv_no305,"[255, 343, 273]",34,0.156,2.4750000000000005
306,cv_no306,"[374, 375, 187]",34,0.382,2.9179999999999997
307,cv_no307,"[301, 331, 262]",34,1.376,11.742
308,cv_no308,"[266, 392, 239]",34,0.096,0.94
309,cv_no309,"[274, 343, 255]",34,0.157,2.4850000000000003
310,cv_no310,"[221, 403, 390]",34,0.266,2.8819999999999997
311,cv_no311,"[240, 369, 307]",34,0.96,10.488
312,cv_no312,"[268, 359, 267]",34,0.374,2.9370000000000007
313,cv_no313,"[310, 346, 250]",34,0.168,5.417999999999998
314,cv_no314,"[281, 379, 378]",34,0.114,2.751
315,cv_no315,"[285, 375, 374]",34,0.225,1.71
316,cv_no316,"[308, 369, 240]",34,1.136,13.060999999999998
317,cv_no317,"[314, 342, 254]",34,0.415,3.9230000000000005
318,cv_no318,"[277, 377, 349]",34,0.22,1.8969999999999998
319,cv_no319,"[259, 401, 323]",34,0.497,3.904
320,cv_no320,"[352, 380, 279]",34,0.201,3.4379999999999997
321,cv_no321,"[336, 377, 277]",34,0.22,1.8969999999999998
322,cv_no322,"[351, 375, 285]",34,0.249,1.8890000000000002
323,cv_no323,"[281, 378, 350]",34,0.106,2.647
324,cv_no324,"[361, 376, 280]",34,0.211,3.382
325,cv_no325,"[190, 371, 356]",34,0.373,2.6900000000000004
326,cv_no326,"[349, 377, 184]",34,0.361,3.168
327,cv_no327,"[350, 378, 169]",34,0.219,4.606
328,cv_no328,"[270, 353, 271]",34,0.243,2.9229999999999996
329,cv_no329,"[35, 341, 258]",34,0.073,1.0039999999999998
330,cv_no330,"[335, 394, 272]",34,0.025,0.40100000000000013
331,cv_no331,"[34, 274, 255]",34,0.011,0.4960000000000001
332,cv_no332,"[344, 345, 263]",34,0.835,7.569
333,cv_no333,"[194, 385, 354]",34,0.069,0.847
334,cv_no334,"[355, 385, 193]",34,0.04,0.4589999999999999
335,cv_no335,"[307, 337, 237]",34,0.749,8.049
336,cv_no336,"[259, 323, 260]",34,0.534,4.127
337,cv_no337,"[264, 370, 357]",34,0.103,5.085999999999999
338,cv_no338,"[356, 371, 286]",34,0.28,2.043
339,cv_no339,"[359, 388, 197]",34,0.416,3.2169999999999996
340,cv_no340,"[279, 379, 47]",34,0.052,0.6970000000000001
341,cv_no341,"[198, 388, 360]",34,0.572,4.33
342,cv_no342,"[362, 381, 177]",34,0.321,4.039
343,cv_no343,"[364, 382, 183]",34,0.349,3.287000000000001
344,cv_no344,"[175, 376, 361]",34,0.301,4.587000000000001
345,cv_no345,"[49, 304, 270]",34,0.019,0.20999999999999996
346,cv_no346,"[299, 330, 243]",34,0.549,4.395
347,cv_no347,"[267, 354, 269]",34,0.148,1.3619999999999999
