,0,1,2,3,4,5,6,7,8,9
75,0.01,0.087,0.445,0.8,1.077,1.024,0.919,0.841,0.779,0.727
76,0.006,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002
77,0.006,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002
78,0.006,0.059,0.308,0.42,0.442,0.416,0.386,0.359,0.336,0.316
79,1.134,1.142,0.9,0.778,0.723,0.674,0.631,0.592,0.558,0.527
80,0.008,0.081,0.639,1.359,1.0,0.969,0.922,0.868,0.816,0.77
81,0.121,0.011,0.005,0.009,0.01,0.01,0.009,0.009,0.008,0.007
82,0.063,1.899,1.531,1.323,1.236,1.156,1.088,1.026,0.97,0.92
83,0.079,0.046,0.043,0.035,0.032,0.03,0.029,0.027,0.026,0.025
84,0.0,0.003,0.045,0.455,0.428,0.373,0.338,0.312,0.29,0.272
85,0.009,0.092,0.54,0.622,0.685,0.686,0.645,0.602,0.563,0.529
86,0.008,0.084,0.491,0.679,0.678,0.654,0.612,0.571,0.535,0.503
87,0.04,0.319,0.39,0.345,0.329,0.317,0.302,0.286,0.271,0.257
88,0.099,0.743,0.581,0.509,0.481,0.463,0.442,0.42,0.399,0.379
89,3.123,0.768,0.679,0.545,0.467,0.418,0.383,0.357,0.336,0.318
90,0.053,0.009,0.01,0.007,0.007,0.006,0.006,0.006,0.006,0.005
91,0.703,0.12,0.047,0.015,0.016,0.016,0.02,0.022,0.023,0.024
92,0.277,0.235,0.223,0.183,0.17,0.159,0.151,0.143,0.136,0.129
93,1.111,0.08,0.032,0.058,0.066,0.066,0.063,0.059,0.054,0.05
94,0.462,2.252,0.4,0.388,0.358,0.335,0.317,0.301,0.287,0.274
95,0.01,0.101,0.562,0.725,0.671,0.645,0.609,0.571,0.537,0.506
96,0.815,1.483,0.34,0.456,0.495,0.493,0.473,0.448,0.423,0.4
97,2.449,0.879,0.525,0.489,0.45,0.416,0.383,0.354,0.329,0.307
98,1.152,0.319,0.054,0.116,0.138,0.141,0.136,0.129,0.122,0.114
99,0.189,0.976,0.349,0.313,0.288,0.274,0.262,0.25,0.239,0.228
100,0.008,0.087,0.541,0.704,0.654,0.645,0.614,0.577,0.542,0.511
101,0.121,0.038,0.037,0.03,0.028,0.026,0.025,0.023,0.022,0.021
102,1.438,0.41,0.002,0.07,0.096,0.103,0.1,0.095,0.089,0.083
103,0.0,0.003,0.03,0.117,0.308,0.368,0.314,0.287,0.265,0.248
104,0.008,0.085,0.549,0.828,0.713,0.688,0.654,0.615,0.578,0.545
105,0.009,0.092,0.626,1.086,0.857,0.83,0.789,0.743,0.699,0.659
106,0.138,0.008,0.004,0.007,0.007,0.007,0.006,0.005,0.005,0.004
107,0.017,0.179,1.09,1.188,1.082,1.046,0.993,0.936,0.881,0.832
108,0.067,0.707,0.615,0.521,0.485,0.453,0.427,0.403,0.381,0.362
109,0.003,0.029,0.173,0.416,0.584,0.486,0.429,0.391,0.362,0.338
110,0.014,0.132,1.577,1.646,1.559,1.506,1.427,1.344,1.265,1.193
111,2.081,1.315,0.828,0.618,0.514,0.453,0.411,0.381,0.356,0.336
112,0.005,0.055,0.239,0.274,0.268,0.257,0.241,0.226,0.213,0.2
113,0.233,0.566,0.465,0.398,0.37,0.345,0.324,0.305,0.288,0.272
114,0.009,0.099,0.599,0.826,0.745,0.719,0.68,0.638,0.599,0.565
115,0.018,0.048,0.039,0.033,0.031,0.029,0.027,0.025,0.024,0.023
116,0.612,0.145,0.193,0.15,0.14,0.132,0.126,0.121,0.116,0.111
117,2.413,0.028,0.065,0.091,0.097,0.095,0.088,0.08,0.073,0.067
118,1.062,2.068,0.029,0.066,0.108,0.12,0.118,0.112,0.104,0.097
119,0.004,0.038,0.205,0.321,0.369,0.34,0.311,0.288,0.268,0.252
120,0.17,1.251,1.038,0.89,0.829,0.774,0.728,0.686,0.648,0.614
121,0.011,0.121,0.755,1.024,0.886,0.856,0.811,0.763,0.718,0.677
122,0.107,0.946,0.782,0.669,0.63,0.605,0.579,0.551,0.523,0.497
123,0.707,0.034,0.086,0.058,0.054,0.051,0.051,0.05,0.049,0.047
124,0.009,0.098,0.641,1.0,0.829,0.8,0.759,0.715,0.672,0.634
125,0.563,0.069,0.025,0.043,0.049,0.05,0.047,0.044,0.041,0.039
126,1.066,0.183,0.777,0.948,0.988,0.968,0.924,0.875,0.827,0.783
127,0.002,0.007,0.035,0.146,0.473,0.39,0.343,0.315,0.292,0.272
128,0.213,0.053,0.024,0.037,0.042,0.042,0.04,0.038,0.036,0.034
129,0.943,0.864,0.454,0.431,0.396,0.367,0.338,0.312,0.291,0.272
130,0.0,0.004,0.089,0.702,0.337,0.384,0.356,0.331,0.31,0.291
131,1.361,0.972,0.012,0.096,0.138,0.15,0.148,0.142,0.134,0.126
132,0.019,0.211,1.471,1.406,1.322,1.281,1.218,1.149,1.083,1.023
133,0.023,0.256,2.989,2.029,2.037,1.996,1.909,1.808,1.709,1.617
134,4.918,0.147,0.24,0.21,0.19,0.177,0.169,0.164,0.159,0.155
135,0.008,0.088,0.541,0.733,0.685,0.669,0.634,0.594,0.558,0.526
136,0.951,0.173,0.02,0.041,0.036,0.032,0.026,0.021,0.017,0.014
137,0.577,0.142,0.205,0.159,0.149,0.14,0.135,0.129,0.124,0.119
138,0.497,0.021,0.042,0.026,0.023,0.022,0.022,0.022,0.022,0.021
139,0.0,0.004,0.026,0.074,0.113,0.069,0.059,0.054,0.049,0.046
140,0.347,0.015,0.027,0.016,0.014,0.013,0.013,0.013,0.013,0.013
141,0.007,0.073,0.341,0.403,0.392,0.375,0.352,0.33,0.31,0.292
142,0.444,0.124,0.069,0.114,0.129,0.13,0.125,0.119,0.112,0.106
143,1.112,1.209,0.151,0.269,0.312,0.317,0.306,0.291,0.275,0.259
144,0.056,0.493,0.823,0.713,0.682,0.659,0.628,0.595,0.563,0.533
145,1.32,2.268,0.515,0.373,0.302,0.263,0.239,0.223,0.21,0.2
146,0.002,0.023,0.136,0.322,0.456,0.359,0.316,0.288,0.267,0.249
147,1.445,0.17,0.11,0.118,0.114,0.107,0.098,0.09,0.082,0.076
148,0.514,0.042,0.065,0.045,0.042,0.039,0.038,0.037,0.036,0.035
149,0.001,0.022,0.423,0.825,0.38,0.396,0.376,0.355,0.335,0.317
150,0.0,0.008,0.165,0.873,0.323,0.385,0.368,0.346,0.326,0.307
151,1.426,0.705,0.431,0.344,0.289,0.257,0.235,0.219,0.206,0.195
152,1.154,2.138,0.166,0.062,0.014,0.005,0.01,0.011,0.009,0.007
153,0.001,0.004,0.029,0.226,0.788,0.425,0.413,0.385,0.359,0.336
154,0.242,0.483,0.447,0.373,0.348,0.325,0.308,0.291,0.276,0.262
155,1.745,0.313,0.181,0.183,0.171,0.159,0.146,0.134,0.123,0.114
156,0.127,2.222,0.312,0.345,0.33,0.317,0.304,0.292,0.28,0.269
157,0.015,0.432,1.253,0.384,0.369,0.352,0.334,0.317,0.302,0.287
158,0.003,0.004,0.001,0.039,0.38,0.006,0.005,0.004,0.003,0.003
159,0.314,2.205,0.327,0.333,0.314,0.298,0.284,0.272,0.26,0.25
160,0.083,1.537,0.354,0.33,0.303,0.286,0.271,0.258,0.246,0.235
161,1.476,1.97,0.898,0.675,0.565,0.5,0.456,0.422,0.396,0.373
162,0.002,0.002,0.018,0.562,0.885,0.768,0.645,0.579,0.532,0.494
163,0.006,0.058,0.328,0.535,0.634,0.588,0.536,0.495,0.46,0.431
164,0.0,0.003,0.037,0.401,0.619,0.445,0.405,0.374,0.347,0.325
165,0.005,0.142,0.82,0.206,0.217,0.214,0.206,0.197,0.188,0.179
166,0.547,0.011,0.012,0.001,0.002,0.002,0.0,0.001,0.002,0.002
167,3.821,0.363,0.216,0.214,0.204,0.19,0.174,0.159,0.145,0.133
168,0.276,0.986,0.813,0.697,0.648,0.605,0.569,0.535,0.506,0.479
169,2.891,0.884,0.792,0.628,0.536,0.478,0.437,0.406,0.381,0.36
170,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.025,0.291,2.442,1.813,1.79,1.748,1.669,1.579,1.492,1.411
172,0.005,0.067,0.487,0.873,0.693,0.651,0.62,0.585,0.551,0.52
173,3.456,0.704,0.692,0.574,0.499,0.45,0.414,0.387,0.364,0.345
174,0.516,0.224,0.008,0.036,0.032,0.029,0.022,0.018,0.014,0.012
175,5.9,0.028,0.115,0.111,0.106,0.105,0.106,0.107,0.108,0.108
176,0.391,2.115,1.69,1.46,1.36,1.27,1.194,1.124,1.061,1.005
177,0.001,0.006,0.058,0.556,0.5,0.459,0.411,0.378,0.352,0.33
178,0.67,0.033,0.004,0.017,0.017,0.016,0.014,0.011,0.01,0.008
179,0.035,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002
180,0.001,0.004,0.029,0.177,0.575,0.378,0.35,0.323,0.3,0.281
181,0.0,0.001,0.022,0.006,0.034,0.017,0.017,0.016,0.015,0.014
182,0.004,0.019,0.013,0.015,0.009,0.007,0.006,0.005,0.005,0.004
183,4.556,0.371,0.446,0.395,0.356,0.329,0.309,0.293,0.279,0.268
184,0.825,3.113,0.0,0.04,0.063,0.067,0.063,0.056,0.05,0.043
185,1.933,1.598,0.975,0.893,0.821,0.759,0.702,0.652,0.608,0.571
186,0.884,2.142,0.137,0.217,0.251,0.254,0.245,0.231,0.217,0.203
187,0.0,0.001,0.003,0.122,0.043,0.06,0.055,0.051,0.047,0.044
188,0.453,0.278,0.296,0.24,0.224,0.21,0.2,0.19,0.181,0.172
189,0.008,0.086,0.779,1.491,1.184,1.135,1.074,1.009,0.949,0.894
190,1.0,0.183,0.681,0.858,0.902,0.887,0.848,0.803,0.76,0.719
191,1.001,0.055,0.885,1.092,1.14,1.118,1.067,1.011,0.957,0.906
192,0.655,2.402,1.901,1.646,1.532,1.429,1.342,1.262,1.191,1.127
193,0.0,0.003,0.02,0.06,0.08,0.014,0.012,0.01,0.009,0.009
194,0.215,0.139,0.03,0.004,0.007,0.011,0.011,0.011,0.01,0.009
195,0.0,0.003,0.026,0.253,0.592,0.361,0.34,0.315,0.294,0.275
196,1.162,2.486,0.312,0.207,0.155,0.129,0.116,0.109,0.104,0.1
197,0.0,0.006,0.038,0.234,0.543,0.332,0.274,0.246,0.226,0.21
198,0.173,1.088,0.406,0.368,0.341,0.326,0.312,0.299,0.285,0.273
199,0.864,0.048,0.045,0.019,0.019,0.019,0.021,0.022,0.023,0.024
200,0.005,0.134,1.081,0.277,0.287,0.288,0.278,0.266,0.254,0.242
201,0.007,0.069,0.388,0.571,0.63,0.597,0.55,0.51,0.476,0.447
202,0.055,0.311,0.135,0.12,0.111,0.106,0.102,0.097,0.092,0.088
203,2.286,0.114,0.094,0.093,0.101,0.099,0.094,0.087,0.081,0.075
204,0.009,0.074,0.063,0.014,0.018,0.018,0.018,0.017,0.017,0.016
205,0.004,0.045,0.255,0.463,0.577,0.521,0.47,0.432,0.401,0.376
206,0.008,0.077,0.259,0.246,0.234,0.226,0.215,0.203,0.191,0.181
207,2.03,0.819,0.251,0.144,0.095,0.072,0.061,0.056,0.053,0.051
208,0.0,0.018,0.005,0.029,0.007,0.009,0.008,0.007,0.007,0.007
209,0.319,0.007,0.002,0.005,0.006,0.006,0.005,0.004,0.003,0.002
210,0.021,0.557,0.835,0.34,0.312,0.292,0.275,0.261,0.247,0.235
211,0.007,0.071,0.518,1.237,0.836,0.821,0.786,0.742,0.699,0.66
212,0.046,0.551,0.467,0.397,0.37,0.345,0.325,0.306,0.289,0.274
213,0.001,0.03,0.533,0.539,0.314,0.319,0.303,0.286,0.27,0.256
214,1.558,0.769,0.422,0.4,0.367,0.339,0.311,0.287,0.267,0.249
215,0.006,0.059,0.461,1.549,0.955,0.946,0.906,0.856,0.806,0.761
216,0.596,0.129,0.132,0.196,0.217,0.217,0.208,0.198,0.187,0.176
217,1.04,0.618,0.257,0.373,0.41,0.409,0.393,0.373,0.353,0.333
218,0.025,0.173,0.066,0.059,0.055,0.052,0.05,0.048,0.046,0.044
219,0.35,0.394,0.307,0.264,0.245,0.228,0.213,0.2,0.188,0.178
220,0.959,0.695,0.488,0.643,0.686,0.679,0.65,0.617,0.583,0.552
221,1.828,1.516,0.918,0.842,0.774,0.716,0.662,0.614,0.573,0.538
222,0.075,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003,0.003
223,0.001,0.007,0.041,0.123,0.19,0.086,0.073,0.065,0.06,0.056
224,0.003,0.031,0.187,0.534,0.758,0.657,0.577,0.525,0.485,0.452
225,0.059,0.901,0.795,0.674,0.629,0.588,0.555,0.524,0.496,0.47
226,0.012,0.158,2.209,1.775,1.745,1.703,1.624,1.535,1.448,1.368
227,0.001,0.031,0.263,1.67,0.731,0.803,0.795,0.76,0.72,0.682
228,1.557,1.752,0.527,0.368,0.291,0.25,0.225,0.208,0.195,0.185
229,0.118,0.011,0.014,0.009,0.009,0.008,0.008,0.008,0.007,0.007
230,0.0,0.001,0.007,0.018,0.063,0.058,0.05,0.046,0.042,0.039
231,2.549,1.026,0.794,0.611,0.514,0.456,0.416,0.385,0.361,0.341
232,0.792,0.132,0.213,0.301,0.328,0.327,0.313,0.297,0.281,0.265
233,0.018,0.188,1.051,1.115,1.024,0.99,0.94,0.886,0.835,0.788
234,0.006,0.081,0.53,0.763,0.666,0.642,0.612,0.576,0.542,0.511
235,0.006,0.064,0.348,0.495,0.529,0.499,0.462,0.429,0.401,0.377
236,0.916,1.508,0.262,0.374,0.414,0.414,0.398,0.377,0.356,0.336
237,0.001,0.016,0.097,0.274,0.422,0.299,0.26,0.236,0.218,0.203
238,4.008,0.028,0.045,0.019,0.007,0.005,0.007,0.01,0.013,0.016
239,0.346,0.018,0.03,0.019,0.017,0.016,0.016,0.015,0.015,0.015
240,1.544,1.3,0.227,0.104,0.049,0.026,0.016,0.013,0.012,0.012
241,0.606,5.07,0.245,0.266,0.259,0.253,0.248,0.243,0.238,0.233
242,0.009,0.089,0.549,0.701,0.652,0.638,0.608,0.572,0.538,0.507
243,1.034,3.217,0.665,0.544,0.475,0.431,0.4,0.376,0.356,0.339
244,0.001,0.014,0.088,0.338,0.568,0.42,0.359,0.325,0.299,0.279
245,1.43,0.335,0.165,0.168,0.155,0.144,0.13,0.119,0.109,0.101
246,0.082,1.715,0.388,0.37,0.342,0.322,0.305,0.291,0.277,0.265
247,0.023,0.628,0.972,0.394,0.36,0.336,0.316,0.299,0.284,0.27
248,0.009,0.082,0.535,0.776,0.687,0.649,0.617,0.581,0.546,0.515
249,0.001,0.032,0.578,0.623,0.36,0.361,0.342,0.323,0.305,0.289
250,0.007,0.147,1.377,0.316,0.341,0.345,0.335,0.321,0.307,0.293
251,0.013,0.138,1.311,1.509,1.375,1.326,1.257,1.183,1.113,1.05
252,0.272,0.984,0.812,0.696,0.648,0.604,0.568,0.535,0.505,0.478
253,0.193,0.006,0.012,0.006,0.005,0.005,0.005,0.005,0.005,0.005
254,2.184,0.01,0.063,0.09,0.096,0.094,0.087,0.08,0.073,0.067
255,1.258,2.524,0.69,0.53,0.447,0.398,0.365,0.34,0.321,0.304
256,0.0,0.001,0.009,0.024,0.003,0.12,0.106,0.097,0.09,0.084
257,0.008,0.089,0.546,0.657,0.649,0.651,0.619,0.58,0.544,0.512
258,1.671,1.708,0.819,0.606,0.503,0.442,0.402,0.372,0.348,0.329
259,0.033,0.352,1.499,1.294,1.242,1.205,1.147,1.084,1.023,0.968
260,0.864,0.966,0.474,0.626,0.671,0.664,0.637,0.605,0.572,0.541
261,0.2,0.442,0.463,0.381,0.356,0.332,0.315,0.298,0.283,0.269
262,2.024,0.129,0.113,0.128,0.128,0.122,0.112,0.103,0.095,0.087
263,0.008,0.078,0.44,0.651,0.767,0.735,0.674,0.623,0.581,0.544
264,0.016,0.198,2.039,1.683,1.637,1.595,1.52,1.436,1.355,1.28
265,1.911,1.448,0.911,0.677,0.564,0.497,0.452,0.418,0.391,0.368
266,0.309,3.349,2.62,2.272,2.118,1.979,1.859,1.75,1.652,1.565
267,0.96,0.097,0.01,0.013,0.011,0.009,0.005,0.002,0.001,0.003
268,2.291,1.187,0.885,0.67,0.561,0.497,0.452,0.418,0.391,0.369
269,0.697,0.033,0.002,0.012,0.012,0.011,0.009,0.007,0.005,0.004
270,2.332,0.944,0.501,0.362,0.292,0.253,0.229,0.212,0.199,0.189
271,0.977,0.209,1.105,1.352,1.406,1.376,1.314,1.245,1.178,1.115
272,1.002,1.282,0.244,0.365,0.406,0.408,0.392,0.372,0.351,0.332
273,0.16,1.182,0.45,0.41,0.382,0.366,0.351,0.336,0.321,0.307
274,1.317,1.788,0.191,0.08,0.029,0.008,0.001,0.001,0.0,0.001
275,0.0,0.001,0.003,0.004,0.004,0.007,0.004,0.003,0.003,0.003
276,0.001,0.015,0.08,0.13,0.153,0.139,0.127,0.117,0.109,0.102
277,0.006,0.07,0.618,1.517,1.121,1.074,1.017,0.956,0.899,0.847
278,2.34,0.947,0.511,0.371,0.3,0.26,0.236,0.218,0.205,0.194
279,0.131,1.121,0.564,0.504,0.47,0.451,0.433,0.413,0.394,0.376
280,1.825,0.78,0.171,0.07,0.026,0.007,0.001,0.001,0.001,0.0
281,3.898,0.518,0.53,0.447,0.392,0.356,0.331,0.311,0.295,0.281
282,0.007,0.079,0.594,1.271,0.919,0.893,0.851,0.802,0.755,0.712
283,1.249,0.086,0.032,0.061,0.069,0.07,0.066,0.061,0.057,0.053
284,0.015,0.156,1.491,1.546,1.442,1.394,1.323,1.246,1.174,1.108
285,0.01,0.104,0.496,0.574,0.545,0.524,0.494,0.464,0.436,0.411
286,0.194,0.027,0.031,0.023,0.021,0.02,0.019,0.018,0.018,0.017
