,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.148,9.037999999999997
1,cv_no1,"[116, 384, 292]",34,0.0,0.064
2,cv_no2,"[290, 328, 147]",34,0.274,14.498000000000001
3,cv_no3,"[160, 317, 161]",34,0.238,13.369000000000002
4,cv_no4,"[305, 326, 222]",34,0.007,1.820999999999999
5,cv_no5,"[127, 368, 17]",34,0.313,15.029999999999998
6,cv_no6,"[24, 349, 184]",34,0.158,7.808999999999999
7,cv_no7,"[178, 353, 179]",34,0.148,7.927999999999998
8,cv_no8,"[272, 386, 335]",34,0.017,0.9680000000000004
9,cv_no9,"[297, 390, 224]",34,0.113,5.943000000000001
10,cv_no10,"[16, 320, 120]",34,0.305,14.604
11,cv_no11,"[168, 350, 169]",34,0.002,2.804999999999998
12,cv_no12,"[129, 319, 130]",34,0.43,20.679000000000006
13,cv_no13,"[188, 351, 189]",34,0.16,7.592
14,cv_no14,"[283, 306, 46]",34,0.035,1.9229999999999996
15,cv_no15,"[194, 354, 195]",34,0.068,3.434000000000001
16,cv_no16,"[293, 325, 236]",34,0.262,12.628
17,cv_no17,"[192, 355, 193]",34,0.09,3.7929999999999993
18,cv_no18,"[44, 394, 284]",34,0.007,0.40900000000000025
19,cv_no19,"[218, 404, 252]",34,0.016,3.6499999999999995
20,cv_no20,"[303, 362, 176]",34,0.134,7.464999999999998
21,cv_no21,"[247, 300, 251]",34,0.126,9.408999999999994
22,cv_no22,"[304, 364, 182]",34,0.133,6.755
23,cv_no23,"[181, 365, 304]",34,0.133,6.851999999999999
24,cv_no24,"[243, 298, 234]",34,0.256,12.316000000000003
25,cv_no25,"[319, 347, 246]",34,0.383,18.441999999999997
26,cv_no26,"[31, 372, 1]",34,0.065,3.124
27,cv_no27,"[23, 361, 303]",34,0.134,7.547000000000001
28,cv_no28,"[241, 262, 227]",34,0.487,23.759999999999994
29,cv_no29,"[146, 333, 290]",34,0.396,19.68700000000001
30,cv_no30,"[249, 384, 366]",34,0.003,0.2900000000000001
31,cv_no31,"[320, 323, 234]",34,0.266,12.78
32,cv_no32,"[167, 308, 22]",34,1.276,70.04699999999998
33,cv_no33,"[37, 313, 36]",34,0.005,0.6650000000000003
34,cv_no34,"[378, 379, 170]",34,0.143,9.124999999999998
35,cv_no35,"[244, 348, 324]",34,0.288,13.919
36,cv_no36,"[235, 363, 318]",34,0.0,0.37600000000000006
37,cv_no37,"[228, 250, 247]",34,0.035,4.416999999999998
38,cv_no38,"[131, 332, 132]",34,0.526,25.372000000000007
39,cv_no39,"[242, 332, 291]",34,0.437,21.139000000000003
40,cv_no40,"[225, 340, 236]",34,0.269,12.977
41,cv_no41,"[244, 395, 257]",34,0.332,15.997
42,cv_no42,"[117, 399, 116]",34,0.0,0.008
43,cv_no43,"[149, 329, 150]",34,0.112,8.620000000000003
44,cv_no44,"[126, 348, 127]",34,0.272,13.117999999999999
45,cv_no45,"[163, 321, 296]",34,0.105,5.420000000000001
46,cv_no46,"[252, 357, 329]",34,0.038,5.440000000000002
47,cv_no47,"[123, 325, 124]",34,0.249,12.022
48,cv_no48,"[245, 250, 228]",34,0.035,4.39
49,cv_no49,"[145, 333, 146]",34,0.406,20.188000000000002
50,cv_no50,"[238, 239, 28]",34,0.114,5.56
51,cv_no51,"[229, 341, 217]",34,0.081,4.774000000000001
52,cv_no52,"[164, 337, 165]",34,0.306,15.712
53,cv_no53,"[150, 357, 151]",34,0.019,6.079000000000001
54,cv_no54,"[292, 384, 249]",34,0.001,0.12400000000000004
55,cv_no55,"[190, 356, 191]",34,0.146,6.865
56,cv_no56,"[291, 332, 131]",34,0.506,24.438
57,cv_no57,"[159, 334, 21]",34,0.111,12.859000000000005
58,cv_no58,"[275, 386, 221]",34,0.044,2.5249999999999995
59,cv_no59,"[234, 373, 225]",34,0.228,10.962000000000002
60,cv_no60,"[20, 370, 152]",34,0.132,10.271999999999997
61,cv_no61,"[250, 309, 247]",34,0.12,9.224999999999998
62,cv_no62,"[162, 321, 163]",34,0.063,3.1440000000000006
