,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.128,10.261999999999999
1,cv_no1,"[116, 384, 292]",34,0.0,0.064
2,cv_no2,"[290, 328, 147]",34,0.231,16.735000000000007
3,cv_no3,"[160, 317, 161]",34,0.203,15.326
4,cv_no4,"[305, 326, 222]",34,0.005,1.8769999999999987
5,cv_no5,"[127, 368, 17]",34,0.265,17.595
6,cv_no6,"[24, 349, 184]",34,0.134,9.102
7,cv_no7,"[178, 353, 179]",34,0.126,9.141999999999998
8,cv_no8,"[272, 386, 335]",34,0.015,1.11
9,cv_no9,"[297, 390, 224]",34,0.096,6.871
10,cv_no10,"[16, 320, 120]",34,0.258,17.091000000000005
11,cv_no11,"[168, 350, 169]",34,0.004,2.8369999999999984
12,cv_no12,"[129, 319, 130]",34,0.364,24.195000000000007
13,cv_no13,"[188, 351, 189]",34,0.135,8.894
14,cv_no14,"[283, 306, 46]",34,0.03,2.2139999999999995
15,cv_no15,"[194, 354, 195]",34,0.058,3.9830000000000005
16,cv_no16,"[293, 325, 236]",34,0.222,14.766999999999998
17,cv_no17,"[192, 355, 193]",34,0.075,4.53
18,cv_no18,"[44, 394, 284]",34,0.006,0.4670000000000003
19,cv_no19,"[218, 404, 252]",34,0.016,3.7939999999999996
20,cv_no20,"[303, 362, 176]",34,0.114,8.565999999999997
21,cv_no21,"[247, 300, 251]",34,0.109,10.452999999999996
22,cv_no22,"[304, 364, 182]",34,0.113,7.847000000000001
23,cv_no23,"[181, 365, 304]",34,0.113,7.944000000000001
24,cv_no24,"[243, 298, 234]",34,0.217,14.413000000000002
25,cv_no25,"[319, 347, 246]",34,0.324,21.574999999999992
26,cv_no26,"[31, 372, 1]",34,0.055,3.6540000000000004
27,cv_no27,"[23, 361, 303]",34,0.114,8.647
28,cv_no28,"[241, 262, 227]",34,0.413,27.74299999999999
29,cv_no29,"[146, 333, 290]",34,0.334,22.921000000000006
30,cv_no30,"[249, 384, 366]",34,0.003,0.3170000000000001
31,cv_no31,"[320, 323, 234]",34,0.225,14.955
32,cv_no32,"[167, 308, 22]",34,1.083,80.50099999999999
33,cv_no33,"[37, 313, 36]",34,0.004,0.7040000000000003
34,cv_no34,"[378, 379, 170]",34,0.122,10.299999999999999
35,cv_no35,"[244, 348, 324]",34,0.244,16.275000000000002
36,cv_no36,"[235, 363, 318]",34,0.001,0.38400000000000006
37,cv_no37,"[228, 250, 247]",34,0.032,4.716999999999999
38,cv_no38,"[131, 332, 132]",34,0.445,29.673000000000005
39,cv_no39,"[242, 332, 291]",34,0.37,24.719
40,cv_no40,"[225, 340, 236]",34,0.228,15.174999999999999
41,cv_no41,"[244, 395, 257]",34,0.281,18.71
