,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[173, 352, 174]",34,0.131,10.004999999999999
1,cv_no1,"[116, 384, 292]",34,0.0,0.064
2,cv_no2,"[290, 328, 147]",34,0.239,16.269000000000005
3,cv_no3,"[160, 317, 161]",34,0.21,14.917000000000002
4,cv_no4,"[305, 326, 222]",34,0.006,1.8659999999999988
5,cv_no5,"[127, 368, 17]",34,0.274,17.06
6,cv_no6,"[24, 349, 184]",34,0.138,8.832
7,cv_no7,"[178, 353, 179]",34,0.13,8.887999999999998
8,cv_no8,"[272, 386, 335]",34,0.015,1.0800000000000003
9,cv_no9,"[297, 390, 224]",34,0.099,6.6770000000000005
10,cv_no10,"[16, 320, 120]",34,0.266,16.571000000000005
11,cv_no11,"[168, 350, 169]",34,0.004,2.8289999999999984
12,cv_no12,"[129, 319, 130]",34,0.376,23.461000000000006
13,cv_no13,"[188, 351, 189]",34,0.14,8.621
14,cv_no14,"[283, 306, 46]",34,0.031,2.1529999999999996
15,cv_no15,"[194, 354, 195]",34,0.059,3.867000000000001
16,cv_no16,"[293, 325, 236]",34,0.229,14.319999999999999
17,cv_no17,"[192, 355, 193]",34,0.078,4.3790000000000004
18,cv_no18,"[44, 394, 284]",34,0.006,0.4550000000000003
19,cv_no19,"[218, 404, 252]",34,0.016,3.7619999999999996
20,cv_no20,"[303, 362, 176]",34,0.118,8.335999999999997
21,cv_no21,"[247, 300, 251]",34,0.112,10.232999999999995
22,cv_no22,"[304, 364, 182]",34,0.117,7.619000000000001
23,cv_no23,"[181, 365, 304]",34,0.117,7.716
24,cv_no24,"[243, 298, 234]",34,0.224,13.975000000000001
25,cv_no25,"[319, 347, 246]",34,0.335,20.920999999999992
26,cv_no26,"[31, 372, 1]",34,0.057,3.543
27,cv_no27,"[23, 361, 303]",34,0.118,8.417
28,cv_no28,"[241, 262, 227]",34,0.427,26.91099999999999
29,cv_no29,"[146, 333, 290]",34,0.346,22.247000000000007
30,cv_no30,"[249, 384, 366]",34,0.003,0.3110000000000001
31,cv_no31,"[320, 323, 234]",34,0.233,14.501000000000001
32,cv_no32,"[167, 308, 22]",34,1.12,78.317
33,cv_no33,"[37, 313, 36]",34,0.004,0.6960000000000003
34,cv_no34,"[378, 379, 170]",34,0.126,10.053999999999998
35,cv_no35,"[244, 348, 324]",34,0.252,15.783000000000001
36,cv_no36,"[235, 363, 318]",34,0.001,0.38200000000000006
37,cv_no37,"[228, 250, 247]",34,0.033,4.652999999999999
38,cv_no38,"[131, 332, 132]",34,0.46,28.775000000000006
