,pt_no,coordinate
76,pt_no76,"[[-3.790012466186625], [6.618188276047892], [-19.17433595484825]]"
77,pt_no77,"[[-4.621238502751399], [4.523836610062038], [-14.67470740922256]]"
78,pt_no78,"[[1.148256065781173], [4.005578899531264], [-14.99999999999997]]"
79,pt_no79,"[[-0.3746050899461868], [9.468737116059973], [-16.43341949306339]]"
80,pt_no80,"[[-28.73945730394768], [-23.79487843472323], [-11.34558811012948]]"
81,pt_no81,"[[-26.53810358598886], [-17.90156808795985], [-10.47259029099925]]"
82,pt_no82,"[[-24.34663334969509], [-22.23717142302479], [-9.834261401963712]]"
83,pt_no83,"[[-25.47127045864303], [-23.31031611617901], [-14.75784482590667]]"
84,pt_no84,"[[-15.65127929756469], [4.671809811258897], [38.89629243821828]]"
85,pt_no85,"[[-22.13966057486352], [6.162879635801531], [28.66518671701882]]"
86,pt_no86,"[[-23.18354027632453], [12.89739299137285], [37.59028965274435]]"
87,pt_no87,"[[-14.99251685595253], [8.681109608863608], [31.21080481554864]]"
88,pt_no88,"[[-15.88958422719055], [-33.62968411909285], [24.94447723928933]]"
89,pt_no89,"[[-8.077893598854281], [-34.14279263174731], [24.2493995853448]]"
90,pt_no90,"[[-13.20609649157914], [-33.38697741353052], [16.59999999999999]]"
91,pt_no91,"[[-11.96824698998828], [-28.26116643346496], [21.90660500335687]]"
92,pt_no92,"[[-19.18545051172434], [-21.97451662594012], [1.872525436907602]]"
93,pt_no93,"[[-23.434632256262], [-19.02629791794022], [5.800000000000001]]"
94,pt_no94,"[[-20.60723603272015], [-16.54548324907766], [0.7069167752069481]]"
95,pt_no95,"[[-23.4718019862003], [-20.8030854299165], [-0.005681312407427974]]"
96,pt_no96,"[[-28.52550155565282], [14.93016211994759], [-11.10404357958015]]"
97,pt_no97,"[[-27.105548041659], [11.26371771789132], [-12.91741180343457]]"
98,pt_no98,"[[-23.52568937658401], [15.53103258508693], [-9.83844003734903]]"
99,pt_no99,"[[-26.27050544591283], [10.97184660218168], [-9.05237711198919]]"
100,pt_no100,"[[11.68918938753561], [15.2560527488116], [8.944564850016254]]"
101,pt_no101,"[[11.68918938753561], [20.11278188055165], [11.41441691445059]]"
102,pt_no102,"[[11.68918938753561], [19.28118457013721], [7.803402957352192]]"
103,pt_no103,"[[5.062574514651056], [18.99751446601206], [9.177507061903604]]"
104,pt_no104,"[[-26.29830257769562], [-29.51259508293933], [-45.79999999999996]]"
105,pt_no105,"[[-30.96954496729748], [-27.11948277274843], [-45.79999999999996]]"
106,pt_no106,"[[-30.8657571199066], [-32.54998143854948], [-45.79999999999996]]"
107,pt_no107,"[[-31.60815545151972], [-29.84792904584213], [-39.30044120441475]]"
108,pt_no108,"[[-39.65057164389189], [18.0067532803989], [-45.79999999999995]]"
109,pt_no109,"[[-39.65064371375736], [23.0067374189257], [-45.79999999999995]]"
110,pt_no110,"[[-43.9806835935422], [20.50675659691478], [-45.79999999999995]]"
111,pt_no111,"[[-41.93139230428851], [19.05624558531762], [-39.80720369875006]]"
112,pt_no112,"[[-37.43017929924944], [-19.51664874414996], [-24.99999999999994]]"
113,pt_no113,"[[-34.36092328551479], [-19.45657144710908], [-18.71929153014761]]"
114,pt_no114,"[[-38.8241675089764], [-18.04381663469644], [-20.63236966270658]]"
115,pt_no115,"[[12.67834745811328], [48.00675659691488], [-81.46488120724177]]"
116,pt_no116,"[[4.512125570208561], [48.00675659691488], [-102.1217850058166]]"
117,pt_no117,"[[28.6716881815404], [48.00675659691488], [-100.7083200638772]]"
118,pt_no118,"[[17.51836521665525], [11.13402102587791], [-83.17924861471927]]"
119,pt_no119,"[[-25.81079426458907], [48.00675659691488], [-41.47583213836082]]"
120,pt_no120,"[[-23.19504807455657], [48.00675659691488], [-37.50184196187048]]"
121,pt_no121,"[[-28.31071252521249], [48.00675659691488], [-37.1755009058539]]"
122,pt_no122,"[[-28.30910828193658], [42.54883793112679], [-40.05137461506745]]"
123,pt_no123,"[[-0.03054604228149316], [-12.42828006770014], [16.59999999999999]]"
124,pt_no124,"[[1.384548515108804], [-16.73899492806943], [16.59999999999999]]"
125,pt_no125,"[[4.330545364166831], [-13.3866435805768], [16.59999999999999]]"
126,pt_no126,"[[-0.5386143503070691], [-14.98269219214493], [22.94328191262152]]"
127,pt_no127,"[[-44.11998032580148], [15.70045002723424], [15.8]]"
128,pt_no128,"[[-40.10974181934272], [18.4836037955507], [15.8]]"
129,pt_no129,"[[-39.93578113691801], [13.29720332441202], [15.8]]"
130,pt_no130,"[[-43.93881449460351], [18.19668654444174], [11.40362561773888]]"
131,pt_no131,"[[-32.82651074288832], [40.87599624338574], [-4.200000000000003]]"
132,pt_no132,"[[-32.99290635421985], [37.27507155782202], [-4.200000000000003]]"
133,pt_no133,"[[-28.67214000042285], [39.26455072208282], [-4.200000000000003]]"
134,pt_no134,"[[-30.48112070926641], [37.04837929985877], [1.763942040066874]]"
135,pt_no135,"[[-4.197642972883416], [-10.53839819034581], [-11.57347490780674]]"
136,pt_no136,"[[-1.396609789882353], [-9.017049259748052], [-15.47846586062094]]"
137,pt_no137,"[[2.142837175024403], [-7.618376331584189], [-11.60188194987037]]"
138,pt_no138,"[[-0.1645312618263907], [-13.18170492762564], [-10.0384928172488]]"
139,pt_no139,"[[-10.47197988196354], [-24.12704068504445], [-11.03540626345451]]"
140,pt_no140,"[[11.68918938753561], [-32.51928397417456], [-12.85872054313326]]"
141,pt_no141,"[[11.68918938753561], [-28.74881319985056], [-17.00386751910541]]"
142,pt_no142,"[[11.68918938753561], [-33.03971221916888], [-17.8161965316641]]"
143,pt_no143,"[[5.471760877262589], [-31.93698071037226], [-13.05206210919671]]"
144,pt_no144,"[[-5.579662094150398], [-7.882167716590558], [-4.200000000000006]]"
145,pt_no145,"[[-8.49722474672455], [-11.18253617849376], [-4.200000000000006]]"
146,pt_no146,"[[-4.179436671429205], [-12.02309510920966], [-4.200000000000006]]"
147,pt_no147,"[[-8.479587489199124], [-9.011856408638874], [0.3001912229199779]]"
148,pt_no148,"[[-29.04645356523083], [13.26152188925781], [-32.06885238563422]]"
149,pt_no149,"[[-33.22951573910048], [11.90484320779877], [-34.84615034270393]]"
150,pt_no150,"[[-34.0601512407605], [16.93922248897891], [-35.85463438032389]]"
151,pt_no151,"[[-28.72124097122123], [16.77499769471172], [-35.34324191866887]]"
152,pt_no152,"[[-44.21186141419872], [-41.99324340308511], [28.95787951903285]]"
153,pt_no153,"[[-35.41143910851763], [-41.99324340308512], [31.20493243671569]]"
154,pt_no154,"[[-43.91214551457481], [-32.31288369505648], [26.23902140804858]]"
155,pt_no155,"[[-40.39052004097945], [-30.60748369641121], [37.19293339703445]]"
156,pt_no156,"[[-37.19936794568783], [-11.11383282663687], [-35.83457294523836]]"
157,pt_no157,"[[-30.65648607832351], [-9.421638561704723], [-38.82719172463326]]"
158,pt_no158,"[[-35.15980426030738], [-11.70718775501819], [-40.83813153921464]]"
159,pt_no159,"[[-33.91580683847389], [-7.415649848091606], [-35.69165444221652]]"
160,pt_no160,"[[-13.21036691438069], [6.160769142648132], [-11.35851396939358]]"
161,pt_no161,"[[-13.53792002629024], [11.18395968525744], [-9.639082627730609]]"
162,pt_no162,"[[-14.11314331506568], [9.85131298730077], [-14.08378879707462]]"
163,pt_no163,"[[-17.16082876485057], [9.757452931607341], [-11.86249013614518]]"
164,pt_no164,"[[-43.34894068341774], [-13.91948584170496], [-5.000000000000001]]"
165,pt_no165,"[[-45.3778947443072], [-9.493243403085401], [-5.000000000000001]]"
166,pt_no166,"[[-41.58004248834082], [-8.838786581332116], [-5.000000000000001]]"
167,pt_no167,"[[-39.97073750769266], [-12.90832844911091], [-9.860079310728041]]"
168,pt_no168,"[[3.80676750483083], [18.32953876989416], [-5.000000000000007]]"
169,pt_no169,"[[1.522374193839883], [15.46912550258585], [-10.14890860335735]]"
170,pt_no170,"[[5.637018955178154], [18.06567189900257], [-11.33546171244243]]"
171,pt_no171,"[[6.162463106067266], [13.23778499294683], [-9.509740513168076]]"
172,pt_no172,"[[-19.11043212296097], [37.27527606361889], [5.79999999999999]]"
173,pt_no173,"[[-13.79168076210937], [41.7168969117478], [3.203737459279065]]"
174,pt_no174,"[[-19.34119437657118], [41.67254280450615], [1.524160262838517]]"
175,pt_no175,"[[-18.2169659133768], [42.56316465016333], [6.78461889613033]]"
176,pt_no176,"[[6.68918938753561], [48.00675659691488], [16.59999999999999]]"
177,pt_no177,"[[4.0849977069864], [44.03633685772669], [16.59999999999999]]"
178,pt_no178,"[[8.974488528046116], [43.37577678109864], [16.59999999999999]]"
179,pt_no179,"[[4.189189387535606], [48.00675659691488], [20.94783425626585]]"
180,pt_no180,"[[-0.8108106124643939], [48.00675659691488], [20.96645729353674]]"
181,pt_no181,"[[3.755044707832376], [41.74997385208978], [22.57283264456333]]"
182,pt_no182,"[[-7.479971339049682], [28.31690718405019], [-14.99999999999996]]"
183,pt_no183,"[[-10.14886837630112], [23.11001748094109], [-11.70492636368563]]"
184,pt_no184,"[[-9.404884426965335], [28.04869616749514], [-10.14057263299635]]"
185,pt_no185,"[[-12.45420004730526], [27.23886756329266], [-15.04783067134074]]"
186,pt_no186,"[[-5.444684531628225], [-27.57328716543925], [29.94924697928217]]"
187,pt_no187,"[[-0.3484107802564601], [-34.46360991466474], [23.75504309140633]]"
188,pt_no188,"[[6.937166040594286], [-31.74272875057821], [26.60555180190573]]"
189,pt_no189,"[[1.79274571578855], [-32.55092861700583], [35.75999885761102]]"
190,pt_no190,"[[-40.75205960130118], [25.89061212612882], [9.155938689999733]]"
191,pt_no191,"[[-40.03638636062546], [30.6427141373228], [4.265752813001947]]"
192,pt_no192,"[[-42.99329743971929], [30.5550044996558], [10.4849019834087]]"
193,pt_no193,"[[-38.2513148505542], [29.50169746935274], [11.34859602140522]]"
194,pt_no194,"[[-15.65127929756469], [4.671809811258897], [24.3264120160341]]"
195,pt_no195,"[[-10.04658722557294], [0.3172613975063784], [23.35926695112401]]"
196,pt_no196,"[[-17.23744034197415], [-3.389548078274974], [24.53825406976046]]"
197,pt_no197,"[[-14.36569441964815], [1.12740950984608], [21.08947294439638]]"
198,pt_no198,"[[-39.6510022542202], [28.00665850966296], [-45.79999999999995]]"
199,pt_no199,"[[-43.98075787347557], [25.5067402490395], [-45.79999999999995]]"
200,pt_no200,"[[-43.2492235270461], [24.93812872314275], [-41.41154858513158]]"
201,pt_no201,"[[-5.268935514673659], [-26.7607264632924], [-45.79999999999997]]"
202,pt_no202,"[[-0.5503231442978773], [-24.32294807723878], [-45.79999999999997]]"
203,pt_no203,"[[-5.031439957933149], [-21.9553122963389], [-45.79999999999997]]"
204,pt_no204,"[[-3.408524598545279], [-23.3484405830963], [-39.17958559816118]]"
205,pt_no205,"[[-53.3108106124644], [18.00675659691494], [-46.59999999999995]]"
206,pt_no206,"[[-32.90911469166741], [3.00675659691499], [-46.59999999999995]]"
207,pt_no207,"[[-40.02949585319989], [21.98610597885331], [-74.23463336663609]]"
208,pt_no208,"[[-6.317346841155889], [6.002794776344285], [10.62638153560718]]"
