,no,pt_no,region,temp_I,sekisan_I
89,cv_no89,"[889, 4706, 815, 4930]",12,0.0,0.0
90,cv_no90,"[719, 4700, 4357, 5002]",12,0.0,0.0
91,cv_no91,"[3737, 4125, 1085, 4743]",12,0.0,0.0
92,cv_no92,"[3694, 3981, 4633, 4739]",12,0.0,0.0
93,cv_no93,"[3803, 3738, 4556, 4934]",12,0.0,0.0
94,cv_no94,"[3771, 3965, 919, 5027]",12,0.0,0.0
95,cv_no95,"[4124, 4425, 2652, 5037]",12,0.0,0.0
96,cv_no96,"[3760, 4310, 3951, 4619]",12,0.0,0.0
97,cv_no97,"[3914, 4807, 3644, 4920]",12,0.0,0.0
98,cv_no98,"[3665, 4303, 4091, 4776]",12,0.0,0.0
99,cv_no99,"[1326, 1779, 1454, 4620]",12,0.0,0.0
100,cv_no100,"[684, 685, 686, 4306]",12,0.0,0.0
101,cv_no101,"[3130, 3150, 4092, 4507]",12,0.0,0.0
102,cv_no102,"[1932, 1933, 1897, 4289]",12,0.0,0.0
103,cv_no103,"[3767, 3834, 3607, 4648]",12,0.0,0.0
104,cv_no104,"[359, 1803, 1799, 4285]",12,0.0,0.0
105,cv_no105,"[3573, 3667, 3563, 3769]",12,0.0,0.0
106,cv_no106,"[3818, 4624, 3802, 4736]",12,0.0,0.0
107,cv_no107,"[3637, 4815, 3847, 4836]",12,0.0,0.0
108,cv_no108,"[2409, 2393, 450, 4633]",12,0.0,0.0
109,cv_no109,"[1073, 1058, 1056, 4399]",12,0.0,0.0
110,cv_no110,"[2246, 2274, 2079, 4951]",12,0.0,0.0
111,cv_no111,"[3815, 4759, 4366, 5003]",12,0.0,0.0
112,cv_no112,"[3309, 4041, 3308, 4762]",12,0.0,0.0
113,cv_no113,"[4092, 4351, 2963, 4856]",12,0.0,0.0
114,cv_no114,"[3680, 3987, 4588, 5058]",12,0.0,0.0
115,cv_no115,"[1637, 1955, 4066, 4688]",12,0.0,0.0
116,cv_no116,"[2358, 4180, 2357, 4495]",12,0.0,0.0
117,cv_no117,"[2918, 4193, 3114, 4856]",12,0.0,0.0
118,cv_no118,"[3693, 4258, 4031, 4738]",12,0.0,0.0
119,cv_no119,"[1063, 943, 211, 3985]",12,0.0,0.0
120,cv_no120,"[3921, 3616, 4419, 4920]",12,0.0,0.0
121,cv_no121,"[3636, 3607, 3834, 3977]",12,0.0,0.0
122,cv_no122,"[3943, 4779, 4021, 5063]",12,0.0,0.0
123,cv_no123,"[3753, 4373, 3980, 4858]",12,0.0,0.0
124,cv_no124,"[3567, 3681, 3604, 5044]",12,0.0,0.0
125,cv_no125,"[2124, 4322, 2141, 4899]",12,0.0,0.0
126,cv_no126,"[3640, 4268, 4854, 4973]",12,0.0,0.0
127,cv_no127,"[1261, 4312, 1141, 4990]",12,0.0,0.0
128,cv_no128,"[3948, 4037, 3733, 4956]",12,0.0,0.0
129,cv_no129,"[699, 3673, 761, 4589]",12,0.0,0.0
130,cv_no130,"[3925, 4622, 4762, 5011]",12,0.0,0.0
131,cv_no131,"[3008, 4149, 3104, 4590]",12,0.0,0.0
132,cv_no132,"[1989, 1888, 1857, 4517]",12,0.0,0.0
133,cv_no133,"[3516, 3522, 3462, 4546]",12,0.0,0.0
134,cv_no134,"[2979, 2991, 2891, 4383]",12,0.0,0.0
135,cv_no135,"[3685, 3772, 3584, 4420]",12,0.0,0.0
136,cv_no136,"[3767, 4449, 193, 4720]",12,0.0,0.0
137,cv_no137,"[3964, 4288, 3565, 5054]",12,0.0,0.0
138,cv_no138,"[3317, 4120, 3324, 4893]",12,0.0,0.0
139,cv_no139,"[2597, 485, 2736, 2513]",12,0.0,0.0
140,cv_no140,"[3426, 3425, 3424, 4904]",12,0.0,0.0
141,cv_no141,"[1248, 1170, 1155, 4127]",12,0.0,0.0
142,cv_no142,"[3264, 3231, 4232, 4454]",12,0.0,0.0
143,cv_no143,"[2993, 2995, 2875, 4478]",12,0.0,0.0
144,cv_no144,"[3740, 4687, 4494, 5056]",12,0.0,0.0
145,cv_no145,"[3998, 4445, 3847, 4875]",12,0.0,0.0
146,cv_no146,"[2783, 4537, 2703, 5005]",12,0.0,0.0
147,cv_no147,"[692, 3777, 694, 4863]",12,0.0,0.0
148,cv_no148,"[3880, 4521, 3642, 4632]",12,0.0,0.0
149,cv_no149,"[2294, 4191, 2071, 4644]",12,0.0,0.0
150,cv_no150,"[2056, 1914, 1976, 4761]",12,0.0,0.0
