,0
644,3532
645,3438
646,18
647,4631
648,4817
649,4581
650,3525
651,179
652,765
653,638
654,1745
655,3841
656,4525
657,1359
658,2087
659,4945
660,3809
661,1801
662,4934
663,4491
664,4985
665,4042
666,5036
667,3490
668,4326
669,115
670,2086
671,4422
672,3317
673,4790
674,3935
675,4146
676,3574
677,3714
678,1029
679,1462
680,1460
681,3726
682,2114
683,1317
684,373
685,374
686,375
687,4071
688,3653
689,4072
690,2109
691,4910
692,535
693,1332
694,537
695,2763
696,2808
697,4599
698,3926
699,474
700,4476
701,4372
702,1537
703,681
704,4746
705,680
706,2052
707,3502
708,2604
709,2477
710,2652
711,2440
712,4300
713,2813
714,2385
715,2438
716,2439
717,3327
718,2110
719,338
720,4925
721,4826
722,1746
723,636
724,3038
725,3201
726,180
727,2832
728,5009
729,3777
730,642
731,4517
732,116
733,2367
734,3220
735,4044
736,3189
737,1273
738,2386
739,3736
740,3173
741,309
742,3235
743,4582
744,4524
745,2478
746,4043
747,2921
748,117
749,2115
750,4758
751,1319
752,3732
753,1491
754,4068
755,2651
756,2005
757,4961
758,4895
759,3848
760,3420
761,476
762,308
763,4383
764,2368
765,4175
766,4384
767,4523
768,4972
769,4318
770,4894
771,4269
772,1373
773,4914
774,4464
775,3365
776,683
777,4820
778,1056
779,5014
780,2329
781,1150
782,3632
783,4438
784,4792
785,3618
786,4962
787,5017
788,4948
789,2328
790,2764
791,5052
792,1330
793,3828
794,1910
795,3936
796,3579
797,312
798,3328
799,4221
800,2685
801,4472
802,2698
803,2684
804,3175
805,3774
806,2535
807,2536
808,2534
809,4974
810,4398
811,3827
812,841
813,4196
814,3634
815,336
816,4893
817,4380
818,4747
819,4009
820,1545
821,4901
822,2336
823,3636
824,3635
825,2978
826,4321
827,4216
828,3894
829,3895
830,153
831,4967
832,4536
833,3527
834,152
835,252
836,4539
837,3531
838,4700
839,2979
840,4167
841,4824
842,2741
843,1943
844,3862
845,2957
846,1544
847,2740
848,1966
849,2335
850,682
851,4947
852,2766
853,1331
854,4425
855,3943
856,4939
857,4808
858,1241
859,4805
860,3054
861,3053
862,1542
863,3277
864,2765
865,4193
866,3581
867,1968
868,3364
869,16
870,2739
871,3474
872,2696
873,3139
874,2697
875,1543
