,0,1,2
0,268.95000000000005,80.85000000000001,49.35
1,0.44999999999999996,0.15,0.3
2,0.75,0.15,0.45
3,0.15,0.0,0.15
4,369.90000000000003,107.39999999999999,49.050000000000004
5,256.95,78.9,37.05
6,231.3,48.0,30.3
7,0.0,0.0,0.0
8,0.6,0.3,0.3
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,1.2,0.6,0.6
12,164.85000000000002,47.25,18.75
13,1.5,0.3,0.3
14,36.45,8.4,3.1500000000000004
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.6,0.0,0.3
18,12.6,2.6999999999999997,1.3499999999999999
19,0.0,0.0,0.0
20,0.3,0.15,0.15
21,264.15000000000003,75.6,34.35
22,0.3,0.0,0.3
23,20.25,4.65,1.95
24,0.15,0.0,0.15
25,0.15,0.0,0.15
26,98.55,23.55,11.25
27,4.050000000000001,1.05,0.45
28,0.15,0.0,0.15
29,0.15,0.0,0.15
30,9.15,2.1,0.9
31,0.9,0.45,0.45
32,0.0,0.0,0.0
33,3.3,0.75,0.75
34,0.15,0.0,0.15
35,0.9,0.15,0.15
36,9.75,5.1000000000000005,4.65
37,6.9,3.6,3.3
38,96.9,23.7,9.9
39,1.5,0.75,0.75
40,259.8,82.80000000000001,41.25
41,0.3,0.0,0.3
42,52.5,12.0,5.3999999999999995
43,0.0,0.0,0.0
44,17.25,7.8,9.45
45,138.89999999999998,38.550000000000004,14.850000000000001
46,1.3499999999999999,0.3,0.45
47,0.15,0.0,0.15
48,136.8,34.5,16.05
49,2.55,0.3,0.75
50,0.15,0.0,0.15
51,27.15,7.6499999999999995,3.4499999999999997
52,21.3,11.1,10.200000000000001
53,95.55,23.7,9.75
54,0.0,0.0,0.0
55,3.15,1.5,1.65
56,108.3,30.749999999999996,13.799999999999999
57,72.0,20.400000000000002,9.15
58,0.0,0.0,0.0
59,268.05,78.15,37.05
60,7.8,4.05,3.75
61,114.45,32.25,14.700000000000001
62,0.3,0.0,0.15
63,244.79999999999998,70.05,31.65
64,6.3,3.0,3.3
65,34.35,7.95,3.6
66,0.15,0.0,0.15
67,473.40000000000003,130.8,202.8
68,272.84999999999997,78.45,36.75
69,1.35,0.15,0.75
70,0.0,0.0,0.0
71,0.15,0.0,0.15
72,0.15,0.0,0.15
73,4.8,1.05,0.75
74,0.75,0.15,0.15
75,0.15,0.0,0.15
76,208.20000000000002,38.7,30.599999999999998
77,0.15,0.0,0.15
78,0.3,0.0,0.15
79,0.15,0.0,0.15
80,3.0,0.45,0.6
81,0.0,0.0,0.0
82,346.65,99.75,45.75
83,1.9500000000000002,1.05,0.9
84,472.05000000000007,127.05,205.20000000000002
85,0.0,0.0,0.0
86,285.59999999999997,104.69999999999999,24.150000000000002
87,68.25,13.95,8.1
88,545.85,158.1,247.79999999999998
89,0.15,0.0,0.15
90,0.15,0.0,0.15
91,536.4,152.1,244.35
92,0.6,0.3,0.3
93,145.64999999999998,41.25,18.75
94,165.75,46.35,20.85
95,24.9,7.05,3.1500000000000004
96,0.15,0.0,0.15
97,1.65,0.9,0.75
98,0.15,0.0,0.15
99,20.85,4.3500000000000005,2.85
100,0.15,0.0,0.15
101,0.15,0.0,0.15
102,0.0,0.0,0.0
103,187.95,53.699999999999996,24.0
104,1.5,0.3,0.45
105,113.55,28.2,12.750000000000002
106,76.04999999999998,21.299999999999997,9.6
107,256.95,77.10000000000001,40.5
108,0.15,0.0,0.15
109,0.15,0.0,0.15
110,168.3,48.15,21.299999999999997
111,51.89999999999999,11.7,4.8
112,0.15,0.0,0.15
113,118.5,28.650000000000002,14.850000000000001
114,28.950000000000003,6.300000000000001,2.6999999999999997
115,0.0,0.0,0.0
116,35.85,7.05,5.55
117,9.3,4.3500000000000005,4.95
118,245.85,72.0,35.1
119,0.8999999999999999,0.15,0.45
120,0.3,0.15,0.15
121,245.25,72.6,34.35
122,31.35,8.85,3.9
123,0.3,0.0,0.3
124,241.04999999999998,72.45,35.85
125,252.00000000000003,78.75,34.800000000000004
126,240.89999999999998,73.2,33.75
127,166.50000000000003,46.05,20.400000000000002
128,0.0,0.0,0.0
129,246.0,77.7,29.700000000000003
130,0.3,0.15,0.15
131,42.6,7.6499999999999995,7.3500000000000005
132,0.75,0.0,0.6
133,38.85,17.400000000000002,21.45
134,0.75,0.0,0.45
135,220.2,69.9,23.25
136,136.5,38.1,17.1
137,269.85,77.25,35.1
138,0.3,0.0,0.3
139,5.85,1.3499999999999999,0.6
140,3.45,1.8,1.65
141,0.15,0.0,0.15
142,0.15,0.0,0.15
143,425.55,122.69999999999999,56.7
144,0.15,0.0,0.15
145,422.1,170.55,101.25
146,1.05,0.15,0.45
147,3.75,1.95,1.8
148,0.15,0.0,0.15
149,186.75,53.25,24.3
150,740.0999999999999,230.85,369.45
151,312.15000000000003,90.75,42.449999999999996
152,32.55,7.3500000000000005,2.85
153,180.3,49.050000000000004,25.500000000000004
154,157.65,41.550000000000004,20.85
155,262.5,79.2,38.4
156,193.35,54.9,25.650000000000002
157,2.1,0.3,0.9
158,1.2,0.6,0.6
159,0.3,0.15,0.15
160,22.800000000000004,10.200000000000001,12.600000000000001
161,119.4,50.550000000000004,68.7
162,157.65000000000003,35.25,7.8
163,0.0,0.0,0.0
164,0.15,0.0,0.15
165,0.15,0.0,0.15
166,0.15,0.0,0.15
167,0.44999999999999996,0.15,0.3
168,129.6,34.65,15.45
169,0.15,0.15,0.0
170,3.75,1.95,1.8
171,252.59999999999997,74.1,36.3
172,422.4,167.85,98.25
173,0.6,0.0,0.3
174,29.400000000000002,8.25,3.75
175,244.65000000000003,73.8,30.3
176,0.44999999999999996,0.15,0.3
177,0.0,0.0,0.0
178,1.7999999999999998,0.45,0.15
179,67.80000000000001,29.700000000000003,38.1
180,0.15,0.0,0.15
181,0.15,0.0,0.15
182,0.75,0.15,0.3
183,0.15,0.0,0.15
184,0.15,0.0,0.15
185,185.1,37.95,23.1
186,4.3500000000000005,0.9,0.9
187,258.6,74.85,34.2
188,0.0,0.0,0.0
189,0.15,0.0,0.15
190,0.3,0.0,0.3
191,8.7,4.5,4.2
192,0.3,0.0,0.3
193,0.15,0.0,0.15
194,149.25,41.550000000000004,16.5
195,7.199999999999999,3.75,3.4499999999999997
196,27.9,11.85,16.05
197,321.0,92.4,42.74999999999999
198,0.15,0.0,0.15
199,256.65000000000003,81.60000000000001,37.35
200,265.05,80.85000000000001,46.5
201,0.3,0.0,0.3
202,132.0,35.699999999999996,16.05
203,0.6,0.3,0.3
204,0.44999999999999996,0.15,0.3
205,0.3,0.15,0.15
206,127.19999999999999,63.3,63.75
207,0.15,0.0,0.15
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,195.6,54.0,19.5
211,0.15,0.0,0.15
212,0.3,0.15,0.15
213,1.5,0.15,0.6
214,7.65,1.65,0.75
215,0.3,0.0,0.15
216,0.0,0.0,0.0
217,0.44999999999999996,0.15,0.3
218,0.15,0.0,0.15
219,12.6,2.6999999999999997,1.65
220,564.0,162.60000000000002,75.0
221,0.15,0.0,0.15
222,1.65,0.9,0.75
223,262.04999999999995,85.49999999999999,38.4
224,0.15,0.0,0.15
225,0.0,0.0,0.0
226,0.3,0.0,0.3
227,0.15,0.0,0.15
228,0.15,0.0,0.15
229,0.0,0.0,0.0
230,0.6,0.3,0.3
231,0.0,0.0,0.0
232,63.300000000000004,17.7,8.1
233,2.4,0.45,0.45
234,525.0,155.54999999999998,229.5
235,0.0,0.0,0.0
236,8.1,1.8,0.45
237,248.85,79.80000000000001,28.95
238,0.0,0.0,0.0
239,5.4,2.85,2.5500000000000003
240,266.1,81.9,47.1
241,0.0,0.0,0.0
242,265.8,81.15,48.15
243,4.5,0.9,1.05
244,0.15,0.0,0.15
245,0.15,0.0,0.15
246,2.7,0.45,0.6
247,0.3,0.15,0.15
248,0.15,0.0,0.15
249,357.9,104.39999999999999,47.25
250,243.29999999999998,71.85,36.6
251,134.7,32.55,9.6
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,138.75,36.75,17.25
255,1.0499999999999998,0.15,0.6
256,15.899999999999999,7.05,8.85
257,2.55,0.3,0.6
258,297.59999999999997,85.64999999999999,39.15
259,68.7,14.850000000000001,9.15
260,40.65,9.3,3.75
261,238.64999999999998,70.95,35.25
262,83.4,20.400000000000002,8.700000000000001
263,0.15,0.0,0.15
264,81.14999999999999,19.35,7.95
265,400.65,115.5,53.25
266,80.69999999999999,19.2,8.1
267,31.049999999999997,12.899999999999999,18.15
268,0.3,0.15,0.15
269,123.45000000000002,32.1,13.65
270,159.45000000000002,41.550000000000004,21.000000000000004
271,0.15,0.0,0.15
272,34.2,13.95,20.25
273,485.25,139.5,64.05
274,101.25,47.4,53.849999999999994
275,166.95,47.55,21.599999999999998
276,4.199999999999999,0.75,0.75
277,92.10000000000001,22.349999999999998,9.0
278,33.6,13.799999999999999,19.8
279,0.15,0.0,0.15
280,23.85,10.500000000000002,13.35
281,17.549999999999997,4.05,1.65
282,296.7,90.0,68.55
283,167.1,48.0,21.15
284,0.3,0.15,0.15
285,0.3,0.15,0.15
286,57.45,13.2,5.55
287,15.0,6.449999999999999,8.55
288,0.3,0.0,0.3
289,218.1,63.9,29.400000000000002
290,0.15,0.0,0.15
291,111.6,31.049999999999997,13.799999999999999
292,0.3,0.0,0.3
293,185.7,46.35,11.85
294,3.75,1.95,1.8
295,1.3499999999999999,0.3,0.45
296,1.2,0.0,0.9
297,217.2,65.7,26.549999999999997
298,117.15,24.75,8.85
299,234.89999999999998,67.05,30.450000000000003
300,0.75,0.15,0.15
301,0.0,0.0,0.0
302,0.15,0.0,0.15
303,56.7,15.9,7.2
304,96.15,23.55,9.9
305,152.54999999999998,32.4,14.850000000000001
306,0.3,0.0,0.3
307,15.3,7.05,8.25
308,207.9,59.1,21.599999999999998
309,6.3,1.3499999999999999,0.45
310,235.35000000000002,76.95,25.05
311,2.55,1.3499999999999999,1.2
312,1.5,0.45,0.15
313,24.0,10.649999999999999,13.35
314,35.1,7.95,3.1500000000000004
315,0.15,0.0,0.15
316,0.75,0.0,0.6
317,109.5,28.2,11.1
318,181.79999999999998,51.74999999999999,23.7
319,135.15,38.550000000000004,17.55
320,0.0,0.0,0.0
321,23.7,5.3999999999999995,1.95
322,0.75,0.45,0.3
323,322.95,93.6,42.449999999999996
324,21.450000000000003,4.5,2.85
325,154.04999999999998,43.349999999999994,16.95
326,0.75,0.45,0.3
327,97.2,50.7,46.5
328,315.15000000000003,92.55,41.550000000000004
329,0.15,0.0,0.15
330,0.3,0.0,0.3
331,194.1,55.35,24.45
332,33.0,14.25,18.75
333,0.15,0.0,0.15
334,4.5,0.9,0.3
335,0.15,0.0,0.15
336,118.35,32.25,14.700000000000001
337,0.0,0.0,0.0
338,0.3,0.15,0.0
339,163.50000000000003,44.85,20.55
340,3.75,0.75,1.05
341,0.15,0.0,0.15
342,60.60000000000001,25.650000000000002,34.95
343,214.20000000000002,60.45,25.35
344,1.05,0.6,0.45
345,253.8,77.25,34.65
346,253.2,76.95,33.3
347,5.25,1.05,1.05
348,0.3,0.15,0.15
349,38.1,19.950000000000003,18.15
350,3.45,0.6,1.05
351,3.9000000000000004,0.75,1.05
352,0.3,0.15,0.15
353,239.55,69.9,30.450000000000003
354,0.15,0.0,0.15
355,122.25000000000001,28.5,11.7
356,3.5999999999999996,0.6,1.2
357,24.150000000000002,12.600000000000001,11.55
358,0.3,0.0,0.3
359,0.0,0.0,0.0
360,0.15,0.0,0.15
361,0.3,0.15,0.15
362,0.44999999999999996,0.3,0.15
363,292.65000000000003,90.89999999999999,63.6
364,38.39999999999999,8.25,4.05
365,98.7,23.85,10.95
366,30.150000000000002,6.8999999999999995,2.85
367,0.0,0.0,0.0
368,1.6500000000000001,0.45,0.3
369,0.0,0.0,0.0
370,27.299999999999997,14.25,13.049999999999999
371,0.6,0.0,0.45
372,190.95,55.05,25.200000000000003
373,1.5,0.75,0.75
374,3.15,1.65,1.5
375,0.9,0.3,0.15
376,252.74999999999997,76.8,34.65
377,0.3,0.0,0.3
378,246.15,72.3,35.1
379,653.55,254.1,399.15
380,0.0,0.0,0.0
381,0.15,0.0,0.15
382,0.6,0.3,0.3
383,4.800000000000001,0.75,1.5
384,217.35,62.099999999999994,28.35
385,80.7,18.9,7.8
386,238.05000000000004,73.2,29.400000000000002
387,441.0,127.2,58.95
388,0.3,0.15,0.15
389,55.8,24.3,31.5
390,0.15,0.0,0.15
391,253.8,75.15,35.25
392,0.3,0.15,0.15
393,0.15,0.0,0.15
394,0.15,0.0,0.15
395,113.85,29.1,11.25
396,1259.5500000000002,432.15,691.0500000000001
397,160.8,45.75,21.000000000000004
398,0.3,0.0,0.15
399,0.3,0.0,0.3
400,182.1,42.449999999999996,21.75
401,62.4,32.55,29.85
402,0.15,0.0,0.15
403,0.3,0.15,0.15
404,156.29999999999998,44.55,20.1
405,0.3,0.15,0.15
406,84.9,20.85,9.0
407,42.0,9.45,3.6
408,0.15,0.0,0.15
409,7.199999999999999,3.75,3.4499999999999997
410,30.15,13.049999999999999,17.1
411,0.15,0.0,0.15
412,2.0999999999999996,0.6,0.3
413,119.24999999999999,32.4,14.55
414,208.50000000000003,58.95,30.9
415,143.25,32.7,21.45
416,256.35,81.0,43.349999999999994
417,0.15,0.0,0.15
418,0.0,0.0,0.0
419,2.0999999999999996,0.15,1.3499999999999999
420,0.0,0.0,0.0
421,250.65,75.45,34.65
422,145.04999999999998,39.45,18.45
423,0.6,0.3,0.3
424,121.05,31.349999999999998,13.95
425,139.8,39.75,18.15
426,554.7,159.9,254.55
427,115.94999999999999,52.05,63.9
428,0.15,0.0,0.15
429,123.60000000000001,33.0,14.700000000000001
430,1.9500000000000002,0.45,0.6
431,9.75,5.1000000000000005,4.65
432,190.95,55.05,25.200000000000003
433,318.45,137.55,39.15
434,0.15,0.0,0.15
435,0.15,0.0,0.15
436,0.15,0.0,0.15
437,6.6,3.4499999999999997,3.1500000000000004
438,0.15,0.0,0.15
439,210.29999999999998,87.3,122.69999999999999
440,269.25,85.8,47.1
441,0.3,0.0,0.3
442,0.15,0.0,0.15
443,6.15,3.1500000000000004,3.0
444,0.0,0.0,0.0
445,272.7,87.6,48.75
446,0.0,0.0,0.0
447,33.3,14.850000000000001,18.45
448,1.35,0.75,0.6
449,36.9,10.500000000000002,4.65
450,33.15,7.05,3.9
451,0.44999999999999996,0.15,0.15
452,2.1,0.3,0.6
453,63.75000000000001,29.700000000000003,34.050000000000004
454,265.65,81.0,47.4
455,17.85,8.1,9.75
456,697.65,217.95000000000002,339.9
457,486.75,140.25,64.2
458,0.15,0.0,0.15
459,0.15,0.0,0.15
460,0.3,0.15,0.15
461,0.15,0.0,0.15
462,31.5,6.75,3.9
463,0.0,0.0,0.0
464,2.4,0.45,0.75
465,0.0,0.0,0.0
466,0.0,0.0,0.0
467,13.2,5.85,7.3500000000000005
468,95.25,22.8,10.05
469,252.75,78.9,40.5
470,0.0,0.0,0.0
471,0.8999999999999999,0.15,0.6
472,2136.0,743.4000000000001,1256.5500000000002
473,36.9,10.350000000000001,4.65
474,1.8,0.3,0.45
475,0.15,0.0,0.15
476,3.3,0.75,0.75
477,506.40000000000003,146.25,67.5
478,9.45,4.95,4.5
479,122.1,30.749999999999996,14.1
480,5387.25,1979.55,3315.75
481,1.6500000000000001,0.45,0.3
482,246.3,67.65,38.7
483,0.44999999999999996,0.15,0.3
484,0.15,0.0,0.15
485,0.15,0.0,0.15
486,123.3,32.7,13.049999999999999
487,91.80000000000001,22.349999999999998,10.350000000000001
488,414.15,158.25,100.5
489,18.15,7.5,10.649999999999999
490,37.2,8.4,3.4499999999999997
491,8.1,4.2,3.9
492,0.15,0.0,0.15
493,1.65,0.15,0.9
494,0.3,0.0,0.3
495,186.15,52.8,23.55
496,19.8,8.700000000000001,11.1
497,25.35,13.2,12.15
498,11.399999999999999,2.25,1.95
499,0.15,0.0,0.15
500,109.64999999999999,26.7,11.85
501,110.85,30.9,13.65
502,192.0,54.9,24.900000000000002
503,255.15,73.5,33.9
504,499.35,144.0,66.6
505,0.0,0.0,0.0
506,0.15,0.0,0.15
507,0.3,0.0,0.15
508,102.0,28.2,12.600000000000001
509,0.3,0.15,0.15
510,0.15,0.0,0.15
511,0.15,0.0,0.15
512,39.15,9.0,2.85
513,194.4,78.3,115.95
514,11.25,4.95,6.300000000000001
515,166.35000000000002,46.95,15.299999999999999
516,76.64999999999999,21.599999999999998,9.75
517,0.3,0.15,0.15
518,257.4,76.05,38.4
519,7.199999999999999,3.75,3.4499999999999997
520,323.55,101.25,83.25000000000001
521,281.1,88.35,56.25
522,0.15,0.0,0.15
523,163.35,41.85,17.849999999999998
524,108.15,25.95,12.0
525,264.45,81.75,43.349999999999994
526,100.94999999999999,27.9,12.600000000000001
527,31.8,7.3500000000000005,2.6999999999999997
528,93.9,23.55,9.45
529,7.199999999999999,3.75,3.4499999999999997
530,3.75,1.95,1.8
531,267.45,82.5,47.85
532,285.6,89.1,59.550000000000004
533,109.2,27.75,11.85
534,0.15,0.0,0.15
535,20.55,4.3500000000000005,2.6999999999999997
536,1.2,0.6,0.6
537,0.3,0.0,0.15
538,0.0,0.0,0.0
539,244.95000000000002,73.5,31.65
540,0.15,0.0,0.15
541,0.15,0.0,0.15
542,3.6,0.75,0.45
543,0.3,0.15,0.15
544,20.55,4.5,1.8
545,254.55,77.4,34.65
546,115.2,31.65,13.95
547,114.0,31.8,13.65
548,0.0,0.0,0.0
549,10.05,5.250000000000001,4.8
550,776.55,303.75,472.5
551,2067.3,796.1999999999999,1268.5500000000002
552,129.75,23.55,19.35
553,80.1,35.55,44.55
554,0.3,0.0,0.3
555,17.4,8.1,9.3
556,14.7,6.8999999999999995,7.8
557,173.99999999999997,47.7,20.1
558,8.4,4.3500000000000005,4.05
559,129.9,35.1,15.9
560,76.8,21.9,9.45
561,250.35,76.5,39.900000000000006
562,0.0,0.0,0.0
563,94.64999999999999,26.25,11.85
564,0.0,0.0,0.0
565,0.15,0.0,0.15
566,39.0,16.05,22.95
567,0.3,0.0,0.3
568,1490.25,505.35,845.25
569,15.3,7.2,8.1
570,0.44999999999999996,0.15,0.15
571,0.15,0.0,0.15
572,374.24999999999994,193.04999999999998,30.150000000000002
573,110.55000000000001,30.9,13.65
574,47.400000000000006,21.000000000000004,26.4
575,246.00000000000003,78.9,28.650000000000002
576,1098.6000000000001,432.59999999999997,663.1500000000001
577,248.4,72.6,37.35
578,0.0,0.0,0.0
579,287.4,83.7,39.75
580,251.25,99.15,151.95
581,0.15,0.0,0.15
582,0.15,0.0,0.15
583,253.5,79.05,35.55
584,262.5,80.25,45.75
585,0.0,0.0,0.0
586,157.5,65.55,91.8
587,0.15,0.0,0.15
588,0.15,0.0,0.15
589,0.6,0.15,0.3
590,309.6,90.45,43.05
591,93.74999999999999,26.7,11.85
592,277.05,58.800000000000004,43.5
593,4.800000000000001,0.75,1.5
594,71.4,17.1,7.5
595,0.44999999999999996,0.15,0.15
596,3.45,1.8,1.65
597,0.15,0.0,0.15
598,179.7,50.25,22.049999999999997
599,4.05,0.75,0.6
600,0.15,0.0,0.15
601,0.15,0.0,0.15
602,2.25,0.3,1.05
603,250.35,74.1,34.65
604,0.6,0.3,0.3
605,157.5,41.1,20.85
606,4.6499999999999995,1.05,0.6
607,251.70000000000002,74.4,37.5
608,0.15,0.0,0.15
609,17.25,9.0,8.25
610,7.8,4.05,3.75
611,3.75,0.75,0.9
612,4.5,1.05,0.6
613,392.55000000000007,148.65,89.1
614,1.2,0.6,0.6
615,251.55,69.0,42.9
616,128.1,34.65,15.0
617,102.6,28.5,12.750000000000002
618,78.75,32.7,46.05
619,765.6,247.95000000000002,377.55
620,2.25,1.2,1.05
621,0.3,0.0,0.15
622,1.8,0.3,0.3
623,607.8000000000001,175.79999999999998,80.10000000000001
624,0.6,0.3,0.3
625,192.6,57.0,19.35
626,0.15,0.0,0.15
627,21.6,5.1000000000000005,2.25
628,2.25,0.6,0.45
629,0.15,0.0,0.15
630,0.3,0.15,0.15
631,690.6,199.35,91.05
632,38.7,20.25,18.45
633,0.15,0.0,0.15
634,0.15,0.0,0.15
635,3.15,1.65,1.5
636,0.15,0.0,0.15
637,0.0,0.0,0.0
638,253.05,79.5,35.1
639,10.65,5.55,5.1000000000000005
640,152.24999999999997,42.74999999999999,19.35
641,239.1,71.25,29.85
642,0.15,0.0,0.15
643,74.85,31.049999999999997,43.8
644,342.6,98.25,45.0
645,1.05,0.6,0.45
646,220.65,45.6,12.3
647,174.75,49.5,22.2
648,215.85,62.699999999999996,31.5
649,4.05,0.9,0.9
650,0.0,0.0,0.0
651,0.15,0.0,0.15
652,1.0499999999999998,0.15,0.6
653,259.95,78.15,34.050000000000004
654,0.6,0.3,0.3
655,254.40000000000003,77.85000000000001,40.050000000000004
656,113.85000000000001,29.400000000000002,11.7
657,0.15,0.0,0.15
658,257.70000000000005,85.05,35.1
659,37.8,15.75,22.049999999999997
660,0.45,0.0,0.45
661,0.3,0.15,0.15
662,188.10000000000002,54.0,22.8
663,0.15,0.15,0.0
664,271.8,73.35,58.800000000000004
665,0.0,0.0,0.0
666,270.6,71.7,50.1
667,252.45,76.5,34.5
668,245.85000000000002,72.0,35.4
669,0.0,0.0,0.0
670,8.55,4.5,4.05
671,0.15,0.15,0.0
672,0.15,0.0,0.15
673,0.75,0.0,0.6
674,0.6,0.3,0.3
675,481.80000000000007,153.0,189.6
676,302.4,118.35000000000001,42.74999999999999
677,210.6,60.75000000000001,26.25
678,243.45000000000002,79.80000000000001,28.35
679,0.15,0.0,0.15
680,192.45,55.8,26.849999999999998
681,7.8,4.05,3.75
682,260.1,76.5,43.949999999999996
683,255.45,74.85,36.449999999999996
684,3.15,1.65,1.5
685,0.3,0.15,0.15
686,82.94999999999999,35.699999999999996,47.25
687,7.5,3.9,3.6
688,148.79999999999998,39.0,13.35
689,276.15,79.2,35.699999999999996
690,324.75,96.0,89.55
691,25.2,5.7,2.4
692,0.3,0.0,0.3
693,9.0,4.65,4.3500000000000005
694,0.9,0.15,0.15
695,255.75,82.5,35.699999999999996
696,0.15,0.0,0.15
697,146.39999999999998,73.35,73.05
698,230.55,68.25,30.450000000000003
699,1.5,0.75,0.75
700,0.15,0.0,0.15
701,286.5,98.25,47.4
702,0.44999999999999996,0.0,0.3
703,258.9,78.0,42.599999999999994
704,94.35000000000001,22.8,9.9
705,4.35,2.25,2.1
706,314.4,91.2,42.9
707,40.95,9.15,4.2
708,0.15,0.0,0.15
709,170.55,48.45,22.049999999999997
710,122.7,64.05,58.650000000000006
711,3.0,1.5,1.5
712,0.15,0.0,0.15
713,0.0,0.0,0.0
714,0.0,0.0,0.0
715,276.75,81.0,37.8
716,25.95,7.3500000000000005,3.3
717,33.15,6.75,3.9
718,41.85,17.1,24.75
719,66.9,19.05,8.25
720,0.15,0.0,0.15
721,0.0,0.0,0.0
722,281.25,83.25000000000001,37.05
723,4.5,0.9,0.9
724,355.79999999999995,172.65,33.15
725,0.3,0.15,0.15
726,0.75,0.0,0.6
727,5.25,1.05,0.45
728,89.25,20.25,9.9
729,161.85000000000002,46.2,20.55
730,101.25,50.1,51.150000000000006
731,281.25,81.60000000000001,37.2
732,0.3,0.15,0.15
733,237.3,64.95,32.55
734,6.3,3.3,3.0
735,398.40000000000003,115.2,52.8
736,0.15,0.0,0.15
737,257.55,77.10000000000001,38.550000000000004
738,0.44999999999999996,0.0,0.3
739,7.65,1.5,1.65
740,6.9,3.6,3.3
741,43.8,17.849999999999998,25.95
742,0.0,0.0,0.0
743,0.3,0.0,0.3
744,87.9,20.85,8.700000000000001
745,1.5,0.15,0.3
746,1.8,0.9,0.9
747,3.0,1.5,1.5
748,0.0,0.0,0.0
749,0.0,0.0,0.0
750,0.0,0.0,0.0
751,0.9,0.45,0.45
752,57.74999999999999,13.049999999999999,5.55
753,156.15,40.95,20.85
754,15.45,7.2,8.25
755,260.55,78.45,34.35
756,0.44999999999999996,0.0,0.3
757,0.15,0.0,0.15
758,0.15,0.0,0.15
759,115.2,31.8,14.25
760,0.15,0.0,0.15
761,0.0,0.0,0.0
762,8.1,4.2,3.9
763,246.60000000000002,76.65,31.8
764,358.35,111.9,107.55
765,215.55,63.3,26.25
766,0.3,0.15,0.15
767,258.0,74.7,34.050000000000004
768,249.75,71.55,32.7
769,0.15,0.0,0.15
770,1.65,0.15,0.45
771,0.15,0.0,0.15
772,0.15,0.0,0.15
773,0.15,0.0,0.15
774,0.3,0.15,0.15
775,0.6,0.0,0.45
776,136.65,36.75,16.35
777,0.15,0.0,0.15
778,249.0,76.35,34.35
779,267.3,81.45,47.25
780,118.35000000000001,32.85,13.799999999999999
781,0.15,0.0,0.15
782,392.85,63.449999999999996,41.550000000000004
783,0.9,0.45,0.45
784,0.3,0.15,0.15
785,214.2,61.199999999999996,28.05
786,1298.55,499.35,796.9499999999999
787,162.0,42.150000000000006,12.450000000000001
788,0.3,0.15,0.15
789,199.5,58.050000000000004,27.0
790,128.4,35.1,15.75
791,228.3,65.25,29.700000000000003
792,124.5,35.25,15.9
793,102.6,25.500000000000004,10.500000000000002
794,156.75,43.949999999999996,19.5
795,0.3,0.0,0.3
796,29.550000000000004,6.6,3.0
797,21.0,8.700000000000001,12.3
798,264.44999999999993,79.05,34.65
799,0.0,0.0,0.0
800,0.3,0.0,0.3
801,237.00000000000003,68.10000000000001,30.150000000000002
802,68.1,27.599999999999998,40.5
803,162.45,45.449999999999996,20.25
804,0.15,0.0,0.15
805,41.55,18.45,23.1
806,7.5,3.9,3.6
807,242.10000000000002,67.35000000000001,38.7
808,0.0,0.0,0.0
809,385.5,111.0,50.7
810,0.15,0.0,0.15
811,0.3,0.0,0.3
812,2.6999999999999997,0.45,0.9
813,0.9,0.45,0.45
814,88.95,20.85,8.55
815,229.50000000000003,67.8,30.9
816,0.15,0.0,0.15
817,28.950000000000003,8.1,3.75
818,0.15,0.0,0.15
819,0.0,0.0,0.0
820,136.95,38.1,17.1
821,250.35000000000002,74.55,34.800000000000004
822,1.9500000000000002,1.05,0.9
823,1911.1499999999999,683.9999999999999,1093.8
824,6.9,3.6,3.3
825,0.15,0.0,0.15
826,0.15,0.0,0.15
827,130.65,34.2,15.9
828,34.95,14.4,20.55
829,163.05,45.3,19.2
830,221.55,65.25,26.549999999999997
831,154.5,32.55,16.2
832,3.0,0.6,0.75
833,249.0,75.0,39.75
834,51.449999999999996,11.4,4.5
835,94.95,26.7,12.0
