,pt_no,coordinate
87,pt_no87,"[[15.48444789738652], [16.33926907736807], [58.44169379767779]]"
88,pt_no88,"[[28.34304695486616], [28.06170028158553], [61.4731324765669]]"
89,pt_no89,"[[17.06377166455745], [14.8205342265248], [73.88053609008122]]"
90,pt_no90,"[[56.28058493787053], [18.69831841930105], [84.52663078721228]]"
91,pt_no91,"[[42.30011376045583], [79.0], [19.67101523471158]]"
92,pt_no92,"[[54.53748211565205], [65.10219109703912], [14.50189102420872]]"
93,pt_no93,"[[41.39492267850704], [53.69674210913172], [0.0]]"
94,pt_no94,"[[38.96396873577166], [39.7686959149726], [0.0]]"
95,pt_no95,"[[53.83127300554138], [39.63557674507884], [0.0]]"
96,pt_no96,"[[43.30515416677063], [38.89886400557559], [18.3640004792139]]"
97,pt_no97,"[[21.14585702853409], [79.0], [11.10388828912411]]"
98,pt_no98,"[[42.00000000000001], [79.0], [120.0]]"
99,pt_no99,"[[0.0], [43.5028112341764], [38.69316406711985]]"
100,pt_no100,"[[14.95351818780625], [79.0], [83.4558269674486]]"
101,pt_no101,"[[0.0], [79.0], [90.00000000000009]]"
102,pt_no102,"[[0.0], [67.65435991166021], [96.9538626793031]]"
103,pt_no103,"[[15.26207726304338], [79.0], [36.58845223794217]]"
104,pt_no104,"[[28.54644113868254], [79.0], [24.16508580866733]]"
105,pt_no105,"[[14.65681280150103], [61.74839307047527], [33.9316751307926]]"
106,pt_no106,"[[70.0], [31.59999999999995], [0.0]]"
107,pt_no107,"[[57.49963885609215], [22.37305817396993], [0.0]]"
108,pt_no108,"[[70.0], [22.39389177056243], [12.2257767186532]]"
109,pt_no109,"[[30.86727543387803], [79.0], [82.15324381269124]]"
110,pt_no110,"[[21.89617595459711], [79.0], [74.27841101569885]]"
111,pt_no111,"[[57.00961894323347], [79.0], [82.50000000000011]]"
112,pt_no112,"[[56.25858506824527], [79.0], [97.53476222511368]]"
113,pt_no113,"[[70.0], [67.65435991166021], [96.9538626793031]]"
114,pt_no114,"[[70.0], [79.0], [90.00000000000009]]"
115,pt_no115,"[[36.2955381964855], [16.1561670519047], [37.0035436154119]]"
116,pt_no116,"[[42.96592989634923], [0.0], [31.04639773030871]]"
117,pt_no117,"[[70.0], [79.0], [75.00000000000014]]"
118,pt_no118,"[[70.0], [66.89854424991904], [68.52272390073922]]"
119,pt_no119,"[[56.99869269515276], [79.0], [67.44694163195227]]"
120,pt_no120,"[[27.91354604309326], [58.39703930527362], [120.0]]"
121,pt_no121,"[[21.50586805154347], [54.61215680280807], [98.87975268011618]]"
122,pt_no122,"[[14.18195590907727], [55.93275656439285], [120.0]]"
123,pt_no123,"[[0.0], [53.21374164776674], [49.53406190534608]]"
124,pt_no124,"[[38.44098256815428], [36.83464109680175], [51.55494192883056]]"
125,pt_no125,"[[53.0041023222904], [40.0293315413868], [68.74953596485999]]"
126,pt_no126,"[[49.00000000000002], [67.05431345888925], [0.0]]"
127,pt_no127,"[[0.0], [55.65858186677082], [105.03208179916]]"
128,pt_no128,"[[0.0], [57.99746250760951], [90.41025732898869]]"
129,pt_no129,"[[21.00000000000002], [0.0], [108.4132445418711]]"
130,pt_no130,"[[47.07258589189954], [22.94512639689526], [48.41167875162169]]"
131,pt_no131,"[[27.91294472321739], [20.93405787562473], [0.0]]"
132,pt_no132,"[[24.12820251078463], [26.71306975884224], [20.49618889126556]]"
133,pt_no133,"[[14.2817188427398], [23.33937924257998], [0.0]]"
134,pt_no134,"[[70.0], [46.35129490858525], [92.11253130233905]]"
135,pt_no135,"[[70.0], [53.94620641513887], [77.45359589127044]]"
136,pt_no136,"[[70.0], [39.3767804128137], [79.33154194300558]]"
137,pt_no137,"[[52.99585781513991], [39.21598966248818], [87.05983199219467]]"
138,pt_no138,"[[23.32131026736034], [56.40877906941497], [69.33449038589741]]"
139,pt_no139,"[[33.68406854396832], [64.66235071630138], [59.74731705511852]]"
140,pt_no140,"[[23.24212179107421], [55.43610415681272], [46.18531643006667]]"
141,pt_no141,"[[15.43199187443759], [63.94505286134947], [57.44966404422163]]"
142,pt_no142,"[[22.05169669088334], [79.0], [59.80114693190875]]"
143,pt_no143,"[[70.0], [66.64173278696255], [82.87429263871286]]"
144,pt_no144,"[[27.50405170413572], [32.74008346255078], [0.0]]"
145,pt_no145,"[[42.96592989634923], [79.0], [31.04639773030871]]"
146,pt_no146,"[[55.9948858257476], [33.7653834119978], [101.7315502994473]]"
147,pt_no147,"[[70.0], [79.0], [30.00000000000002]]"
148,pt_no148,"[[70.0], [66.19241779195644], [39.329149507192]]"
149,pt_no149,"[[70.0], [64.17246290211774], [23.57148399704248]]"
150,pt_no150,"[[42.30011376045583], [0.0], [19.67101523471158]]"
