,no,cv_no,region,temp_I,integ_I
0,cv_no0,"[407, 151, 362, 150, 408, 156, 363, 155]",7,41.0947,185.3107
1,cv_no1,"[190, 397, 189, 352, 195, 398, 194, 353]",7,41.0947,185.3107
2,cv_no2,"[195, 398, 194, 353, 200, 399, 199, 354]",7,41.0947,185.3107
3,cv_no3,"[200, 399, 199, 354, 205, 400, 204, 355]",7,41.0947,185.3107
4,cv_no4,"[205, 400, 204, 355, 210, 401, 209, 356]",7,41.0947,185.3107
5,cv_no5,"[210, 401, 209, 356, 215, 402, 214, 357]",7,41.0947,185.3107
6,cv_no6,"[215, 402, 214, 357, 220, 403, 219, 358]",7,41.0947,185.3107
7,cv_no7,"[220, 403, 219, 358, 39, 118, 38, 113]",7,41.0947,185.3107
8,cv_no8,"[94, 10, 89, 9, 404, 136, 359, 135]",50,0.2853798432715957,1.2868794601847802
9,cv_no9,"[404, 136, 359, 135, 405, 141, 360, 140]",7,41.0947,185.3107
10,cv_no10,"[405, 141, 360, 140, 406, 146, 361, 145]",7,41.0947,185.3107
11,cv_no11,"[406, 146, 361, 145, 407, 151, 362, 150]",7,41.0947,185.3107
12,cv_no12,"[185, 396, 184, 351, 190, 397, 189, 352]",7,41.0947,185.3107
13,cv_no13,"[408, 156, 363, 155, 409, 161, 364, 160]",7,41.0947,185.3107
14,cv_no14,"[409, 161, 364, 160, 410, 166, 365, 165]",7,41.0947,185.3107
15,cv_no15,"[410, 166, 365, 165, 411, 171, 366, 170]",7,41.0947,185.3107
16,cv_no16,"[411, 171, 366, 170, 412, 176, 367, 175]",7,41.0947,185.3107
17,cv_no17,"[412, 176, 367, 175, 119, 30, 114, 29]",7,41.0947,185.3107
18,cv_no18,"[95, 94, 90, 89, 413, 404, 368, 359]",51,0.2853798432715956,1.28687946018478
19,cv_no19,"[413, 404, 368, 359, 414, 405, 369, 360]",7,41.0947,185.3107
20,cv_no20,"[414, 405, 369, 360, 415, 406, 370, 361]",7,41.0947,185.3107
21,cv_no21,"[415, 406, 370, 361, 416, 407, 371, 362]",7,41.0947,185.3107
