,no,cv_no,region,temp_I,integ_I
67,cv_no67,"[216, 447, 215, 402, 221, 448, 220, 403]",7,49.514700000000005,99.5147
68,cv_no68,"[221, 448, 220, 403, 40, 123, 39, 118]",7,49.514700000000005,99.5147
69,cv_no69,"[427, 418, 382, 373, 428, 419, 383, 374]",7,49.514700000000005,99.5147
70,cv_no70,"[418, 409, 373, 364, 419, 410, 374, 365]",7,49.514700000000005,99.5147
71,cv_no71,"[419, 410, 374, 365, 420, 411, 375, 366]",7,49.514700000000005,99.5147
72,cv_no72,"[420, 411, 375, 366, 421, 412, 376, 367]",7,49.514700000000005,99.5147
73,cv_no73,"[421, 412, 376, 367, 120, 119, 115, 114]",7,49.514700000000005,99.5147
74,cv_no74,"[96, 95, 91, 90, 422, 413, 377, 368]",57,0.34385202276285926,0.6910742449850831
75,cv_no75,"[422, 413, 377, 368, 423, 414, 378, 369]",7,49.514700000000005,99.5147
76,cv_no76,"[423, 414, 378, 369, 424, 415, 379, 370]",7,49.514700000000005,99.5147
77,cv_no77,"[424, 415, 379, 370, 425, 416, 380, 371]",7,49.514700000000005,99.5147
78,cv_no78,"[425, 416, 380, 371, 426, 417, 381, 372]",7,49.514700000000005,99.5147
79,cv_no79,"[426, 417, 381, 372, 427, 418, 382, 373]",7,49.514700000000005,99.5147
80,cv_no80,"[385, 376, 340, 331, 116, 115, 111, 110]",7,49.514700000000005,99.5147
81,cv_no81,"[428, 419, 383, 374, 429, 420, 384, 375]",7,49.514700000000005,99.5147
82,cv_no82,"[429, 420, 384, 375, 430, 421, 385, 376]",7,49.514700000000005,99.5147
83,cv_no83,"[430, 421, 385, 376, 121, 120, 116, 115]",7,49.514700000000005,99.5147
84,cv_no84,"[97, 96, 92, 91, 431, 422, 386, 377]",58,0.34385202276285926,0.691074244985081
85,cv_no85,"[431, 422, 386, 377, 432, 423, 387, 378]",7,49.514700000000005,99.5147
86,cv_no86,"[432, 423, 387, 378, 433, 424, 388, 379]",7,49.514700000000005,99.5147
87,cv_no87,"[433, 424, 388, 379, 434, 425, 389, 380]",7,49.514700000000005,99.5147
88,cv_no88,"[434, 425, 389, 380, 435, 426, 390, 381]",7,49.514700000000005,99.5147
89,cv_no89,"[435, 426, 390, 381, 436, 427, 391, 382]",7,49.514700000000005,99.5147
